fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-12-31,USD,168235000000,280345000000,112110000000,112110000000,72595000000,54487000000,None,95640000000,None,None,None,97898000000,None,None,None,None,72595000000,15547000000,None,None,None,None,72595000000,57048000000
2024-12-31,USD,158785000000,270789000000,112004000000,112004000000,75081000000,51357000000,None,83704000000,None,92583000000,193933000000,101350000000,None,None,None,7938000000,75081000000,16610000000,None,58471000000,None,75081000000,83019000000,58471000000
2023-12-31,USD,145670000000,236273000000,90603000000,90603000000,61612000000,46465000000,None,84058000000,None,89267000000,170588000000,81321000000,None,None,None,7512000000,61612000000,12060000000,None,49552000000,None,61612000000,69124000000,49552000000
2022-12-31,USD,121392000000,153824000000,32432000000,32432000000,46166000000,41636000000,None,75226000000,None,66710000000,92807000000,26097000000,None,None,None,7051000000,46166000000,8490000000,None,37676000000,None,46166000000,53217000000,37676000000
2021-12-31,USD,130905000000,127238000000,-3667000000,-3667000000,59562000000,38567000000,None,71343000000,None,52311000000,57864000000,5553000000,None,None,None,7932000000,59562000000,11228000000,None,48334000000,None,59562000000,67494000000,48334000000
2020-12-31,USD,102471000000,129843000000,27372000000,27372000000,35815000000,34988000000,None,66656000000,None,54563000000,64523000000,9960000000,None,None,None,8614000000,35815000000,6684000000,None,29131000000,None,35815000000,44429000000,29131000000
2019-12-31,USD,110135000000,142515000000,32380000000,32380000000,44866000000,34155000000,None,65269000000,None,57245000000,84040000000,26795000000,None,None,None,8368000000,44866000000,8435000000,None,36431000000,None,44866000000,53234000000,36431000000
2018-12-31,USD,103912000000,129824000000,25912000000,25912000000,40764000000,33117000000,None,63148000000,None,55059000000,77442000000,21041000000,None,None,None,7791000000,40764000000,8290000000,None,32474000000,None,40764000000,48555000000,32474000000
2017-12-31,USD,95415000000,114579000000,19164000000,19164000000,35900000000,31208000000,0,59515000000,None,50097000000,64372000000,13874000000,None,None,None,6179000000,35900000000,11459000000,None,24441000000,None,35900000000,42079000000,24441000000
2016-12-31,USD,91208000000,106387000000,15179000000,15179000000,34536000000,30203000000,0,56672000000,None,46083000000,55901000000,9818000000,None,None,None,5478000000,34536000000,9803000000,None,24733000000,None,34536000000,40014000000,24733000000
2015-12-31,USD,89716000000,101006000000,11290000000,11290000000,30702000000,29750000000,0,59014000000,None,43510000000,50973000000,7463000000,None,None,None,4940000000,30702000000,6260000000,None,24442000000,None,30702000000,35642000000,24442000000
2014-12-31,USD,91973000000,103009000000,11036000000,11036000000,30699000000,30160000000,0,61274000000,None,None,None,7897000000,None,None,None,4759000000,30699000000,8954000000,None,21762000000,None,30699000000,35458000000,21745000000
2013-12-31,USD,97142000000,106717000000,9575000000,9575000000,26675000000,30810000000,0,70467000000,None,None,None,9350000000,None,None,None,5306000000,26675000000,8789000000,None,33905000000,None,26675000000,31981000000,17886000000
2012-12-31,USD,93646000000,108074000000,14428000000,14428000000,28917000000,30585000000,0,64729000000,None,None,None,11043000000,None,None,None,5147000000,28917000000,7633000000,None,36550000000,None,28917000000,34064000000,20530000000
2011-12-31,USD,89660000000,110838000000,21178000000,21178000000,26749000000,29037000000,0,62911000000,None,None,None,13604000000,None,None,None,5105000000,26749000000,7773000000,None,18976000000,None,26749000000,31854000000,18197000000
2010-12-31,USD,86055000000,115475000000,29420000000,29420000000,24859000000,28124000000,0,61196000000,None,None,None,12781000000,None,None,None,4965000000,24859000000,7489000000,None,17370000000,None,24859000000,29824000000,16406000000
2009-12-31,USD,68419000000,115632000000,47213000000,47213000000,16067000000,26928000000,0,52352000000,None,None,None,15198000000,None,None,None,4358000000,16067000000,4415000000,None,11652000000,None,16067000000,20425000000,10025000000
2008-12-31,USD,46273000000,101491000000,55218000000,55218000000,2773000000,22746000000,None,43500000000,None,None,None,34239000000,None,None,None,4528000000,2773000000,-926000000,None,None,None,2773000000,7301000000,5605000000
2007-12-31,USD,64508000000,116353000000,51845000000,51845000000,22805000000,22689000000,None,41703000000,None,None,None,44981000000,None,None,None,3821000000,22805000000,7440000000,None,None,None,22805000000,26626000000,15365000000
2006-12-31,USD,58729000000,99864000000,41135000000,41135000000,19886000000,21191000000,None,38843000000,None,None,None,37865000000,None,None,None,3577000000,19886000000,6237000000,None,None,None,19886000000,23463000000,14444000000
