fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-12-31,USD,41143000000,69611000000,28468000000,28468000000,17160000000,13118000000,None,23983000000,None,None,None,23813000000,None,None,None,None,17160000000,4135000000,None,None,None,None,17160000000,13025000000
2025-09-30,USD,43024000000,71903000000,28879000000,28879000000,18743000000,13566000000,2839000000,24281000000,None,23966000000,49439000000,25473000000,None,None,None,2269000000,18743000000,4350000000,None,14393000000,None,18743000000,21012000000,14393000000
2025-06-30,USD,42023000000,69914000000,27891000000,27891000000,18284000000,13710000000,None,23739000000,None,23209000000,48241000000,25032000000,None,None,None,2210000000,18284000000,3297000000,None,14987000000,None,18284000000,20494000000,14987000000
2025-03-31,USD,42005000000,68907000000,26902000000,26902000000,18408000000,14427000000,2578000000,23597000000,None,23273000000,46853000000,23580000000,None,None,None,2030000000,18408000000,3765000000,None,14643000000,None,18408000000,20438000000,14643000000
2024-12-31,USD,40137000000,67007000000,26870000000,26870000000,17375000000,12469000000,None,22762000000,None,23350000000,47566000000,24216000000,None,None,None,1965000000,17375000000,3370000000,None,14005000000,None,17375000000,19340000000,14005000000
2024-09-30,USD,39543000000,69667000000,30124000000,30124000000,16978000000,12817000000,None,22565000000,None,23405000000,50416000000,27011000000,None,None,None,1967000000,16978000000,4080000000,None,12898000000,None,16978000000,18945000000,12898000000
2024-06-30,USD,39039000000,67835000000,28796000000,28796000000,23435000000,12953000000,None,15604000000,None,22746000000,48513000000,25767000000,None,None,None,2002000000,23435000000,5286000000,None,18149000000,None,23435000000,25437000000,18149000000
2024-03-31,USD,40050000000,66264000000,26214000000,26214000000,17293000000,13366000000,None,22757000000,None,23082000000,47438000000,24356000000,None,None,None,2004000000,17293000000,3874000000,None,13419000000,None,17293000000,19297000000,13419000000
2023-12-31,USD,35849000000,61933000000,26084000000,26084000000,11326000000,11847000000,None,24523000000,None,24051000000,47384000000,23333000000,None,None,None,3337000000,11326000000,2019000000,None,9307000000,None,11326000000,14663000000,9307000000
2023-09-30,USD,38390000000,61591000000,23201000000,23201000000,16733000000,11726000000,None,21657000000,None,22726000000,44556000000,21830000000,None,None,None,2019000000,16733000000,3582000000,None,13151000000,None,16733000000,18752000000,13151000000
2023-06-30,USD,35696000000,58447000000,22751000000,22751000000,17586000000,11216000000,None,18110000000,None,21779000000,41644000000,19865000000,None,None,None,507000000,17586000000,3114000000,None,14472000000,None,17586000000,18093000000,14472000000
2023-03-31,USD,36074000000,54641000000,18567000000,18567000000,15967000000,11993000000,None,20107000000,None,20711000000,37004000000,16293000000,None,None,None,1649000000,15967000000,3345000000,None,12622000000,None,15967000000,17616000000,12622000000
2022-12-31,USD,32259000000,34547000000,15115000000,15115000000,11155000000,4908000000,None,-19022000000,None,20192000000,33054000000,12862000000,None,None,None,1671000000,13237000000,2229000000,None,11008000000,None,11155000000,12826000000,11008000000
2022-09-30,USD,31179000000,40795000000,9616000000,9616000000,12001000000,10539000000,None,19178000000,None,17518000000,25611000000,8093000000,None,None,None,1771000000,12001000000,2264000000,None,9737000000,None,12001000000,13772000000,9737000000
2022-06-30,USD,29614000000,34227000000,4613000000,4613000000,10865000000,10301000000,None,18749000000,None,15128000000,18646000000,3518000000,None,None,None,1789000000,10865000000,2216000000,None,8649000000,None,10865000000,12654000000,8649000000
2022-03-31,USD,29254000000,32342000000,3088000000,3088000000,10063000000,10787000000,None,19191000000,None,13872000000,15496000000,1624000000,None,None,None,1820000000,10063000000,1781000000,None,8282000000,None,10063000000,11883000000,8282000000
2021-12-31,USD,30545000000,30706000000,161000000,161000000,12657000000,9065000000,None,17888000000,None,13601000000,15019000000,1418000000,None,None,None,1931000000,12657000000,2258000000,None,10399000000,None,12657000000,14588000000,10399000000
2021-09-30,USD,31174000000,31061000000,-113000000,-113000000,14111000000,9087000000,None,17063000000,None,13080000000,14480000000,1400000000,None,None,None,1928000000,14111000000,2424000000,None,11687000000,None,14111000000,16039000000,11687000000
2021-06-30,USD,32764000000,31839000000,-925000000,-925000000,15097000000,9814000000,None,17667000000,None,12741000000,14094000000,1353000000,None,None,None,2003000000,15097000000,3149000000,None,11948000000,None,15097000000,17100000000,11948000000
2021-03-31,USD,36422000000,33632000000,-2790000000,-2790000000,17697000000,10601000000,None,18725000000,None,12889000000,14271000000,1382000000,None,None,None,2070000000,17697000000,3397000000,None,14300000000,None,17697000000,19767000000,14300000000
2020-12-31,USD,31113000000,30558000000,-555000000,-555000000,15065000000,7954000000,None,16048000000,None,13258000000,14550000000,1292000000,None,None,None,2127000000,15065000000,2929000000,None,12136000000,None,15065000000,17192000000,12136000000
2020-09-30,USD,28644000000,30845000000,2201000000,2201000000,11769000000,8630000000,None,16875000000,None,13013000000,14700000000,1687000000,None,None,None,2141000000,11769000000,2326000000,None,9443000000,None,11769000000,13910000000,9443000000
2020-06-30,USD,22602000000,35330000000,12728000000,12728000000,5660000000,9509000000,None,16942000000,None,13853000000,16112000000,2259000000,None,None,None,2149000000,5660000000,973000000,None,4687000000,None,5660000000,7809000000,4687000000
2020-03-31,USD,20001000000,32999000000,12998000000,12998000000,3210000000,8895000000,None,16791000000,None,14439000000,19161000000,4722000000,None,None,None,2197000000,3210000000,345000000,None,2865000000,None,3210000000,5407000000,2865000000
2019-12-31,USD,26904000000,34092000000,7188000000,7188000000,10565000000,8088000000,None,16339000000,None,14166000000,19927000000,5761000000,None,None,None,2139000000,10565000000,2045000000,None,8520000000,None,10565000000,12704000000,8520000000
2019-09-30,USD,27777000000,36184000000,8407000000,8407000000,11405000000,8583000000,None,16372000000,None,14228000000,21121000000,6893000000,None,None,None,2145000000,11405000000,2325000000,None,9080000000,None,11405000000,13550000000,9080000000
2019-06-30,USD,27598000000,35952000000,8354000000,8354000000,11342000000,8547000000,None,16256000000,None,14398000000,21603000000,7205000000,None,None,None,2046000000,11342000000,1690000000,None,9652000000,None,11342000000,13388000000,9652000000
2019-03-31,USD,27628000000,36059000000,8431000000,8431000000,11233000000,8937000000,None,16395000000,None,14453000000,21894000000,6936000000,None,None,None,2038000000,11233000000,2054000000,None,9179000000,None,11233000000,13271000000,9179000000
2018-12-31,USD,24561000000,32793000000,8232000000,8232000000,8841000000,7809000000,0,15720000000,None,None,None,6684000000,None,None,None,2075000000,8841000000,1775000000,None,7066000000,None,8841000000,10916000000,7066000000
2018-09-30,USD,26312000000,32791000000,6479000000,6479000000,10689000000,8108000000,0,15623000000,None,None,None,5531000000,None,None,None,1992000000,10689000000,2309000000,None,8380000000,None,10689000000,12681000000,8380000000
2018-06-30,USD,26543000000,32834000000,6291000000,6291000000,10572000000,8338000000,0,15971000000,None,None,None,5081000000,None,None,None,1927000000,10572000000,2256000000,None,8316000000,None,10572000000,12499000000,8316000000
2018-03-31,USD,26742000000,32290000000,5548000000,5548000000,10662000000,8862000000,0,16080000000,None,None,None,4383000000,None,None,None,1797000000,10662000000,1950000000,None,8712000000,None,10662000000,12459000000,8712000000
2017-12-31,USD,22845000000,28119000000,5274000000,5274000000,8254000000,7456000000,0,14591000000,None,None,None,3966000000,None,None,None,1632000000,8254000000,4022000000,None,4232000000,None,8254000000,9886000000,4232000000
2017-09-30,USD,24126000000,29467000000,5341000000,5341000000,9556000000,7697000000,0,14570000000,None,None,None,3889000000,None,None,None,1579000000,9556000000,2824000000,None,6732000000,None,9556000000,11135000000,6732000000
2017-06-30,USD,23871000000,28528000000,4657000000,4657000000,9749000000,7757000000,0,14122000000,None,None,None,3442000000,None,None,None,1504000000,9749000000,2720000000,None,7029000000,None,9749000000,11253000000,7029000000
2017-03-31,USD,23624000000,27917000000,4293000000,4293000000,8341000000,8256000000,0,15283000000,None,None,None,2978000000,None,None,None,1464000000,8341000000,1893000000,None,6448000000,None,8341000000,9805000000,6448000000
2016-12-31,USD,22512000000,26089000000,3577000000,3577000000,8679000000,6872000000,0,13833000000,None,None,None,2713000000,None,None,None,1446000000,8679000000,1952000000,None,6727000000,None,8679000000,10125000000,6727000000
2016-09-30,USD,23402000000,27140000000,3738000000,3738000000,8939000000,7669000000,0,14463000000,None,None,None,2467000000,None,None,None,1407000000,8939000000,2653000000,None,6286000000,None,8939000000,10346000000,6286000000
2016-06-30,USD,22978000000,26846000000,3868000000,3868000000,9340000000,7778000000,0,13638000000,None,None,None,2466000000,None,None,None,1336000000,9340000000,3140000000,None,6200000000,None,9340000000,10676000000,6200000000
2016-03-31,USD,21415000000,25411000000,3996000000,3996000000,7578000000,7660000000,0,13837000000,None,None,None,2172000000,None,None,None,1289000000,7578000000,2058000000,None,5520000000,None,7578000000,8867000000,5520000000
2015-12-31,USD,21120000000,24301000000,3181000000,3181000000,7371000000,6693000000,0,13749000000,None,None,None,1930000000,None,None,None,1273000000,7371000000,1937000000,None,5434000000,None,7371000000,8644000000,5434000000
2015-09-30,USD,22098000000,24595000000,2497000000,2497000000,6730000000,7320000000,0,15368000000,None,None,None,1815000000,None,None,None,1248000000,6730000000,-74000000,None,6804000000,None,6730000000,7978000000,6804000000
2015-06-30,USD,22877000000,25642000000,2765000000,2765000000,8377000000,7694000000,0,14500000000,None,None,None,1830000000,None,None,None,1238000000,8377000000,2087000000,None,6290000000,None,8377000000,9615000000,6290000000
2015-03-31,USD,23107000000,25954000000,2847000000,2847000000,8224000000,8043000000,0,14883000000,None,None,None,1888000000,None,None,None,1181000000,8224000000,2310000000,None,5914000000,None,8224000000,9405000000,5914000000
2014-12-31,USD,21672000000,24401000000,2729000000,2729000000,6263000000,6860000000,0,15409000000,None,None,None,1889000000,None,None,None,1186000000,6263000000,1332000000,None,4931000000,None,6263000000,7449000000,4931000000
2014-09-30,USD,23712000000,26288000000,2576000000,2576000000,7914000000,7831000000,0,15798000000,None,None,None,1819000000,None,None,None,1147000000,7914000000,2349000000,None,5572000000,None,7914000000,9061000000,5565000000
2014-06-30,USD,23986000000,26741000000,2755000000,2755000000,8555000000,7610000000,0,15431000000,None,None,None,2063000000,None,None,None,1218000000,8555000000,2575000000,None,5985000000,None,8555000000,9773000000,5980000000
2014-03-31,USD,22365000000,25341000000,2976000000,2976000000,7729000000,7859000000,0,14636000000,None,None,None,2126000000,None,None,None,1208000000,7729000000,2460000000,None,5274000000,None,7729000000,8937000000,5269000000
2013-12-31,USD,23052000000,25511000000,2459000000,2459000000,7500000000,7052000000,0,15552000000,None,None,None,2355000000,None,None,None,1246000000,7500000000,2222000000,None,9722000000,None,7500000000,8746000000,5278000000
2013-09-30,USD,23660000000,25408000000,1748000000,1748000000,34000000,7325000000,0,23626000000,None,None,None,2291000000,None,13162000000,None,1651000000,34000000,414000000,None,448000000,None,34000000,1685000000,-380000000
