transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2026-01-21,JPM,"PETNO, DOUGLAS B",Co-CEO CIB,Common Stock,D,811.0,0.0
2026-01-20,JPM,"DIMON, JAMES","Director, Chairman & CEO",Common Stock,D,90000.0,0.0
2026-01-20,JPM,"GORSKY, ALEX",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"DAVIS, ALICIA BOLER",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"PETNO, DOUGLAS B",Co-CEO CIB,Restricted Stock Units,A,25938.0,0.0
2026-01-20,JPM,"BUCK, MICHELE",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"WEINBERGER, MARK A",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"NOVAKOVIC, PHEBE N",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"ROMETTY, VIRGINIA M",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"SMITH, BRAD D",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"HOBSON, MELLODY L",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"BACON, ASHLEY",Chief Risk Officer,Restricted Stock Units,A,18108.0,0.0
2026-01-20,JPM,"BARNUM, JEREMY",Chief Financial Officer,Restricted Stock Units,A,18108.0,0.0
2026-01-20,JPM,"BEER, LORI A",Chief Information Officer,Restricted Stock Units,A,12725.0,0.0
2026-01-20,JPM,"ERDOES, MARY E.",CEO Asset & Wealth Management,Restricted Stock Units,A,29364.0,0.0
2026-01-20,JPM,"FRIEDMAN, STACEY",General Counsel,Restricted Stock Units,A,18108.0,0.0
2026-01-20,JPM,"LAKE, MARIANNE",CEO CCB,Restricted Stock Units,A,21534.0,0.0
2026-01-20,JPM,"LEOPOLD, ROBIN",Head of Human Resources,Restricted Stock Units,A,8565.0,0.0
2026-01-20,JPM,"PIEPSZAK, JENNIFER",Chief Operating Officer,Restricted Stock Units,A,21289.0,0.0
2026-01-20,JPM,"ROHRBAUGH, TROY L",Co-CEO CIB,Restricted Stock Units,A,25938.0,0.0
2026-01-20,JPM,"KORABLINA, ELENA A",Corporate Controller,Restricted Stock Units,A,8157.0,0.0
2026-01-20,JPM,"BAMMANN, LINDA",Director,Common Stock,A,913.5251,306.505
2026-01-20,JPM,"BURKE, STEPHEN B",Director,Common Stock,A,913.5251,306.505
2026-01-16,JPM,"BACON, ASHLEY",Chief Risk Officer,Common Stock,D,7364.0,312.791
2026-01-16,JPM,"ERDOES, MARY E.",CEO Asset & Wealth Management,Common Stock,D,5732.0,312.7841
2026-01-16,JPM,"LAKE, MARIANNE",CEO CCB,Common Stock,D,3908.0,312.7823
2026-01-16,JPM,"BARNUM, JEREMY",Chief Financial Officer,Common Stock,D,2893.0,312.7859
2026-01-16,JPM,"PETNO, DOUGLAS B",Co-CEO CIB,Common Stock,D,3487.0,312.7983
2026-01-16,JPM,"PIEPSZAK, JENNIFER",Chief Operating Officer,Common Stock,D,8571.0,312.7859
2026-01-16,JPM,"BEER, LORI A",Chief Information Officer,Common Stock,D,2047.0,312.7968
2026-01-16,JPM,"FRIEDMAN, STACEY",General Counsel,Common Stock,D,3404.0,312.7961
2026-01-13,JPM,"BEER, LORI A",Chief Information Officer,Common Stock,A,8349.0,0.0
2026-01-13,JPM,"PETNO, DOUGLAS B",Co-CEO CIB,Common Stock,D,16027.0,318.715
2026-01-13,JPM,"PETNO, DOUGLAS B",Co-CEO CIB,Restricted Stock Units,D,15761.0,0.0
2026-01-13,JPM,"PETNO, DOUGLAS B",Co-CEO CIB,Restricted Stock Units,D,14215.0,0.0
2026-01-13,JPM,"LEOPOLD, ROBIN",Head of Human Resources,Common Stock,A,7747.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Common Stock,A,6017.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Common Stock,A,5788.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Common Stock,A,1541.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Common Stock,A,1400.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Common Stock,D,7782.0,318.715
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Restricted Stock Units,D,5788.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Restricted Stock Units,D,1400.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Restricted Stock Units,D,1541.0,0.0
2026-01-13,JPM,"LEOPOLD, ROBIN",Head of Human Resources,Restricted Stock Units,D,7747.0,0.0
2026-01-13,JPM,"LEOPOLD, ROBIN",Head of Human Resources,Restricted Stock Units,D,6995.0,0.0
2026-01-13,JPM,"LAKE, MARIANNE",CEO CCB,Common Stock,A,16020.0,0.0
2026-01-13,JPM,"LAKE, MARIANNE",CEO CCB,Common Stock,D,18287.0,318.715
2026-01-13,JPM,"LAKE, MARIANNE",CEO CCB,Restricted Stock Units,D,17898.0,0.0
2026-01-13,JPM,"LAKE, MARIANNE",CEO CCB,Restricted Stock Units,D,16020.0,0.0
2026-01-13,JPM,"LEOPOLD, ROBIN",Head of Human Resources,Common Stock,A,6995.0,0.0
2026-01-13,JPM,"LEOPOLD, ROBIN",Head of Human Resources,Common Stock,D,7700.0,318.715
2026-01-13,JPM,"LAKE, MARIANNE",CEO CCB,Common Stock,A,17898.0,0.0
2026-01-13,JPM,"FRIEDMAN, STACEY",General Counsel,Common Stock,A,14215.0,0.0
2026-01-13,JPM,"FRIEDMAN, STACEY",General Counsel,Common Stock,D,15826.0,318.715
2026-01-13,JPM,"FRIEDMAN, STACEY",General Counsel,Restricted Stock Units,D,15227.0,0.0
2026-01-13,JPM,"FRIEDMAN, STACEY",General Counsel,Restricted Stock Units,D,14215.0,0.0
2026-01-13,JPM,"ERDOES, MARY E.",CEO Asset & Wealth Management,Common Stock,A,26446.0,0.0
2026-01-13,JPM,"ERDOES, MARY E.",CEO Asset & Wealth Management,Common Stock,A,23692.0,0.0
2026-01-13,JPM,"ERDOES, MARY E.",CEO Asset & Wealth Management,Common Stock,D,27212.0,318.715
2026-01-13,JPM,"ERDOES, MARY E.",CEO Asset & Wealth Management,Restricted Stock Units,D,26446.0,0.0
2026-01-13,JPM,"ERDOES, MARY E.",CEO Asset & Wealth Management,Restricted Stock Units,D,23692.0,0.0
2026-01-13,JPM,"BEER, LORI A",Chief Information Officer,Common Stock,A,8816.0,0.0
2026-01-13,JPM,"BEER, LORI A",Chief Information Officer,Common Stock,D,8975.0,318.715
2026-01-13,JPM,"BACON, ASHLEY",Chief Risk Officer,Restricted Stock Units,D,14215.0,0.0
2026-01-13,JPM,"FRIEDMAN, STACEY",General Counsel,Common Stock,A,15227.0,0.0
2026-01-13,JPM,"BACON, ASHLEY",Chief Risk Officer,Restricted Stock Units,D,14693.0,0.0
2026-01-13,JPM,"BACON, ASHLEY",Chief Risk Officer,Common Stock,D,14178.0,318.715
2026-01-13,JPM,"BACON, ASHLEY",Chief Risk Officer,Common Stock,A,14215.0,0.0
2026-01-13,JPM,"BACON, ASHLEY",Chief Risk Officer,Common Stock,A,14693.0,0.0
2026-01-13,JPM,"BARNUM, JEREMY",Chief Financial Officer,Restricted Stock Units,D,12861.0,0.0
2026-01-13,JPM,"BARNUM, JEREMY",Chief Financial Officer,Restricted Stock Units,D,12021.0,0.0
2026-01-13,JPM,"BARNUM, JEREMY",Chief Financial Officer,Common Stock,D,13310.0,318.715
2026-01-13,JPM,"BARNUM, JEREMY",Chief Financial Officer,Common Stock,A,12021.0,0.0
2026-01-13,JPM,"KORABLINA, ELENA A",Corporate Controller,Restricted Stock Units,D,6017.0,0.0
2026-01-13,JPM,"ROHRBAUGH, TROY L",Co-CEO CIB,Common Stock,A,22706.0,0.0
2026-01-13,JPM,"ROHRBAUGH, TROY L",Co-CEO CIB,Common Stock,A,20082.0,0.0
2026-01-13,JPM,"ROHRBAUGH, TROY L",Co-CEO CIB,Common Stock,D,23135.0,318.715
