date,shares_outstanding_diluted,shares_outstanding_basic
2025-12-31,2793700000,2793700000
2025-09-30,2793700000,2793700000
2025-06-30,2793700000,2793700000
2025-03-31,2824300000,2819400000
2024-09-30,2865900000,2860600000
2024-06-30,2894900000,2889800000
2024-03-31,2912800000,2908300000
2023-12-31,2919400000,2914600000
2023-09-30,2932100000,2927500000
2023-06-30,2948300000,2943800000
2023-03-31,2972700000,2968500000
2022-12-31,2967300000,2962800000
2022-09-30,2965400000,2961200000
2022-06-30,2966300000,2962200000
2022-03-31,2981000000,2977000000
2021-12-31,2981300000,2976800000
2021-09-30,3005100000,2999900000
2021-06-30,3041900000,3036600000
2021-03-31,3078900000,3073500000
2020-12-31,3085300000,3079700000
2020-09-30,3082800000,3077800000
2020-06-30,3081000000,3076300000
2020-03-31,3100700000,3095800000
2019-12-31,3147600000,3139900000
2019-09-30,3207200000,3198500000
2019-06-30,3259700000,3250600000
2019-03-31,3308200000,3298000000
2018-12-31,3347400000,3336100000
2018-09-30,3394300000,3376100000
2018-06-30,3434700000,3415200000
2018-03-31,3479500000,3458300000
2017-12-31,3516200000,3493700000
2017-09-30,3559600000,3534700000
2017-06-30,3599000000,3574100000
2017-03-31,3630400000,3601700000
2016-12-31,3606300000,3570800000
2016-09-30,3629600000,3597400000
2016-06-30,3666500000,3635800000
2016-03-31,3696900000,3669900000
2015-12-31,3704600000,3674000000
2015-09-30,3725600000,3694400000
2015-06-30,3743600000,3707800000
2015-03-31,3757500000,3725300000
2014-12-31,3765100000,3730800000
2014-09-30,3788700000,3755400000
2014-06-30,3812500000,3780600000
2014-03-31,3823600000,3787200000
2013-12-31,3796900000,3762000000
2013-09-30,3767000000,3767000000
2013-06-30,3814300000,3782400000
2013-03-31,3847000000,3818200000
2012-12-31,3821000000,3806400000
2012-09-30,3813900000,3803300000
2012-06-30,3820500000,3808900000
2012-03-31,3833400000,3818800000
2011-12-31,3811700000,3802000000
2011-09-30,3872200000,3859600000
2011-06-30,3983200000,3958400000
2011-03-31,4014100000,3981600000
2010-12-31,3935500000,3917000000
2010-09-30,3971900000,3954300000
2010-06-30,4005600000,3983500000
2010-03-31,3994700000,3970500000
2009-12-31,3975100000,3947000000
2009-09-30,3962000000,3937900000
2009-06-30,3824100000,3811500000
2009-03-31,3758700000,3755700000
2008-12-31,3749400000,3737100000
2008-09-30,3444600000,3444600000
2008-06-30,3453100000,3426200000
