timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2026-02-04,314.405,319.305,314.405,317.27,317.27,9848802,0.0,1.0
2026-02-03,309.73,316.25,309.095,314.85,314.85,11022015,0.0,1.0
2026-02-02,304.46,309.3,301.37,308.14,308.14,9839360,0.0,1.0
2026-01-30,305.25,307.93,302.555,305.89,305.89,11953180,0.0,1.0
2026-01-29,302.4,306.83,302.215,306.42,306.42,11579987,0.0,1.0
2026-01-28,300.27,301.92,298.05,300.77,300.77,9556743,0.0,1.0
2026-01-27,301.33,301.97,298.15,300.31,300.31,11328683,0.0,1.0
2026-01-26,297.81,301.775,297.45,301.04,301.04,11752666,0.0,1.0
2026-01-23,302.0,302.37,296.51,297.72,297.72,11107925,0.0,1.0
2026-01-22,304.86,308.2,302.9,303.63,303.63,10535822,0.0,1.0
2026-01-21,303.425,305.4,301.15,302.04,302.04,10270144,0.0,1.0
2026-01-20,306.21,311.15,301.86,302.74,302.74,12670888,0.0,1.0
2026-01-16,310.35,317.21,310.0,312.47,312.47,14652508,0.0,1.0
2026-01-15,308.47,312.94,307.75,309.26,309.26,14751447,0.0,1.0
2026-01-14,308.2,311.76,306.12,307.87,307.87,25951464,0.0,1.0
2026-01-13,324.3,326.86,310.572,310.9,310.9,19371171,0.0,1.0
2026-01-12,321.884,326.02,321.23,324.49,324.49,12805062,0.0,1.0
2026-01-09,329.34,331.9,328.17,329.19,329.19,6738143,0.0,1.0
2026-01-08,326.39,331.4,325.65,329.79,329.79,11737068,0.0,1.0
2026-01-07,331.14,332.1499,324.6,326.99,326.99,9815240,0.0,1.0
2026-01-06,332.62,335.87,330.65,334.61,334.61,7660787,1.5,1.0
2026-01-05,325.5,337.25,325.19,334.04,332.549238047068,10752627,0.0,1.0
2026-01-02,322.5,325.73,320.74,325.48,324.027439826247,8054040,0.0,1.0
2025-12-31,324.34,324.875,322.04,322.22,320.781988634673,5048531,0.0,1.0
2025-12-30,324.81,324.94,322.49,323.42,321.976633245069,7904263,0.0,1.0
2025-12-29,327.0,327.77,323.53,323.75,322.305160512927,8635338,0.0,1.0
2025-12-26,329.11,330.86,326.54,327.91,326.446595162298,4158293,0.0,1.0
2025-12-24,326.24,329.99,325.5014,329.17,327.700972003213,4289306,0.0,1.0
2025-12-23,323.61,327.78,323.09,325.93,324.475431555146,6668305,0.0,1.0
2025-12-22,317.51,323.23,317.51,323.09,321.64810597721,8354588,0.0,1.0
2025-12-19,313.79,318.56,313.19,317.21,315.794347386272,24494412,0.0,1.0
2025-12-18,316.0,317.7,312.22,313.0,311.603135878135,11444909,0.0,1.0
2025-12-17,318.43,319.37,314.66,314.98,313.574299485288,8718653,0.0,1.0
2025-12-16,319.09,319.52,314.4,315.55,314.141755675225,8331336,0.0,1.0
2025-12-15,319.59,322.88,318.39,320.02,318.591806848948,10864122,0.0,1.0
2025-12-12,319.68,320.27,316.6013,318.52,317.098501085954,8982911,0.0,1.0
2025-12-11,309.24,318.0,309.24,317.38,315.963588706078,9721859,0.0,1.0
2025-12-10,300.5,311.19,298.46,310.11,308.726033441433,18874092,0.0,1.0
2025-12-09,314.95,318.8,300.02,300.51,299.16887655827,17731748,0.0,1.0
2025-12-08,315.06,316.47,313.3501,315.21,313.803273035613,6996450,0.0,1.0
2025-12-05,315.64,318.48,314.68,315.04,313.634031715807,6518908,0.0,1.0
2025-12-04,313.26,318.49,313.0,316.1,314.689301121657,9627834,0.0,1.0
2025-12-03,307.2,312.36,306.8,312.13,310.737018535598,8535260,0.0,1.0
2025-12-02,308.74,310.48,307.09,307.88,306.505985540448,7249043,0.0,1.0
2025-12-01,312.95,314.04,308.54,308.92,307.541344202791,7727324,0.0,1.0
2025-11-28,309.1,313.72,308.24,313.08,311.682778852162,4322448,0.0,1.0
2025-11-26,305.0,308.525,303.2,307.64,306.267056618369,7910851,0.0,1.0
2025-11-25,300.05,304.5,295.56,303.0,301.64776412484,8877188,0.0,1.0
2025-11-24,298.24,299.82,294.51,298.0,296.670078248193,10940186,0.0,1.0
2025-11-21,301.29,301.68,292.8101,298.02,296.689988991699,11766810,0.0,1.0
2025-11-20,306.34,309.92,298.16,298.38,297.048382374818,7501582,0.0,1.0
2025-11-19,299.74,304.4499,299.265,303.27,301.916559162179,5546555,0.0,1.0
2025-11-18,299.5,302.945,297.02,299.41,298.073785665407,8077315,0.0,1.0
2025-11-17,304.0,305.59,297.6714,300.37,299.029501353724,8344046,0.0,1.0
2025-11-14,307.51,307.64,301.23,303.61,302.255041801791,10326983,0.0,1.0
2025-11-13,319.23,320.6325,309.1,309.48,308.098845020975,8973258,0.0,1.0
2025-11-12,316.26,322.25,316.21,320.41,318.980066347327,10578266,0.0,1.0
2025-11-11,317.5,319.05,315.28,315.62,314.211443277498,5030216,0.0,1.0
2025-11-10,315.0,319.555,314.21,316.89,315.475775490167,5794505,0.0,1.0
2025-11-07,311.89,314.43,307.642,314.21,312.807735860284,7302347,0.0,1.0
2025-11-06,310.99,314.84,310.26,313.42,312.021261491774,7206111,0.0,1.0
2025-11-05,309.61,313.1,305.63,311.68,310.2890268067,6832481,0.0,1.0
2025-11-04,306.71,312.22,305.1,309.25,307.86987147065,7085164,0.0,1.0
2025-11-03,311.0,312.32,306.21,309.35,307.969425188182,7770040,0.0,1.0
2025-10-31,308.54,312.87,307.25,311.12,309.731525988516,7721297,0.0,1.0
2025-10-30,305.79,312.61,305.1,309.44,308.059023533962,7514556,0.0,1.0
2025-10-29,303.51,308.245,303.01,305.51,304.146562434917,7520324,0.0,1.0
2025-10-28,304.86,307.9674,303.16,305.36,303.997231858618,6335993,0.0,1.0
2025-10-27,302.16,304.53,301.01,304.15,302.792631876469,5642222,0.0,1.0
2025-10-24,296.08,302.6,295.45,300.44,299.099188955997,7228330,0.0,1.0
2025-10-23,294.38,296.3699,292.51,294.54,293.225519621553,5438810,0.0,1.0
2025-10-22,297.77,298.0599,290.5448,294.11,292.797438636161,8054115,0.0,1.0
2025-10-21,301.66,304.05,297.0,297.09,295.764139418643,7372671,0.0,1.0
2025-10-20,298.5,303.69,298.1601,302.36,301.010620332629,6894943,0.0,1.0
2025-10-17,299.16,299.55,294.2,297.56,296.232041891048,10153454,0.0,1.0
2025-10-16,305.35,308.6799,297.07,298.54,297.207668322871,10549447,0.0,1.0
2025-10-15,306.39,312.1199,305.44,305.69,304.325759126476,11354778,0.0,1.0
2025-10-14,305.84,307.0,294.21,302.08,300.731869923537,16178755,0.0,1.0
2025-10-13,305.6,309.46,305.45,307.97,306.595583886228,10788680,0.0,1.0
2025-10-10,305.66,310.47,300.81,300.89,299.547180684895,8597384,0.0,1.0
