timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-02-04,304.46,319.305,301.37,317.27,317.27,30710177,0.0
2026-01-30,297.81,307.93,297.45,305.89,305.89,56171259,0.0
2026-01-23,306.21,311.15,296.51,297.72,297.72,44584779,0.0
2026-01-16,321.884,326.86,306.12,312.47,312.47,87531652,0.0
2026-01-09,325.5,337.25,324.6,329.19,329.19,46703865,1.5
2026-01-02,327.0,327.77,320.74,325.48,324.0274,29642172,0.0
2025-12-26,317.51,330.86,317.51,327.91,326.4466,23470492,0.0
2025-12-19,319.59,322.88,312.22,317.21,315.7943,63853432,0.0
2025-12-12,315.06,320.27,298.46,318.52,317.0985,62307060,0.0
2025-12-05,312.95,318.49,306.8,315.04,313.634,39658369,0.0
2025-11-28,298.24,313.72,294.51,313.08,311.6828,32050673,0.0
2025-11-21,304.0,309.92,292.8101,298.02,296.69,41236308,0.0
2025-11-14,315.0,322.25,301.23,303.61,302.255,40703228,0.0
2025-11-07,311.0,314.84,305.1,314.21,312.8077,36196143,0.0
2025-10-31,302.16,312.87,301.01,311.12,309.7315,34734392,0.0
2025-10-24,298.5,304.05,290.5448,300.44,299.0992,34988869,0.0
2025-10-17,305.6,312.1199,294.2,297.56,296.232,59025114,0.0
2025-10-10,310.18,311.7474,300.81,300.89,299.5472,37816318,1.5
2025-10-03,317.06,318.01,306.14,310.03,307.1562,41150795,0.0
2025-09-26,309.8,317.81,309.555,316.06,313.1303,37756457,0.0
2025-09-19,307.17,315.8,307.1347,314.78,311.8622,57924596,0.0
2025-09-12,294.89,307.55,291.44,306.91,304.0651,38613168,0.0
2025-09-05,300.26,305.15,294.31,294.38,291.6513,29839161,0.0
2025-08-29,296.24,302.95,293.5001,301.42,298.626,31834435,0.0
2025-08-22,290.0,297.16,287.27,296.24,293.494,33969628,0.0
2025-08-15,289.4,295.5,287.16,290.49,287.7973,36165453,0.0
2025-08-08,290.26,295.785,284.706,288.76,286.0834,34853645,0.0
2025-08-01,297.66,301.2931,284.2376,289.37,286.6877,48294641,0.0
2025-07-25,291.0,299.5899,289.18,298.62,295.852,34619229,0.0
2025-07-18,287.07,292.5,283.01,291.27,288.5701,52312341,0.0
2025-07-11,295.25,296.04,280.31,286.86,284.201,51338910,0.0
2025-07-03,290.4,296.4,286.59,296.0,293.2563,36727754,1.4
2025-06-27,275.06,289.41,272.1128,287.11,283.1096,51000096,0.0
2025-06-20,267.0,277.72,266.85,275.0,271.1684,38861395,0.0
2025-06-13,266.0,269.6199,262.71,264.95,261.2584,36973854,0.0
2025-06-06,263.02,267.12,260.31,265.73,262.0275,34842650,0.0
2025-05-30,262.04,266.72,261.99,264.0,260.3216,29101617,0.0
2025-05-23,265.55,268.32,256.0001,260.71,257.0775,41231381,0.0
2025-05-16,262.9,269.52,258.7,267.56,263.832,44983466,0.0
2025-05-09,251.18,255.88,248.83,253.08,249.5538,33952702,0.0
2025-05-02,244.56,253.6187,238.43,252.51,248.9917,43457407,0.0
2025-04-25,230.63,246.79,226.336,243.55,240.1566,51188103,0.0
2025-04-17,237.1,239.78,227.93,231.96,228.728,42810978,0.0
2025-04-11,205.77,238.575,202.16,236.2,232.909,105603344,0.0
2025-04-04,239.41,247.245,208.93,210.28,207.3501,73775587,1.4
2025-03-28,245.48,254.67,241.11,242.85,237.8825,51496503,0.0
2025-03-21,231.18,242.33,230.455,241.63,236.6875,57706857,0.0
2025-03-14,236.21,237.51,224.23,232.44,227.6855,81357533,0.0
2025-03-07,264.0,266.32,239.42,242.28,237.3242,60867330,0.0
2025-02-28,265.49,267.0,253.35,264.65,259.2366,44596348,0.0
2025-02-21,276.76,280.25,262.84,264.24,258.835,41609283,0.0
2025-02-14,276.15,279.2334,269.59,276.59,270.9324,36594916,0.0
2025-02-07,261.83,278.55,261.7009,275.8,270.1586,33834010,0.0
2025-01-31,264.17,270.82,262.26,267.3,261.8324,38532253,0.0
2025-01-24,260.07,267.1,259.5037,264.84,259.4227,41149970,0.0
2025-01-17,239.67,260.62,239.0,259.16,253.8589,73831670,0.0
2025-01-10,243.695,245.69,238.74,239.87,234.9635,37603306,1.25
2025-01-03,238.77,244.88,237.11,243.28,237.0733,29306703,0.0
2024-12-27,236.07,243.39,234.88,241.17,235.0172,22523395,0.0
2024-12-20,240.61,240.67,229.53,237.6,231.5383,72577224,0.0
2024-12-13,247.13,247.96,239.1437,239.94,233.8186,40575767,0.0
2024-12-06,249.55,250.25,242.23,247.36,241.0493,34995974,0.0
2024-11-29,249.59,254.31,248.34,249.72,243.349,27474582,0.0
2024-11-22,247.76,249.15,238.64,248.55,242.2089,41641348,0.0
2024-11-15,240.0,246.42,238.76,245.31,239.0516,49041630,0.0
2024-11-08,222.65,248.0,219.17,236.98,230.9341,63771198,0.0
2024-11-01,223.35,226.75,221.58,222.94,217.2523,35287285,0.0
2024-10-25,225.22,225.7,220.875,222.31,216.6383,34009202,0.0
2024-10-18,223.2,225.92,218.88,225.37,219.6203,38137994,0.0
2024-10-11,211.03,224.6299,208.38,222.29,216.6189,46012369,0.0
2024-10-04,206.31,211.67,204.34,211.22,205.8313,40484049,1.25
2024-09-27,211.0,212.95,208.61,210.5,203.9228,38363180,0.0
2024-09-20,205.83,211.91,205.59,211.09,204.4944,56988299,0.0
2024-09-13,215.19,218.64,200.61,204.32,197.9359,70283170,0.0
2024-09-06,222.3,224.1,211.09,212.46,205.8216,32146621,0.0
2024-08-30,219.01,225.48,218.05,224.8,217.776,31787145,0.0
2024-08-23,214.0,219.19,212.84,218.31,211.4888,29394592,0.0
2024-08-16,206.41,214.09,203.66,213.97,207.2844,35255944,0.0
2024-08-09,194.05,206.47,190.9,205.8,199.3697,47038650,0.0
2024-08-02,212.65,216.39,196.89,199.14,192.9178,53416298,0.0
2024-07-26,210.46,213.16,208.05,212.24,205.6085,34771003,0.0
2024-07-19,207.19,217.56,206.72,209.78,203.2253,54360181,0.0
2024-07-12,205.04,209.76,202.1,204.94,198.5366,52206096,0.0
2024-07-05,202.84,210.38,202.66,204.79,198.3912,31662793,1.15
2024-06-28,197.81,202.6,196.275,202.26,194.8461,47681489,0.0
2024-06-21,193.48,199.45,192.64,196.3,189.1046,47451973,0.0
2024-06-14,199.24,200.84,190.88,193.78,186.677,43519647,0.0
2024-06-07,202.31,202.42,195.33,199.95,192.6208,36249031,0.0
2024-05-31,199.86,203.3,196.89,202.63,195.2026,34277855,0.0
2024-05-24,204.39,205.88,195.4,200.71,193.3529,56645068,0.0
2024-05-17,198.8,205.05,198.04,204.79,197.2834,41773808,0.0
2024-05-10,191.73,199.3399,189.815,198.77,191.4841,40334547,0.0
2024-05-03,193.48,194.99,188.46,190.51,183.5268,36435945,0.0
2024-04-26,185.99,194.87,185.98,193.49,186.3976,43854865,0.0
2024-04-19,184.5,187.46,179.2,185.8,178.9895,63195519,0.0
2024-04-12,197.62,198.98,182.54,182.79,176.0898,63753518,0.0
2024-04-05,199.99,200.94,195.11,197.45,190.2124,37874303,1.15
2024-03-28,196.6,200.72,194.0554,200.3,191.8304,31935569,0.0
2024-03-22,190.63,200.48,189.89,196.62,188.306,46172239,0.0
2024-03-15,187.28,191.73,186.22,190.3,182.2533,46408788,0.0
2024-03-08,184.71,190.5,184.27,188.22,180.2612,35044804,0.0
2024-03-01,183.75,186.44,182.24,185.29,177.4551,34949072,0.0
2024-02-23,179.19,185.2,178.405,183.99,176.2101,33098108,0.0
2024-02-16,174.78,180.21,172.615,179.03,171.4598,40869648,0.0
2024-02-09,173.86,175.87,172.92,175.01,167.6098,34168336,0.0
2024-02-02,172.24,178.3,171.3,174.73,167.3416,47277724,0.0
2024-01-26,170.46,173.06,168.44,172.28,164.9952,47134910,0.0
2024-01-19,164.87,170.57,164.3,170.31,163.1085,50811805,0.0
2024-01-12,172.02,176.31,168.6401,169.05,161.9018,62179766,0.0
2024-01-05,169.09,173.38,168.91,172.27,164.9857,41840689,1.05
2023-12-29,167.46,170.69,167.18,170.1,161.9156,23117408,0.0
2023-12-22,165.92,169.41,165.55,167.4,159.3455,42649319,0.0
2023-12-15,158.52,165.28,158.15,165.23,157.2799,64648322,0.0
2023-12-08,156.02,159.22,155.88,158.52,150.8928,43525699,0.0
2023-12-01,153.43,157.86,152.71,156.84,149.2936,40753897,0.0
2023-11-24,152.08,154.438,151.92,153.54,146.1524,22775931,0.0
2023-11-17,145.7,152.86,145.16,152.82,145.467,40909635,0.0
2023-11-10,143.17,146.48,142.79,146.43,139.3845,37517559,0.0
2023-11-03,136.44,143.77,136.04,143.0,136.1195,48684942,0.0
2023-10-27,142.94,143.68,135.19,135.69,129.1612,53801477,0.0
2023-10-20,149.45,149.52,142.12,142.95,136.0719,58242955,0.0
2023-10-13,143.66,153.11,143.5005,148.0,140.8789,66923486,0.0
2023-10-06,144.83,145.88,140.83,145.1,138.1185,45577368,1.05
2023-09-29,145.35,148.87,143.7,145.02,137.0354,42016788,0.0
2023-09-22,148.16,150.25,145.19,145.73,137.7063,36917608,0.0
2023-09-15,144.75,149.895,143.69,148.81,140.6167,53441613,0.0
2023-09-08,147.16,148.2099,142.65,143.83,135.9109,31967895,0.0
2023-09-01,147.57,149.15,145.7,146.82,138.7363,36545915,0.0
2023-08-25,149.65,150.105,145.46,147.05,138.9536,39096574,0.0
2023-08-18,153.61,154.9178,147.4437,148.97,140.7679,40794192,0.0
2023-08-11,156.6,157.7,152.59,154.45,145.9462,33328790,0.0
2023-08-04,157.18,159.38,153.94,156.02,147.4298,36350682,0.0
2023-07-28,154.97,158.785,154.73,156.91,148.2708,52939077,0.0
2023-07-21,150.35,156.59,150.35,154.95,146.4187,63836404,0.0
