,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,3876918000.0,2030367000.0,295963000.0,1013557000.0
Repayment Of Debt,-1233587000.0,-2185019000.0,-4558013000.0,-1096665000.0
Issuance Of Debt,3224981000.0,7526918000.0,5429328000.0,2718480000.0
Issuance Of Capital Stock,22567000.0,29367000.0,37588000.0,18946000.0
Capital Expenditure,-3548409000.0,-4714947000.0,-8124851000.0,-3877692000.0
End Cash Position,6736171000.0,9558829000.0,4683945000.0,6405200000.0
Beginning Cash Position,9558829000.0,4683945000.0,6405200000.0,5208830000.0
Effect Of Exchange Rate Changes,788490000.0,-298493000.0,,
Changes In Cash,-3611148000.0,5173377000.0,-1721255000.0,1196370000.0
Financing Cash Flow,-2432792000.0,1573562000.0,-2265392000.0,-19024000.0
Net Other Financing Charges,50000000.0,105000000.0,464626000.0,367800000.0
Interest Paid Cff,-2191872000.0,-1890575000.0,-1555034000.0,-1203477000.0
Cash Dividends Paid,-1562624000.0,-1358000000.0,-1660000000.0,-402000000.0
Net Common Stock Issuance,22567000.0,29367000.0,37588000.0,18946000.0
Common Stock Issuance,22567000.0,29367000.0,37588000.0,18946000.0
Net Issuance Payments Of Debt,1991394000.0,5341899000.0,871315000.0,1621815000.0
Net Long Term Debt Issuance,1991394000.0,5341899000.0,871315000.0,1621815000.0
Long Term Debt Payments,-1233587000.0,-2185019000.0,-4558013000.0,-1096665000.0
Long Term Debt Issuance,3224981000.0,7526918000.0,5429328000.0,2718480000.0
Investing Cash Flow,-8603683000.0,-3145499000.0,-7876677000.0,-3675855000.0
Net Other Investing Changes,-6269399000.0,46747000.0,217680000.0,181298000.0
Dividends Received Cfi,13767000.0,25173000.0,20294000.0,20539000.0
Net Investment Purchase And Sale,1200358000.0,1497528000.0,,
Sale Of Investment,1200358000.0,1497528000.0,,
Purchase Of Investment,0.0,0.0,,
Net Business Purchase And Sale,0.0,0.0,10200000.0,0.0
Sale Of Business,0.0,0.0,10200000.0,0.0
Purchase Of Business,,,,0.0
Net PPE Purchase And Sale,-2357228000.0,-3458882000.0,-8124851000.0,-3877692000.0
Purchase Of PPE,-2357228000.0,-3458882000.0,-8124851000.0,-3877692000.0
Capital Expenditure Reported,-1191181000.0,-1256065000.0,,
Operating Cash Flow,7425327000.0,6745314000.0,8420814000.0,4891249000.0
Taxes Refund Paid,-489114000.0,-167703000.0,-534458000.0,-506606000.0
Change In Working Capital,612701000.0,-399179000.0,306137000.0,-1289634000.0
Change In Other Current Liabilities,22630000.0,74229000.0,262763000.0,279161000.0
Change In Other Current Assets,383543000.0,42410000.0,-338591000.0,-705241000.0
Change In Payable,-1724066000.0,-913146000.0,197993000.0,-338325000.0
Change In Inventory,1181607000.0,580408000.0,-476495000.0,-633327000.0
Change In Receivables,748987000.0,-183080000.0,606790000.0,54545000.0
Other Non Cash Items,1847593000.0,1915848000.0,-1387992000.0,139707000.0
Provisionand Write Offof Assets,40055000.0,92321000.0,56336000.0,-6857000.0
Deferred Tax,338656000.0,6734000.0,1321328000.0,515168000.0
Depreciation And Amortization,3963554000.0,3326582000.0,3169155000.0,2696341000.0
Depreciation,3963554000.0,3326582000.0,3169155000.0,2696341000.0
Gain Loss On Investment Securities,-1452085000.0,-1910277000.0,-14265000.0,6224000.0
Net Foreign Currency Exchange Gain Loss,292642000.0,87057000.0,270313000.0,-42356000.0
Gain Loss On Sale Of PPE,26692000.0,-5438000.0,,
Net Income From Continuing Operations,2269680000.0,3814057000.0,6599154000.0,3404874000.0
