,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,1037845000.0,1296741000.0,-1833672000.0,936744000.0,2038152000.0
Repayment Of Debt,-2755194000.0,-1795170000.0,25666000.0,-874663000.0,-108002000.0
Issuance Of Debt,3693475000.0,0.0,1500000000.0,1424586000.0,328154000.0
Issuance Of Capital Stock,0.0,33050000.0,-1000.0,1000.0,0.0
Capital Expenditure,-691700000.0,-640622000.0,-897155000.0,-807905000.0,-702375000.0
End Cash Position,7302249000.0,5671194000.0,6736171000.0,6668718000.0,11904719000.0
Beginning Cash Position,5671194000.0,6736171000.0,6668718000.0,11904719000.0,10724174000.0
Effect Of Exchange Rate Changes,-68988000.0,-184364000.0,,,-407000.0
Changes In Cash,1700043000.0,-880613000.0,-624514000.0,-5070287000.0,1180952000.0
Financing Cash Flow,441455000.0,-2345173000.0,-74240000.0,-175643000.0,-1079000000.0
Net Other Financing Charges,661703000.0,325351000.0,0.0,148989000.0,-148989000.0
Interest Paid Cff,-673126000.0,-495975000.0,-724285000.0,-382235000.0,-675846000.0
Cash Dividends Paid,-363239000.0,-277170000.0,-408471000.0,-399129000.0,-392024000.0
Net Common Stock Issuance,0.0,33050000.0,-1000.0,1000.0,0.0
Common Stock Issuance,0.0,33050000.0,-1000.0,1000.0,0.0
Net Issuance Payments Of Debt,938281000.0,-1795170000.0,1525666000.0,549923000.0,220152000.0
Net Long Term Debt Issuance,938281000.0,-1795170000.0,1525666000.0,549923000.0,220152000.0
Long Term Debt Payments,-2755194000.0,-1795170000.0,25666000.0,-874663000.0,-108002000.0
Long Term Debt Issuance,3693475000.0,0.0,1500000000.0,1424586000.0,328154000.0
Investing Cash Flow,-470957000.0,-472803000.0,386243000.0,-6639293000.0,-480575000.0
Net Other Investing Changes,3707000.0,2837000.0,78705000.0,-6255444000.0,2676000.0
Dividends Received Cfi,1785000.0,4361000.0,4335000.0,2550000.0,2193000.0
Net Investment Purchase And Sale,215251000.0,160621000.0,,,215903000.0
Net Business Purchase And Sale,,0.0,0.0,0.0,1028000.0
Purchase Of Business,,0.0,,0.0,1028000.0
Net PPE Purchase And Sale,-691700000.0,-640622000.0,294026000.0,-807905000.0,-702375000.0
Purchase Of PPE,-691700000.0,-640622000.0,294026000.0,-807905000.0,-702375000.0
Operating Cash Flow,1729545000.0,1937363000.0,-936517000.0,1744649000.0,2740527000.0
Taxes Refund Paid,-38694000.0,-65831000.0,-129026000.0,-174678000.0,-97408000.0
Change In Working Capital,-201660000.0,221469000.0,-370742000.0,-92666000.0,816530000.0
Change In Other Current Liabilities,-99348000.0,167268000.0,251837000.0,-555334000.0,235343000.0
Change In Other Current Assets,-38184000.0,-48644000.0,76682000.0,14548000.0,-35763000.0
Change In Payable,559766000.0,-124345000.0,-583854000.0,81910000.0,-656218000.0
Change In Inventory,-572961000.0,300791000.0,491836000.0,433600000.0,117217000.0
Change In Receivables,-192588000.0,68054000.0,-491024000.0,-183609000.0,1039577000.0
Other Non Cash Items,402880000.0,430046000.0,-1634147000.0,331473000.0,863353000.0
Provisionand Write Offof Assets,,14358000.0,8438000.0,18192000.0,918000.0
Deferred Tax,,,42844000.0,,
Depreciation And Amortization,1126726000.0,1298841000.0,1103818000.0,1013857000.0,989266000.0
Depreciation,1126726000.0,1298841000.0,1103818000.0,1013857000.0,989266000.0
Gain Loss On Investment Securities,-312448000.0,-591800000.0,-1444421000.0,-380580000.0,-419856000.0
Net Foreign Currency Exchange Gain Loss,-55659000.0,-137683000.0,1083769000.0,-64490000.0,138522000.0
Net Income From Continuing Operations,720541000.0,768215000.0,394018000.0,817170000.0,434633000.0
