Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2025-11-04 10:00:00-05:00,0.51,0.28,-44.24
2025-08-04 20:00:00-04:00,0.23,0.47,103.54
2025-05-06 20:00:00-04:00,0.49,0.33,-33.89
2025-02-26 07:00:00-05:00,0.45,0.32,-27.31
2024-11-04 06:00:00-05:00,0.72,0.79,9.08
2024-07-30 08:00:00-04:00,0.64,0.2,-68.57
2024-04-25 08:00:00-04:00,0.46,0.35,-24.51
2024-02-07 06:00:00-05:00,0.52,0.52,-1.19
2023-10-25 07:00:00-04:00,0.47,0.21,-54.74
2023-08-02 15:00:00-04:00,0.74,0.52,-29.21
2023-05-03 08:00:00-04:00,0.68,0.95,40.0
2023-02-08 06:00:00-05:00,0.71,0.66,-8.01
2022-10-26 20:00:00-04:00,1.04,1.57,51.74
2022-07-27 11:00:00-04:00,0.47,0.17,-64.23
2022-05-04 15:00:00-04:00,1.33,0.81,-39.52
2022-02-10 08:00:00-05:00,0.51,0.73,42.74
2021-10-27 01:00:00-04:00,0.04,0.18,314.31
2021-08-09 20:00:00-04:00,0.52,0.54,3.03
2021-05-10 20:00:00-04:00,-0.43,0.29,167.05
2021-02-10 06:00:00-05:00,1.06,1.12,6.22
2020-10-25 20:00:00-04:00,-0.2,-0.16,16.82
2020-08-04 20:00:00-04:00,0.55,-0.36,-165.66
2020-05-04 08:00:00-04:00,-2.71,-0.55,79.72
2020-02-06 14:00:00-05:00,0.23,0.49,113.57
2019-10-28 07:00:00-04:00,-0.93,0.18,119.25
