,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,72883493.1,271335905.4,62534605.5,-28466303.0
Tax Rate For Calcs,0.0981,0.2534,0.2895,0.229
Normalized EBITDA,8581086000.0,8154252000.0,10709357000.0,8420136000.0
Total Unusual Items,742951000.0,1070781000.0,216009000.0,-124307000.0
Total Unusual Items Excluding Goodwill,742951000.0,1070781000.0,216009000.0,-124307000.0
Net Income From Continuing Operation Net Minority Interest,1831011000.0,2694538000.0,4461250000.0,3019870000.0
Reconciled Depreciation,3963554000.0,3326582000.0,3169155000.0,2696341000.0
Reconciled Cost Of Revenue,12273741000.0,11174303000.0,10517844000.0,8938543000.0
EBITDA,9324037000.0,9225033000.0,10925366000.0,8295829000.0
EBIT,5360483000.0,5898451000.0,7756211000.0,5599488000.0
Net Interest Income,-3436913000.0,-2061668000.0,-884365000.0,-1411057000.0
Interest Expense,3090803000.0,2084394000.0,1157057000.0,1183077000.0
Interest Income,29275000.0,223874000.0,406740000.0,48231000.0
Normalized Income,1160943493.1,1895092905.4,4307775605.5,3115710697.0
Net Income From Continuing And Discontinued Operation,1831011000.0,2694538000.0,4461250000.0,3019870000.0
Total Expenses,15037071000.0,13701363000.0,13370490000.0,11028924000.0
Diluted NI Availto Com Stockholders,1831011000.0,2694538000.0,4461250000.0,3019870000.0
Net Income Common Stockholders,1831011000.0,2694538000.0,4461250000.0,3019870000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1831011000.0,2694538000.0,4461250000.0,3019870000.0
Minority Interests,-215934000.0,-152850000.0,-227652000.0,-385004000.0
Net Income Including Noncontrolling Interests,2046945000.0,2847388000.0,4688902000.0,3404874000.0
Net Income Continuous Operations,2046945000.0,2847388000.0,4688902000.0,3404874000.0
Tax Provision,222735000.0,966669000.0,1910252000.0,1011537000.0
Pretax Income,2269680000.0,3814057000.0,6599154000.0,4416411000.0
Other Non Operating Income Expenses,-154540000.0,-140159000.0,-68105000.0,
Special Income Charges,-26692000.0,5438000.0,12633000.0,9864000.0
Other Special Charges,26692000.0,-5438000.0,-12633000.0,-9864000.0
Restructuring And Mergern Acquisition,,,-140087000.0,0.0
Net Non Operating Interest Income Expense,-3436913000.0,-2061668000.0,-884365000.0,-1411057000.0
Total Other Finance Cost,375385000.0,201148000.0,134048000.0,276211000.0
Interest Expense Non Operating,3090803000.0,2084394000.0,1157057000.0,1183077000.0
Interest Income Non Operating,29275000.0,223874000.0,406740000.0,48231000.0
Operating Income,4608193000.0,4322386000.0,6662209000.0,5452464000.0
Operating Expense,2763330000.0,2527060000.0,2852646000.0,2090381000.0
Other Operating Expenses,63267000.0,646000.0,-74207000.0,40031000.0
Depreciation And Amortization In Income Statement,67650000.0,52387000.0,51312000.0,21904000.0
Depreciation Income Statement,67650000.0,52387000.0,51312000.0,21904000.0
Selling General And Administration,1924332000.0,1803616000.0,2217294000.0,1499580000.0
Selling And Marketing Expense,1449491000.0,1383919000.0,1759849000.0,1114696000.0
General And Administrative Expense,474841000.0,419697000.0,457445000.0,384884000.0
Gross Profit,7371523000.0,6849446000.0,9514855000.0,7542845000.0
Cost Of Revenue,12273741000.0,11174303000.0,10517844000.0,8938543000.0
Total Revenue,19645264000.0,18023749000.0,20032699000.0,16481388000.0
Operating Revenue,19645264000.0,18023749000.0,20032699000.0,16481388000.0
