,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,31466215.7,155676820.0,36333080.0,17857716.8,56715450.0
Tax Rate For Calcs,0.1877,0.34,0.34,0.1078,0.275
Normalized EBITDA,2510085000.0,2406791000.0,2203986000.0,2401172000.0,1994901000.0
Total Unusual Items,167641000.0,457873000.0,106862000.0,165656000.0,206238000.0
Total Unusual Items Excluding Goodwill,167641000.0,457873000.0,106862000.0,165656000.0,206238000.0
Net Income From Continuing Operation Net Minority Interest,572066000.0,401242000.0,397698000.0,718588000.0,289200000.0
Reconciled Depreciation,1126726000.0,1298841000.0,1103818000.0,1013857000.0,989266000.0
Reconciled Cost Of Revenue,3097745000.0,3223998000.0,3136916000.0,3059452000.0,3281631000.0
EBITDA,2677726000.0,2864664000.0,2310848000.0,2566828000.0,2201139000.0
EBIT,1551000000.0,1565823000.0,1207030000.0,1552971000.0,1211873000.0
Net Interest Income,-942546000.0,-901230000.0,-973350000.0,-820329000.0,-829505000.0
Interest Expense,830459000.0,797608000.0,813012000.0,735801000.0,777240000.0
Interest Income,,14816000.0,-21028000.0,18999000.0,3522000.0
Normalized Income,435891215.7,99045820.0,327169080.0,570789716.8,139677450.0
Net Income From Continuing And Discontinued Operation,572066000.0,401242000.0,397698000.0,718588000.0,289200000.0
Total Expenses,3971737000.0,3904115000.0,3844089000.0,3782406000.0,3968674000.0
Rent Expense Supplemental,,,,,44161000.0
Diluted NI Availto Com Stockholders,572066000.0,401242000.0,397698000.0,718588000.0,289200000.0
Net Income Common Stockholders,572066000.0,401242000.0,397698000.0,718588000.0,289200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,0.0
Net Income,572066000.0,401242000.0,397698000.0,718588000.0,289200000.0
Minority Interests,-13263000.0,-45257000.0,-145032000.0,-10485000.0,-25930000.0
Net Income Including Noncontrolling Interests,585329000.0,446499000.0,542730000.0,729073000.0,315130000.0
Net Income Continuous Operations,585329000.0,446499000.0,542730000.0,729073000.0,315130000.0
Tax Provision,135212000.0,321716000.0,-148712000.0,88097000.0,119503000.0
Pretax Income,720541000.0,768215000.0,394018000.0,817170000.0,434633000.0
Other Non Operating Income Expenses,,-37072000.0,,,-19936000.0
Special Income Charges,1471000.0,747000.0,-21680000.0,-6197000.0,883000.0
Other Special Charges,-1471000.0,-747000.0,21680000.0,6197000.0,-883000.0
Net Non Operating Interest Income Expense,-942546000.0,-901230000.0,-973350000.0,-820329000.0,-829505000.0
Total Other Finance Cost,112087000.0,118438000.0,139310000.0,103527000.0,52265000.0
Interest Expense Non Operating,830459000.0,797608000.0,813012000.0,735801000.0,777240000.0
Interest Income Non Operating,,14816000.0,-21028000.0,18999000.0,3522000.0
Operating Income,1275465000.0,954419000.0,1424130000.0,1216323000.0,980059000.0
Operating Expense,873992000.0,680117000.0,707173000.0,722954000.0,687043000.0
Other Operating Expenses,92984000.0,9421000.0,-98533000.0,76096000.0,36120000.0
Depreciation And Amortization In Income Statement,24376000.0,21622000.0,18203000.0,17522000.0,16161000.0
Depreciation Income Statement,24376000.0,21622000.0,18203000.0,17522000.0,16161000.0
Selling General And Administration,576012000.0,464131000.0,599668000.0,449530000.0,468200000.0
Selling And Marketing Expense,476142000.0,341154000.0,438674000.0,340471000.0,366704000.0
General And Administrative Expense,99870000.0,122977000.0,160994000.0,109059000.0,101496000.0
Rent And Landing Fees,,,,,44161000.0
Gross Profit,2149457000.0,1634536000.0,2131303000.0,1939277000.0,1667102000.0
Cost Of Revenue,3097745000.0,3223998000.0,3136916000.0,3059452000.0,3281631000.0
Total Revenue,5247202000.0,4858534000.0,5268219000.0,4998729000.0,4948733000.0
Operating Revenue,5247202000.0,4858534000.0,5268219000.0,4998729000.0,4948733000.0
