,Date Reported,Holder,pctHeld,Shares,Value,pctChange
0,2025-12-31,"iShares, Inc.-iShares MSCI Brazil ETF",0.0165,13901328,266349442,51.4582
1,2025-12-31,"iShares, Inc.-iShares Core MSCI Emerging Markets ETF",0.0094,7964964,152608709,49.7077
2,2025-12-31,FlexShares TRT-FlexShares Morningstar Global Upstream Natural Resource,0.0039,3248700,62245091,1.0
3,2025-12-31,iShares Trust-iShares Global Timber & Forestry ETF,0.0037,3079850,59009925,37.4674
4,2025-12-31,American Century ETF Trust-Avantis Emerging Markets Equity ETF,0.002,1664591,31893563,52.3113
5,2025-12-31,"iShares, Inc.-iShares MSCI Emerging Markets ETF",0.002,1701500,32600739,49.5001
6,2025-12-31,"iShares, Inc.-iShares MSCI Emerging Markets ex China ETF",0.0018000001,1532364,29360094,49.499702
7,2025-12-31,iShares Trust-iShares Core MSCI Total International Stock ETF,0.0013,1061120,20331059,49.500698
8,2025-12-31,SPDR INDEX SHARES FUNDS-SPDR Portfolio Emerging Markets ETF,0.001,871207,16692325,50.0882
9,2025-12-31,Invesco Exch-Trd Fd. TRT II-Invesco S&P Emerging Markets Low Volatilit,0.0007,599203,11480729,50.7938
