fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,USD,366021000000,108722000000,35873000000,35873000000,None,19769000000,257299000000,None,None,3692000000,3692000000,24534000000,None,27524000000,45719000000,7361000000,None,148778000000,41836000000,8894000000,None,None,2213000000,106942000000,25153000000,58744000000,None,None,83897000000,9724000000,4253000000,217243000000,None,121179000000,None,2574000000
2024-12-31,USD,276054000000,100045000000,43889000000,43889000000,None,16994000000,176009000000,None,None,915000000,915000000,20654000000,None,6070000000,33926000000,5236000000,None,93417000000,33596000000,7687000000,None,None,1942000000,59821000000,20234000000,28826000000,None,None,49060000000,13980000000,2716000000,182637000000,None,102506000000,None,2614000000
2023-12-31,USD,229623000000,85365000000,41862000000,41862000000,None,16169000000,144258000000,None,None,788000000,788000000,20654000000,None,6141000000,23541000000,3793000000,None,76455000000,31960000000,4849000000,None,None,1623000000,44495000000,18849000000,18385000000,None,None,37234000000,21833000000,1370000000,153168000000,None,82070000000,None,2629000000
2022-12-31,USD,185727000000,59549000000,14681000000,14681000000,None,13466000000,126178000000,92191000000,None,897000000,897000000,20306000000,None,6201000000,26057000000,5345000000,None,60014000000,27026000000,4990000000,None,None,1367000000,32988000000,16668000000,9923000000,None,None,26591000000,4906000000,15301000000,125713000000,None,64799000000,64444000000,2702000000
2021-12-31,USD,165987000000,66666000000,16601000000,16601000000,None,14039000000,99321000000,69964000000,None,634000000,634000000,19197000000,None,6775000000,31397000000,4629000000,None,41108000000,21135000000,4083000000,None,None,1127000000,19973000000,13873000000,None,None,None,13873000000,15364000000,19973000000,124879000000,None,69761000000,55811000000,2859000000
2020-12-31,USD,159316000000,75670000000,17576000000,17576000000,None,11335000000,83646000000,54981000000,None,623000000,623000000,19050000000,None,6234000000,44378000000,2381000000,None,31026000000,14981000000,1331000000,None,None,1023000000,16045000000,10654000000,None,None,None,10654000000,12245000000,16045000000,128290000000,None,77345000000,50018000000,2888000000
2019-12-31,USD,133376000000,66225000000,19079000000,19079000000,None,9518000000,67151000000,44783000000,None,894000000,894000000,18715000000,None,None,35776000000,1852000000,None,32322000000,15053000000,1363000000,None,None,800000000,17269000000,10324000000,None,277000000,None,10324000000,12621000000,17269000000,101054000000,None,55692000000,45851000000,2876000000
2018-12-31,USD,97334000000,50480000000,10019000000,10019000000,None,7587000000,46854000000,24683000000,None,1294000000,1294000000,18301000000,None,None,31095000000,1779000000,None,13207000000,7017000000,820000000,None,None,500000000,6190000000,None,None,500000000,None,500000000,5550000000,6190000000,84127000000,None,41981000000,42906000000,2921000000
2017-12-31,USD,84524000000,48563000000,8079000000,8079000000,0,5832000000,35961000000,13721000000,None,1884000000,1884000000,18221000000,None,None,33632000000,1020000000,None,10177000000,3760000000,380000000,None,None,2081000000,6417000000,None,72000000,390000000,None,72000000,3282000000,6417000000,74347000000,0,33990000000,40584000000,2956000000
2016-12-31,USD,64961000000,34401000000,8903000000,8903000000,0,3993000000,30560000000,8591000000,None,2535000000,2535000000,18122000000,None,None,20546000000,959000000,None,5767000000,2875000000,302000000,None,None,1247000000,2892000000,0,112000000,280000000,None,None,2483000000,2892000000,59194000000,0,21670000000,38227000000,2925000000
2015-12-31,USD,49407000000,21652000000,4907000000,4907000000,0,2559000000,27755000000,5687000000,None,3246000000,3246000000,18026000000,None,None,13527000000,659000000,None,5189000000,1925000000,196000000,None,None,208000000,3264000000,107000000,107000000,315000000,None,315000000,1465000000,3157000000,44218000000,0,9787000000,34886000000,2853000000
2014-12-31,USD,40184000000,13390000000,4315000000,4315000000,0,1678000000,26514000000,3967000000,None,3929000000,3929000000,17981000000,None,None,6884000000,513000000,None,4088000000,1424000000,176000000,None,None,114000000,2664000000,119000000,119000000,233000000,None,233000000,866000000,2545000000,36096000000,0,6099000000,30225000000,2664000000
