fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,USD,366021000000,108722000000,35873000000,35873000000,None,19769000000,257299000000,None,None,3692000000,3692000000,24534000000,None,27524000000,45719000000,7361000000,None,148778000000,41836000000,8894000000,None,None,2213000000,106942000000,25153000000,58744000000,None,None,83897000000,9724000000,4253000000,217243000000,None,121179000000,None,2574000000
2025-09-30,USD,303844000000,73118000000,10187000000,10187000000,None,17297000000,230726000000,None,None,None,None,21158000000,None,25074000000,34261000000,11373000000,None,109778000000,36958000000,7798000000,None,None,2113000000,72820000000,22226000000,28834000000,None,None,51060000000,15309000000,12135000000,194066000000,None,101577000000,None,2572000000
2025-06-30,USD,294744000000,73613000000,12005000000,12005000000,None,16561000000,221131000000,None,None,None,None,20654000000,None,21988000000,35066000000,9981000000,None,99674000000,37305000000,10271000000,None,None,1977000000,62369000000,20728000000,28832000000,None,None,49560000000,13011000000,2740000000,195070000000,None,106345000000,None,2570000000
2025-03-31,USD,280213000000,90227000000,28750000000,28750000000,None,14514000000,189986000000,None,None,None,None,20654000000,None,6168000000,41480000000,5483000000,None,95184000000,33890000000,8512000000,None,None,1976000000,61294000000,20690000000,28829000000,None,None,49519000000,12411000000,2760000000,185029000000,None,101326000000,85568000000,2590000000
2024-12-31,USD,276054000000,100045000000,43889000000,43889000000,None,16994000000,176009000000,None,None,915000000,915000000,20654000000,None,6070000000,33926000000,5236000000,None,93417000000,33596000000,7687000000,None,None,1942000000,59821000000,20234000000,28826000000,None,None,49060000000,13980000000,2716000000,182637000000,None,102506000000,None,2614000000
2024-09-30,USD,256408000000,91067000000,43852000000,43852000000,None,14700000000,165341000000,None,None,973000000,973000000,20654000000,None,6071000000,27048000000,5467000000,None,91879000000,33330000000,7656000000,None,None,2016000000,58549000000,20224000000,28823000000,None,None,49047000000,20955000000,2347000000,164529000000,None,84972000000,80749000000,2600000000
2024-06-30,USD,230238000000,76431000000,32045000000,32045000000,None,14505000000,153807000000,None,None,984000000,984000000,20654000000,None,6207000000,26035000000,3846000000,None,73475000000,27004000000,3173000000,None,None,1917000000,46471000000,19602000000,18389000000,None,None,37991000000,19670000000,2500000000,156763000000,None,81188000000,78270000000,2610000000
2024-03-31,USD,222844000000,75330000000,32307000000,32307000000,None,13430000000,147514000000,None,None,829000000,829000000,20654000000,None,6218000000,25813000000,3780000000,None,73315000000,28101000000,3785000000,None,None,1676000000,45214000000,19246000000,18387000000,None,None,37633000000,17777000000,1462000000,149529000000,None,76793000000,75391000000,2625000000
2023-12-31,USD,229623000000,85365000000,41862000000,41862000000,None,16169000000,144258000000,None,None,788000000,788000000,20654000000,None,6141000000,23541000000,3793000000,None,76455000000,31960000000,4849000000,None,None,1623000000,44495000000,18849000000,18385000000,None,None,37234000000,21833000000,1370000000,153168000000,None,82070000000,73253000000,2630000000
2023-09-30,USD,216274000000,78378000000,36890000000,36890000000,None,12944000000,137896000000,104805000000,None,813000000,813000000,20668000000,None,6142000000,24233000000,4311000000,None,73401000000,30531000000,4372000000,None,None,1460000000,42870000000,17834000000,18383000000,None,None,36217000000,20091000000,1281000000,142873000000,None,75205000000,None,2641000000
2023-06-30,USD,206688000000,69560000000,28785000000,28785000000,None,12511000000,137128000000,100904000000,None,856000000,856000000,20659000000,None,6208000000,24661000000,3603000000,None,72655000000,29921000000,3093000000,None,None,1396000000,42734000000,17836000000,18382000000,None,None,36218000000,19595000000,7912000000,134033000000,None,67980000000,69159000000,2612000000
2023-03-31,USD,184491000000,52483000000,11551000000,11551000000,None,11044000000,132008000000,97055000000,None,949000000,949000000,20649000000,None,6167000000,25888000000,4000000000,None,59696000000,25381000000,3672000000,None,None,1479000000,34315000000,17650000000,9925000000,None,None,27575000000,16641000000,8219000000,124795000000,None,61241000000,66535000000,2596000000
2022-12-31,USD,185727000000,59549000000,14681000000,14681000000,None,13466000000,126178000000,92191000000,None,897000000,897000000,20306000000,None,6201000000,26057000000,5345000000,None,60014000000,27026000000,4990000000,None,None,1367000000,32988000000,16668000000,9923000000,None,None,26591000000,18330000000,15301000000,125713000000,None,64799000000,64444000000,2640000000
2022-09-30,USD,178894000000,58315000000,14308000000,14308000000,None,11227000000,120579000000,87379000000,None,875000000,875000000,20268000000,None,6528000000,27468000000,5312000000,None,54800000000,22687000000,3871000000,None,None,1291000000,32113000000,15978000000,9922000000,None,None,25900000000,17011000000,7504000000,124094000000,None,67056000000,62092000000,2687000000
2022-06-30,USD,169779000000,55987000000,12681000000,12681000000,None,11525000000,113792000000,81718000000,None,965000000,965000000,20229000000,None,6536000000,27808000000,3973000000,None,44012000000,22217000000,4008000000,None,None,1275000000,21795000000,16067000000,None,None,None,16067000000,16402000000,21795000000,125767000000,None,69249000000,59929000000,2713000000
2022-03-31,USD,164218000000,59265000000,14886000000,14886000000,None,11390000000,104953000000,73823000000,None,910000000,910000000,19923000000,None,6775000000,29004000000,3985000000,None,40990000000,21086000000,3246000000,None,None,1159000000,19904000000,14053000000,None,None,None,14053000000,16161000000,19904000000,123228000000,None,67712000000,57512000000,2742000000
2021-12-31,USD,165987000000,66666000000,16601000000,16601000000,None,14039000000,99321000000,69964000000,None,634000000,634000000,19197000000,None,6775000000,31397000000,4629000000,None,41108000000,21135000000,4083000000,None,None,1127000000,19973000000,13873000000,None,None,None,13873000000,14108000000,19973000000,124879000000,None,69761000000,55811000000,2799000000
2021-09-30,USD,169585000000,75421000000,14496000000,14496000000,None,12088000000,94164000000,64789000000,None,365000000,365000000,19065000000,None,6758000000,43579000000,5258000000,None,36225000000,17812000000,2195000000,None,None,1086000000,18413000000,12640000000,None,None,None,12640000000,14067000000,6859000000,133360000000,None,79233000000,54334000000,2859000000
2021-06-30,USD,170609000000,80697000000,16186000000,16186000000,None,11698000000,89912000000,61434000000,None,514000000,514000000,19219000000,None,6393000000,47894000000,4919000000,None,32382000000,14874000000,973000000,None,None,1051000000,17508000000,12007000000,None,None,None,12007000000,12459000000,6552000000,138227000000,None,85097000000,52845000000,2879224000
