fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-12-31,USD,115800000000,None,None,None,None,18616000000,69691000000,None,None,None,-102003000000,-20370000000,None,None,None,None,5324000000,5324000000,None,None,None,None,-26248000000,None,None,None,60458000000
2024-12-31,USD,91328000000,None,None,None,None,15498000000,37256000000,None,None,None,-47150000000,-40781000000,None,None,None,None,5072000000,5072000000,None,None,None,None,-30125000000,None,None,None,62360000000
2023-12-31,USD,71113000000,None,None,None,None,11178000000,27266000000,None,None,None,-24495000000,-19500000000,None,None,None,None,0,0,None,None,None,None,-19774000000,None,None,None,39098000000
2022-12-31,USD,50475000000,None,None,None,None,8686000000,31431000000,231000000,None,None,-28970000000,-22136000000,None,None,None,None,0,0,None,None,None,None,-27956000000,None,-631000000,None,23200000000
2021-12-31,USD,57683000000,None,None,None,None,7967000000,18567000000,-3110000000,2187000000,None,-7570000000,-50728000000,None,None,None,None,0,0,None,None,None,None,-44537000000,None,-615000000,None,39370000000
2020-12-31,USD,38747000000,None,None,None,None,6862000000,15115000000,-1512000000,-1302000000,None,-30059000000,-10292000000,None,None,None,None,0,0,None,None,None,None,-6272000000,None,-1604000000,None,29146000000
2019-12-31,USD,36314000000,None,None,None,None,5741000000,15102000000,-1961000000,8975000000,None,-19864000000,-7299000000,None,None,None,None,2337000000,2337000000,None,None,None,None,-4202000000,None,9151000000,None,18485000000
2018-12-31,USD,29274000000,None,None,None,None,4315000000,13915000000,-1892000000,91000000,None,-11603000000,-15572000000,None,None,None,None,0,0,None,None,None,None,-12879000000,None,2099000000,None,22112000000
2017-12-31,USD,24216000000,None,None,None,None,3025000000,6733000000,-1609000000,3449000000,None,-20038000000,-5235000000,None,None,None,None,0,0,None,None,None,None,-1976000000,None,-824000000,233000000,15934000000
2016-12-31,USD,16108000000,None,None,None,None,2342000000,4491000000,-1489000000,2198000000,None,-11739000000,-310000000,None,None,None,None,0,0,None,None,None,None,-6000000,None,3996000000,-63000000,10217000000
2015-12-31,USD,8599000000,None,None,None,None,1945000000,2523000000,-973000000,1748000000,None,-9434000000,1582000000,None,None,None,None,0,0,None,None,None,None,-20000000,None,592000000,-155000000,3688000000
2014-12-31,USD,5457000000,None,None,None,None,1243000000,1831000000,-610000000,307000000,None,-5913000000,1571000000,None,None,None,None,0,0,None,None,None,None,18000000,None,992000000,-123000000,2940000000
2013-12-31,USD,4222000000,None,None,None,None,1011000000,1362000000,-378000000,1020000000,None,-2624000000,-667000000,None,None,None,None,0,0,None,None,None,None,-889000000,None,939000000,8000000,1500000000
2012-12-31,USD,1612000000,None,None,None,None,649000000,1235000000,-170000000,-262000000,None,-7024000000,6283000000,None,None,None,None,0,0,None,None,None,None,-2862000000,None,872000000,1000000,53000000
2011-12-31,USD,1549000000,None,None,None,None,323000000,606000000,None,103000000,None,-3023000000,1198000000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,1000000000
2010-12-31,USD,698000000,None,None,None,None,139000000,293000000,None,67000000,None,-324000000,781000000,None,None,None,None,0,0,None,None,None,None,None,None,None,None,606000000
2009-12-31,None,155000000,None,None,None,None,78000000,33000000,None,None,None,-62000000,243000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,122000000
