fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-12-31,USD,36214000000,None,None,None,None,5411000000,21383000000,None,None,None,-34187000000,25149000000,None,None,None,None,1338000000,1338000000,None,None,None,None,26248000000,None,None,None,22768000000
2025-09-30,USD,29999000000,None,None,None,None,4963000000,18829000000,None,None,None,-21848000000,-10047000000,None,None,None,None,1330000000,1330000000,None,None,None,None,-3327000000,None,None,None,2709000000
2025-06-30,USD,25561000000,None,None,None,None,4342000000,16538000000,None,None,None,-25958000000,-15977000000,None,None,None,None,1327000000,1327000000,None,None,None,None,-10167000000,None,None,None,18337000000
2025-03-31,USD,24026000000,None,None,None,None,3900000000,12941000000,None,None,None,-20010000000,-19495000000,None,None,None,None,1329000000,1329000000,None,None,None,None,-12754000000,None,None,None,16644000000
2024-12-31,USD,27988000000,None,None,None,None,4460000000,14425000000,None,None,None,-21498000000,-5465000000,None,None,None,None,1270000000,1270000000,None,None,None,None,-3857000000,None,None,None,20838000000
2024-09-30,USD,24724000000,None,None,None,None,4027000000,8258000000,None,None,None,-8620000000,-4371000000,None,None,None,None,1263000000,1263000000,None,None,None,None,-8818000000,None,None,None,15688000000
2024-06-30,USD,19370000000,None,None,None,None,3637000000,8173000000,None,None,None,-8298000000,-11178000000,None,None,None,None,1266000000,1266000000,None,None,None,None,-6299000000,None,None,None,13465000000
2024-03-31,USD,19246000000,None,None,None,None,3374000000,6400000000,None,None,None,-8734000000,-19767000000,None,None,None,None,1273000000,1273000000,None,None,None,None,-15008000000,None,None,None,12369000000
2023-12-31,USD,19404000000,None,None,None,None,3172000000,7665000000,None,-1270000000,None,-6472000000,-8401000000,None,None,None,None,None,None,None,None,None,None,-5942000000,None,None,None,14017000000
2023-09-30,USD,20402000000,None,None,None,None,2859000000,6543000000,None,None,None,-6077000000,-5875000000,None,None,None,None,0,0,None,None,None,None,-3569000000,None,None,None,11583000000
2023-06-30,USD,17309000000,None,None,None,None,2623000000,6216000000,-1424000000,None,None,-5203000000,5292000000,None,None,None,None,None,None,None,None,None,None,-898000000,None,17398000000,None,7788000000
2023-03-31,USD,13998000000,None,None,None,None,2524000000,6842000000,2546000000,None,None,-6743000000,-10516000000,None,None,None,None,0,0,None,None,None,None,-9365000000,None,-3261000000,None,5709000000
