date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-12-31,next fiscal year,34.4122,40.0000,28.4600,49.0000,33.4683,33.2508,33.2886,33.2474,19.0000,,20.0000,9.0000,294514840580.00,339633000000.00,240467000000.00,60.00
2026-12-31,historical fiscal year,29.5757,32.2300,26.4300,54.0000,29.6297,29.6154,29.6705,29.8385,16.0000,,17.0000,20.0000,250890709490.00,261256000000.00,234875000000.00,54.00
2026-06-30,next fiscal quarter,7.1166,7.8250,6.5322,36.0000,7.0842,7.0777,7.0662,7.0973,10.0000,,12.0000,12.0000,59578874510.00,60948000000.00,55820000000.00,40.00
2026-03-31,historical fiscal quarter,6.5910,7.4500,6.0200,38.0000,6.3546,6.3225,6.3166,6.3666,17.0000,,18.0000,7.0000,55456363170.00,56500000000.00,53620280000.00,43.00
2025-12-31,historical fiscal year,22.9321,25.4000,22.0000,53.0000,22.8848,22.9009,23.0880,28.2143,3.0000,,4.0000,6.0000,199550322950.00,200725000000.00,194869000000.00,61.00
2025-09-30,historical fiscal quarter,6.7005,7.5562,5.9400,48.0000,6.6946,6.6640,6.6538,6.0167,5.0000,,11.0000,1.0000,49388753250.00,50747400000.00,46287000000.00,49.00
2025-06-30,historical fiscal quarter,5.9022,6.9490,5.1400,47.0000,5.8865,5.8419,5.8221,5.5714,4.0000,,15.0000,3.0000,44835165860.00,45694000000.00,43037000000.00,46.00
2025-03-31,historical fiscal quarter,5.2229,5.8500,4.7800,43.0000,5.2304,5.2396,5.2418,5.3539,0.0000,,5.0000,12.0000,41361415510.00,42724000000.00,40231000000.00,45.00
2024-12-31,historical fiscal year,22.6895,25.4000,21.5000,63.0000,22.6620,22.6166,22.6102,21.5343,6.0000,,8.0000,7.0000,162991905620.00,164135000000.00,160280000000.00,67.00
2024-09-30,historical fiscal quarter,5.2500,5.8000,4.7500,42.0000,5.2400,5.2100,5.2000,5.1800,1.0000,,14.0000,0.0000,40286400000.00,41694000000.00,39404000000.00,45.00
2024-06-30,historical fiscal quarter,4.7300,5.3100,4.2500,39.0000,4.7200,4.6800,4.6700,4.6600,1.0000,,11.0000,0.0000,38310600000.00,39028000000.00,37542200000.00,41.00
2024-03-31,historical fiscal quarter,4.3200,4.9400,3.6700,41.0000,4.2900,3.9300,3.9400,3.5800,5.0000,,17.0000,1.0000,36155800000.00,37035000000.00,34722000000.00,43.00
2023-12-31,historical fiscal year,14.3900,15.0000,12.6600,50.0000,14.3700,12.9800,14.3500,13.6800,5.0000,,13.0000,0.0000,133747000000.00,134864000000.00,125938000000.00,54.00
2023-09-30,historical fiscal quarter,3.4200,4.0300,2.8800,37.0000,3.6100,3.3800,3.6000,2.7500,0.0000,,6.0000,1.0000,31647200000.00,32579800000.00,31068500000.00,36.00
2023-06-30,historical fiscal quarter,2.6300,3.0800,2.1300,37.0000,2.9100,2.8900,2.9000,24.8500,0.0000,,10.0000,1.0000,28125500000.00,28828100000.00,26924500000.00,39.00
2023-03-31,historical fiscal quarter,2.0300,3.0300,1.1400,39.0000,2.0200,1.9800,2.0000,1.5500,1.0000,,9.0000,0.0000,27654600000.00,29277000000.00,26763800000.00,40.00
2022-12-31,historical fiscal year,9.0800,10.1200,8.2500,46.0000,9.0700,9.0800,9.0900,9.1100,3.0000,,7.0000,1.0000,116130000000.00,117929000000.00,114452000000.00,52.00
2022-09-30,historical fiscal quarter,1.8900,2.5700,1.2200,39.0000,1.9100,1.9400,1.9100,2.6900,1.0000,,3.0000,1.0000,27405900000.00,28371000000.00,25480400000.00,40.00
2022-06-30,historical fiscal quarter,2.6100,3.3500,2.0000,40.0000,2.6100,2.6200,2.6800,2.8200,0.0000,,0.0000,3.0000,28939900000.00,30451000000.00,27682000000.00,38.00
2022-03-31,historical fiscal quarter,2.5600,3.2500,2.1500,40.0000,2.5600,2.5500,2.5800,3.0200,2.0000,,5.0000,3.0000,28200900000.00,29493000000.00,26550000000.00,40.00
2021-12-31,historical fiscal year,13.9200,14.5900,13.1000,51.0000,13.9200,13.9400,13.9500,13.9300,2.0000,0.0000,6.0000,0.0000,117689000000.00,119842000000.00,116912000000.00,51.00
2021-09-30,historical fiscal quarter,3.1900,3.5200,2.6800,39.0000,3.1700,3.1700,3.1600,2.9400,3.0000,1.0000,3.0000,,29578600000.00,30191700000.00,28000000000.00,39.00
2021-06-30,historical fiscal quarter,3.0200,3.3800,2.3600,40.0000,3.0200,3.0200,3.0100,2.5000,0.0000,0.0000,0.0000,,27819200000.00,28399100000.00,27046000000.00,38.00
2021-03-31,historical fiscal quarter,2.3700,2.8000,1.9500,38.0000,2.3600,2.3700,2.3600,2.1100,3.0000,0.0000,6.0000,,23670500000.00,25073000000.00,21633000000.00,37.00
2020-12-31,historical fiscal year,9.3800,10.0000,7.7700,47.0000,9.3500,9.3500,9.3300,8.0800,8.0000,0.0000,14.0000,,84130700000.00,85608000000.00,78099800000.00,48.00
2020-09-30,historical fiscal quarter,1.9100,2.1500,1.5500,42.0000,1.8900,1.8900,1.8700,1.7100,7.0000,1.0000,15.0000,,19818200000.00,20477000000.00,19404000000.00,39.00
2020-06-30,historical fiscal quarter,1.3900,1.6700,0.9700,41.0000,1.3900,1.3700,1.4500,1.4300,2.0000,1.0000,12.0000,,17402500000.00,19018000000.00,16160000000.00,38.00
2020-03-31,historical fiscal quarter,1.7400,2.0800,1.3700,40.0000,1.7500,1.8800,1.9400,1.9600,1.0000,2.0000,1.0000,,17480600000.00,19776700000.00,16100000000.00,40.00
2019-12-31,historical fiscal year,6.4300,8.6500,5.5800,42.0000,6.4100,6.4500,6.4800,6.2900,4.0000,0.0000,6.0000,,70496600000.00,70915300000.00,70054000000.00,49.00
2019-09-30,historical fiscal quarter,1.9100,2.1500,1.6900,39.0000,1.9100,1.9100,1.9100,1.9100,3.0000,0.0000,5.0000,,17367900000.00,18132000000.00,16835000000.00,41.00
