fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,reportTime
2025-12-31,2026-01-28,8.88,8.22,0.66,8.0292,post-market
2025-09-30,2025-10-29,7.25,6.71,0.54,8.0477,post-market
2025-06-30,2025-07-30,7.14,5.9,1.24,21.0169,post-market
2025-03-31,2025-04-30,6.43,5.22,1.21,23.1801,post-market
2024-12-31,2025-01-29,8.02,6.68,1.34,20.0599,post-market
2024-09-30,2024-10-30,6.03,5.29,0.74,13.9887,post-market
2024-06-30,2024-07-31,5.16,4.76,0.4,8.4034,post-market
2024-03-31,2024-04-24,4.71,4.32,0.39,9.0278,post-market
2023-12-31,2024-02-01,5.33,4.96,0.37,7.4597,post-market
2023-09-30,2023-10-25,4.39,3.63,0.76,20.9366,post-market
2023-06-30,2023-07-26,2.98,2.91,0.07,2.4055,post-market
2023-03-31,2023-04-26,2.2,1.98,0.22,11.1111,post-market
2022-12-31,2023-02-01,1.76,2.24,-0.48,-21.4286,post-market
2022-09-30,2022-10-26,1.64,1.86,-0.22,-11.828,post-market
2022-06-30,2022-07-27,2.46,2.55,-0.09,-3.5294,post-market
2022-03-31,2022-04-27,2.72,2.55,0.17,6.6667,post-market
2021-12-31,2022-02-02,3.67,3.83,-0.16,-4.1775,post-market
2021-09-30,2021-10-25,3.22,3.17,0.05,1.5773,post-market
2021-06-30,2021-07-28,3.61,3.01,0.6,19.9336,post-market
2021-03-31,2021-04-28,3.3,2.35,0.95,40.4255,post-market
2020-12-31,2021-01-27,3.88,3.2,0.68,21.25,post-market
2020-09-30,2020-10-29,2.71,1.91,0.8,41.8848,post-market
2020-06-30,2020-07-30,1.8,1.4,0.4,28.5714,post-market
2020-03-31,2020-04-29,1.71,1.7,0.01,0.5882,post-market
2019-12-31,2020-01-29,2.56,2.53,0.03,1.1858,post-market
2019-09-30,2019-10-30,2.12,1.91,0.21,10.9948,post-market
2019-06-30,2019-07-24,0.91,1.85,-0.94,-50.8108,post-market
2019-03-31,2019-04-24,0.85,1.61,-0.76,-47.205,post-market
2018-12-31,2019-01-30,2.38,2.18,0.2,9.1743,post-market
2018-09-30,2018-10-30,1.76,1.45,0.31,21.3793,post-market
2018-06-30,2018-07-25,1.74,1.71,0.03,1.7544,post-market
2018-03-31,2018-04-25,1.69,1.35,0.34,25.1852,post-market
2017-12-31,2018-01-31,1.44,1.94,-0.5,-25.7732,post-market
2017-09-30,2017-11-01,1.59,1.28,0.31,24.2188,post-market
2017-06-30,2017-07-26,1.32,1.12,0.2,17.8571,post-market
2017-03-31,2017-05-04,1.04,0.87,0.17,19.5402,post-market
2016-12-31,2017-02-01,1.21,1.04,0.17,16.3462,post-market
2016-09-30,2016-11-02,0.82,0.71,0.11,15.493,post-market
2016-06-30,2016-07-27,0.71,0.57,0.14,24.5614,post-market
2016-03-31,2016-04-27,0.52,0.4,0.12,30,post-market
2015-12-31,2016-01-27,0.54,0.42,0.12,28.5714,post-market
2015-09-30,2015-11-04,0.31,0.27,0.04,14.8148,post-market
2015-06-30,2015-07-29,0.25,0.24,0.01,4.1667,post-market
2015-03-31,2015-04-22,0.18,0.16,0.02,12.5,post-market
2014-12-31,2015-01-28,0.25,0.23,0.02,8.6957,post-market
2014-09-30,2014-10-28,0.3,0.31,-0.01,-3.2258,post-market
2014-06-30,2014-07-23,0.3,0.24,0.06,25,post-market
2014-03-31,2014-04-23,0.25,0.17,0.08,47.0588,post-market
2013-12-31,2014-01-29,0.2,0.2,0,0,post-market
2013-09-30,2013-10-30,0.17,0.12,0.05,41.6667,post-market
2013-06-30,2013-07-24,0.13,0.09,0.04,44.4444,post-market
2013-03-31,2013-05-01,0.09,0.08,0.01,12.5,post-market
2012-12-31,2013-01-30,0.03,-0.01,0.04,400,post-market
2012-09-30,2012-10-23,-0.02,0.06,-0.08,-133.3333,post-market
2012-06-30,2012-07-26,-0.08,-0.14,0.06,42.8571,post-market
2012-03-31,2012-05-30,0.0645,None,0,None,pre-market
