contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
META260204C00572500,META,2026-02-04,572.50,call,0.00,96.28,92.20,1,100.35,2,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05709,0.00000,0.01568
META260204P00572500,META,2026-02-04,572.50,put,0.00,0.01,0.00,0,0.01,500,0,7,2026-02-04,0.97095,-0.00099,0.00010,-0.05684,0.00117,-0.00002
META260204C00575000,META,2026-02-04,575.00,call,0.00,93.78,89.70,1,97.85,1,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05734,0.00000,0.01575
META260204P00575000,META,2026-02-04,575.00,put,0.00,0.01,0.00,0,0.03,1,0,14,2026-02-04,0.95144,-0.00108,0.00011,-0.06017,0.00127,-0.00002
META260204C00577500,META,2026-02-04,577.50,call,0.00,91.28,87.20,3,95.35,4,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05759,0.00000,0.01582
META260204P00577500,META,2026-02-04,577.50,put,0.00,0.01,0.00,0,0.03,1,0,0,2026-02-04,0.92217,-0.00106,0.00011,-0.05727,0.00124,-0.00002
META260204C00580000,META,2026-02-04,580.00,call,0.00,88.78,84.70,1,92.85,2,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05784,0.00000,0.01589
META260204P00580000,META,2026-02-04,580.00,put,0.00,0.01,0.00,0,0.01,1,0,9,2026-02-04,0.90266,-0.00116,0.00012,-0.06071,0.00135,-0.00002
META260204C00582500,META,2026-02-04,582.50,call,0.00,86.28,82.20,1,90.35,2,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05808,0.00000,0.01596
META260204P00582500,META,2026-02-04,582.50,put,0.00,0.01,0.00,0,0.03,1,0,4,2026-02-04,0.87339,-0.00113,0.00012,-0.05759,0.00132,-0.00002
META260204C00585000,META,2026-02-04,585.00,call,0.00,83.78,79.70,4,87.85,2,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05833,0.00000,0.01603
META260204P00585000,META,2026-02-04,585.00,put,0.00,0.01,0.00,0,0.01,15,0,25,2026-02-04,0.85388,-0.00124,0.00014,-0.06113,0.00143,-0.00002
META260204C00587500,META,2026-02-04,587.50,call,0.00,81.28,77.20,3,85.35,5,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05858,0.00000,0.01609
META260204P00587500,META,2026-02-04,587.50,put,0.00,0.01,0.00,0,0.03,1,0,1,2026-02-04,0.82461,-0.00121,0.00014,-0.05779,0.00140,-0.00002
META260204C00590000,META,2026-02-04,590.00,call,142.42,79.57,76.80,6,82.35,6,0,5,2026-02-04,1.29290,0.97075,0.00147,-1.56490,0.02333,0.01561
META260204P00590000,META,2026-02-04,590.00,put,0.00,0.01,0.00,0,0.03,1,0,60,2026-02-04,0.80510,-0.00133,0.00015,-0.06145,0.00153,-0.00002
META260204C00592500,META,2026-02-04,592.50,call,0.00,76.20,72.20,1,80.20,3,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.05908,0.00000,0.01623
META260204P00592500,META,2026-02-04,592.50,put,0.00,0.01,0.00,0,0.03,1,0,2,2026-02-04,0.77583,-0.00129,0.00016,-0.05786,0.00149,-0.00002
META260204C00595000,META,2026-02-04,595.00,call,94.54,74.55,71.75,5,77.35,5,0,2,2026-02-04,1.21485,0.96971,0.00161,-1.51596,0.02401,0.01573
META260204P00595000,META,2026-02-04,595.00,put,0.00,0.01,0.00,0,0.03,1,0,20,2026-02-04,0.74657,-0.00126,0.00016,-0.05422,0.00145,-0.00002
META260204C00597500,META,2026-02-04,597.50,call,0.00,71.92,69.00,6,74.85,6,0,0,2026-02-04,1.11729,0.97520,0.00148,-1.19343,0.02033,0.01590
META260204P00597500,META,2026-02-04,597.50,put,0.01,0.01,0.00,0,0.03,1,1,9,2026-02-04,0.72706,-0.00139,0.00018,-0.05780,0.00159,-0.00003
META260204C00600000,META,2026-02-04,600.00,call,107.00,68.62,66.00,6,71.25,6,0,21,2026-02-04,0.01488,1.00000,0.00000,-0.05983,0.00000,0.01644
META260204P00600000,META,2026-02-04,600.00,put,0.00,0.01,0.00,0,0.01,500,0,155,2026-02-04,0.69779,-0.00135,0.00018,-0.05390,0.00155,-0.00002
META260204C00602500,META,2026-02-04,602.50,call,0.00,66.28,62.20,1,70.35,2,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.06008,0.00000,0.01651
META260204P00602500,META,2026-02-04,602.50,put,0.00,0.01,0.00,0,0.03,1,0,3,2026-02-04,0.67828,-0.00149,0.00020,-0.05761,0.00170,-0.00003
META260204C00605000,META,2026-02-04,605.00,call,0.00,64.57,61.80,6,67.35,6,0,0,2026-02-04,1.06851,0.96618,0.00201,-1.46336,0.02630,0.01594
META260204P00605000,META,2026-02-04,605.00,put,0.00,0.01,0.00,0,0.03,1,0,70,2026-02-04,0.64901,-0.00144,0.00021,-0.05344,0.00165,-0.00003
META260204C00607500,META,2026-02-04,607.50,call,0.00,62.07,59.30,4,64.85,4,0,0,2026-02-04,1.03924,0.96419,0.00216,-1.49074,0.02757,0.01597
META260204P00607500,META,2026-02-04,607.50,put,0.01,0.01,0.00,0,0.01,8,1,14,2026-02-04,0.62950,-0.00161,0.00024,-0.05729,0.00182,-0.00003
META260204C00610000,META,2026-02-04,610.00,call,118.00,59.58,56.80,6,62.35,6,0,0,2026-02-04,1.00022,0.96338,0.00229,-1.46274,0.02808,0.01603
META260204P00610000,META,2026-02-04,610.00,put,0.01,0.01,0.00,0,0.03,1,1,724,2026-02-04,0.60023,-0.00155,0.00024,-0.05282,0.00176,-0.00003
META260204C00612500,META,2026-02-04,612.50,call,0.00,57.08,54.30,4,59.85,4,0,0,2026-02-04,0.97095,0.96107,0.00248,-1.49139,0.02952,0.01605
META260204P00612500,META,2026-02-04,612.50,put,0.00,0.01,0.00,0,0.03,1,0,614,2026-02-04,0.58072,-0.00175,0.00028,-0.05684,0.00196,-0.00003
META260204C00615000,META,2026-02-04,615.00,call,0.00,53.78,49.70,3,57.85,2,0,0,2026-02-04,0.01488,1.00000,0.00000,-0.06133,0.00000,0.01685
META260204P00615000,META,2026-02-04,615.00,put,0.00,0.01,0.00,0,0.01,11,0,35,2026-02-04,0.55145,-0.00168,0.00028,-0.05206,0.00189,-0.00003
META260204C00617500,META,2026-02-04,617.50,call,0.00,52.08,49.30,6,54.85,6,0,0,2026-02-04,0.89291,0.95900,0.00281,-1.43337,0.03079,0.01615
META260204P00617500,META,2026-02-04,617.50,put,0.00,0.01,0.00,0,0.03,1,0,117,2026-02-04,0.53194,-0.00190,0.00033,-0.05628,0.00212,-0.00004
META260204C00620000,META,2026-02-04,620.00,call,88.35,48.92,48.55,10,49.30,14,0,2,2026-02-04,0.01488,1.00000,0.00000,-0.06182,0.00000,0.01698
META260204P00620000,META,2026-02-04,620.00,put,0.02,0.01,0.00,0,0.01,500,1,132,2026-02-04,0.50267,-0.00182,0.00033,-0.05116,0.00204,-0.00003
META260204C00622500,META,2026-02-04,622.50,call,48.80,45.02,43.15,1,46.90,1,19,19,2026-02-04,0.01488,1.00000,0.00000,-0.06207,0.00000,0.01705
META260204P00622500,META,2026-02-04,622.50,put,0.03,0.01,0.00,0,0.03,1,2,5,2026-02-04,0.48316,-0.00209,0.00039,-0.05562,0.00231,-0.00004
META260204C00625000,META,2026-02-04,625.00,call,48.04,44.12,40.40,16,47.85,1,70,70,2026-02-04,0.56121,0.99019,0.00133,-0.31916,0.00918,0.01694
