fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-12-31,USD,164791000000,200966000000,36175000000,36175000000,83276000000,12152000000,57372000000,81515000000,None,2304000000,2123000000,1165000000,None,None,None,18616000000,85932000000,25474000000,None,60458000000,None,85932000000,104548000000,60458000000
2024-12-31,USD,134340000000,164501000000,30161000000,30161000000,69380000000,9740000000,43873000000,64960000000,None,1973000000,2517000000,715000000,None,None,None,15498000000,70663000000,8303000000,None,62360000000,None,71378000000,86876000000,62360000000
2023-12-31,USD,108943000000,134902000000,25959000000,25959000000,46751000000,11408000000,38483000000,62192000000,None,677000000,1639000000,446000000,None,-150000000,None,10382000000,47428000000,8330000000,None,29734000000,None,46751000000,57133000000,39098000000
2022-12-31,USD,91360000000,116609000000,25249000000,25249000000,28944000000,11816000000,35338000000,62416000000,None,-125000000,461000000,185000000,None,-320000000,None,8686000000,28819000000,5619000000,None,23200000000,None,28944000000,37630000000,23200000000
2021-12-31,USD,95280000000,117929000000,22649000000,22649000000,46753000000,9829000000,24655000000,48527000000,None,531000000,484000000,461000000,None,210000000,None,7967000000,47284000000,7914000000,None,39370000000,None,46753000000,54720000000,39370000000
2020-12-31,USD,69273000000,85965000000,16692000000,16692000000,32671000000,6564000000,18447000000,36602000000,None,509000000,672000000,672000000,None,-34000000,None,6862000000,33180000000,4034000000,None,29146000000,None,32671000000,39533000000,29146000000
2019-12-31,USD,57927000000,70697000000,12770000000,12770000000,23986000000,10465000000,13600000000,33941000000,None,826000000,924000000,20000000,None,27000000,None,5741000000,24812000000,6327000000,None,18485000000,None,23986000000,29727000000,18485000000
2018-12-31,USD,46483000000,55838000000,9355000000,9355000000,24913000000,3451000000,10273000000,21570000000,None,448000000,661000000,9000000,None,-204000000,None,4315000000,25361000000,3249000000,None,22112000000,None,24913000000,29228000000,22112000000
2017-12-31,USD,35199000000,40653000000,5454000000,5454000000,20203000000,2517000000,7754000000,14996000000,None,391000000,398000000,6000000,None,-1000000,None,3025000000,20594000000,4660000000,None,15934000000,None,20203000000,23228000000,15934000000
2016-12-31,USD,23849000000,27638000000,3789000000,3789000000,12427000000,1731000000,5919000000,11422000000,None,91000000,176000000,10000000,None,-75000000,None,2342000000,12518000000,2301000000,None,10217000000,None,12427000000,14769000000,10217000000
2015-12-31,USD,15061000000,17928000000,2867000000,2867000000,6225000000,1295000000,4816000000,8836000000,None,-31000000,52000000,23000000,None,6000000,None,1945000000,6194000000,2506000000,None,3688000000,None,6225000000,8170000000,3688000000
2014-12-31,USD,10313000000,12466000000,2153000000,2153000000,4994000000,973000000,2666000000,5319000000,None,-84000000,27000000,23000000,None,-1000000,None,1243000000,4910000000,1970000000,None,2940000000,None,4994000000,6237000000,2940000000
2013-12-31,USD,5997000000,7872000000,1875000000,1875000000,2804000000,781000000,1415000000,3193000000,None,-50000000,19000000,56000000,None,1000000,None,1011000000,2754000000,1254000000,None,1500000000,None,2804000000,3815000000,1500000000
2012-12-31,USD,3725000000,5089000000,1364000000,1364000000,538000000,892000000,1399000000,3187000000,None,-44000000,0,51000000,None,7000000,None,649000000,494000000,441000000,None,53000000,None,538000000,1187000000,53000000
2011-12-31,USD,2851000000,3711000000,860000000,860000000,1756000000,280000000,388000000,1095000000,None,-61000000,0,42000000,None,-19000000,None,323000000,1695000000,695000000,None,None,None,1756000000,2079000000,1000000000
2010-12-31,USD,1481000000,1974000000,493000000,493000000,1032000000,138000000,144000000,449000000,None,-24000000,0,22000000,None,-2000000,None,139000000,1008000000,402000000,None,None,None,1032000000,1171000000,606000000
2009-12-31,None,554000000,777000000,223000000,223000000,262000000,205000000,87000000,292000000,None,None,None,10000000,None,None,None,78000000,254000000,25000000,None,None,None,264000000,342000000,122000000
2008-12-31,None,148000000,272000000,124000000,124000000,-55000000,156000000,47000000,203000000,None,None,None,1000000,None,None,None,None,-56000000,None,None,None,None,None,-55000000,-56000000
2007-12-31,None,112000000,153000000,41000000,41000000,-124000000,155000000,81000000,236000000,None,None,None,11000000,None,None,None,None,-135000000,3000000,None,None,None,None,-124000000,-138000000
