title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
4 Undervalued Stocks to Buy Before the Big Game,https://www.morningstar.com/stocks/4-undervalued-stocks-buy-before-big-game,20260205T101109,['Susan Dziubinski'],"This article identifies four wide-moat, undervalued stocks—Intuit, Meta Platforms, Mondelez International, and Salesforce—that Morningstar analysts recommend buying and holding for the long term, even as these companies advertise during the upcoming ""big game."" The analysts provide detailed commentary on each company's financial performance, market position, and growth prospects, highlighting their reasons for a bullish outlook. The piece contrasts a long-term investment strategy with speculative buys based on advertising exposure.",https://morningstar-morningstar-prod.web.arc-cdn.net/resizer/8jtKZ4lQxqqlWKQsiRjGhzD4QOE=/2000x2000/author-service-images-prod-us-east-1.publishing.aws.arc.pub/morningstar/35408bfa-dc38-4ae5-81e8-b11e52d70005.jpg,Morningstar,General,Morningstar,"[{'topic': 'earnings', 'relevance_score': '0.938960'}, {'topic': 'financial_markets', 'relevance_score': '0.820723'}, {'topic': 'technology', 'relevance_score': '0.737493'}, {'topic': 'finance', 'relevance_score': '0.638782'}, {'topic': 'retail_wholesale', 'relevance_score': '0.622824'}]",0.304213,Somewhat-Bullish,"[{'ticker': 'MDLZ', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.215923', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'INTU', 'relevance_score': '0.934273', 'ticker_sentiment_score': '0.440925', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'META', 'relevance_score': '0.910732', 'ticker_sentiment_score': '0.306682', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'CRM', 'relevance_score': '0.902576', 'ticker_sentiment_score': '0.340981', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Citizens reiterates Market Outperform rating on IAC stock after Q4 results,https://m.investing.com/news/analyst-ratings/citizens-reiterates-market-outperform-rating-on-iac-stock-after-q4-results-93CH-4486827?ampMode=1,20260205T095818,['Investing.com'],"Citizens has reiterated its Market Outperform rating and a $47.00 price target for IAC Inc. following its Q4 2025 results. The company's fourth-quarter revenue slightly surpassed forecasts, despite an earnings per share miss, driven by strong performance in its People Inc. segment. Citizens highlighted IAC's strategic priorities, including share repurchases and simplifying its corporate structure, as key drivers for its investment thesis.",,Investing.com,General,Investing.com,"[{'topic': 'earnings', 'relevance_score': '0.905436'}, {'topic': 'financial_markets', 'relevance_score': '0.807052'}, {'topic': 'finance', 'relevance_score': '0.712078'}, {'topic': 'technology', 'relevance_score': '0.622058'}]",0.197398,Somewhat-Bullish,"[{'ticker': 'IACVV', 'relevance_score': '0.341496', 'ticker_sentiment_score': '0.018853', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.552510', 'ticker_sentiment_score': '0.314211', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Alphabet Earnings: Continued Momentum on Cloud and Search as Capital Expenses Set to Mount,https://global.morningstar.com/en-ca/stocks/alphabet-earnings-continued-momentum-cloud-search-capital-expenses-set-mount,20260205T085856,"['Malik Ahmed Khan', 'CFA']","Alphabet reported strong fourth-quarter earnings with sales up 18%, driven significantly by Google Cloud's 48% growth, illustrating the company's success in integrating AI. Despite upbeat results, management projects substantial capital expenditures of USD 180 billion in 2026, a 97% year-over-year increase, primarily due to AI investments. Morningstar maintains a USD 340 fair value estimate for Alphabet, viewing it as a clear AI leader with a fairly valued stock.",https://cloudfront-us-east-1.images.arcpublishing.com/morningstar/4FVFILWRQFBBXNN46NLDWT4K4M.jpg,Morningstar Canada,General,Morningstar Canada,"[{'topic': 'earnings', 'relevance_score': '1.000000'}, {'topic': 'technology', 'relevance_score': '0.906686'}, {'topic': 'financial_markets', 'relevance_score': '0.722487'}]",0.170415,Somewhat-Bullish,"[{'ticker': 'GOOGL', 'relevance_score': '0.956894', 'ticker_sentiment_score': '0.320440', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.931275', 'ticker_sentiment_score': '0.289586', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'ABBV', 'relevance_score': '0.571717', 'ticker_sentiment_score': '-0.200051', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'META', 'relevance_score': '0.552515', 'ticker_sentiment_score': '0.283894', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Apple Inc. $AAPL Shares Sold by St. Johns Investment Management Company LLC,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-sold-by-st-johns-investment-management-company-llc-2026-02-05/,20260205T082732,['MarketBeat'],"St. Johns Investment Management Company LLC reduced its stake in Apple Inc. by 4.6% in the third quarter, while several other institutional investors either increased their positions or initiated new ones. Analyst ratings for Apple are largely positive, with an average rating of ""Moderate Buy"" and a price target of $291.70. The company reported strong Q1 earnings, beating consensus estimates, and recently declared a quarterly dividend.",https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,MarketBeat,General,MarketBeat,"[{'topic': 'earnings', 'relevance_score': '0.900249'}, {'topic': 'financial_markets', 'relevance_score': '0.845692'}, {'topic': 'finance', 'relevance_score': '0.733394'}, {'topic': 'technology', 'relevance_score': '0.810228'}]",0.161445,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.320171', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.621975', 'ticker_sentiment_score': '0.104671', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.636398', 'ticker_sentiment_score': '0.124217', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.643542', 'ticker_sentiment_score': '0.114746', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.600301', 'ticker_sentiment_score': '0.047288', 'ticker_sentiment_label': 'Neutral'}]"
Apple Inc. $AAPL Position Decreased by PKO Investment Management Joint Stock Co,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-position-decreased-by-pko-investment-management-joint-stock-co-2026-02-05/,20260205T082729,['MarketBeat'],"PKO Investment Management Joint Stock Co reduced its stake in Apple Inc. by 12.6% in the third quarter, now owning 195,000 shares valued at $49.65 million. Despite this reduction, Apple remains its fourth-largest holding, comprising 4.2% of its portfolio. Other institutional investors like Capstone Wealth Management LLC and Vermillion Wealth Management Inc. increased their positions in Apple during the same period.",https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,MarketBeat,General,MarketBeat,"[{'topic': 'earnings', 'relevance_score': '0.943578'}, {'topic': 'financial_markets', 'relevance_score': '0.828173'}, {'topic': 'technology', 'relevance_score': '0.714444'}, {'topic': 'finance', 'relevance_score': '0.620398'}]",0.091074,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '0.985999', 'ticker_sentiment_score': '0.345880', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.609803', 'ticker_sentiment_score': '0.146390', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.624586', 'ticker_sentiment_score': '-0.202396', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'META', 'relevance_score': '0.562863', 'ticker_sentiment_score': '0.144741', 'ticker_sentiment_label': 'Neutral'}]"
Corning (GLW) Among Hidden Winners To Watch In AI Investing Space,https://247wallst.com/investing/2026/02/05/corning-glw-among-hidden-winners-to-watch-in-ai-investing-space/,20260205T054921,['Brad Faye'],"The rapid expansion of AI is driving significant investment in data center build-outs, presenting opportunities for less visible ""glue"" companies that provide essential infrastructure. Companies like Corning (GLW), Cisco (CSCO), and potentially Amphenol (APH) supply critical fiber optics, networking components, and cabling that enable the massive data transfer required for AI. Investors are encouraged to look beyond headline-grabbing AI companies and consider these undervalued infrastructure providers benefiting from the demand for AI-driven data centers.",https://picsum.photos/150/150?random=1556146,24/7 Wall St.,General,24/7 Wall St.,"[{'topic': 'technology', 'relevance_score': '0.937495'}, {'topic': 'financial_markets', 'relevance_score': '0.803062'}, {'topic': 'economy_macro', 'relevance_score': '0.746750'}, {'topic': 'earnings', 'relevance_score': '0.620687'}]",0.332382,Somewhat-Bullish,"[{'ticker': 'GLW', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.467639', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'CSCO', 'relevance_score': '0.834075', 'ticker_sentiment_score': '0.316366', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'APH', 'relevance_score': '0.714770', 'ticker_sentiment_score': '0.345386', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.647406', 'ticker_sentiment_score': '0.390473', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'QCOM', 'relevance_score': '0.550781', 'ticker_sentiment_score': '0.138812', 'ticker_sentiment_label': 'Neutral'}]"
NVIDIA Corporation (NVDA): A Bull Case Theory,https://sg.finance.yahoo.com/news/nvidia-corporation-nvda-bull-case-031246751.html,20260205T031518,['Ricardo Pillai'],"This article summarizes a bullish thesis on NVIDIA Corporation (NVDA), highlighting its sustained growth due to AI scaling laws and its significant projected revenue from new platforms. Despite substantial capital expenditures, NVIDIA's free cash flow per share continues to rise, positioning it as a strong long-term investment. The company's leadership in AI and its parallel to historical infrastructure growth reinforce its potential for durable value creation.",https://s.yimg.com/ny/api/res/1.2/uWiu4nfjE8nYW_eDJZ_A5g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MA--/https://media.zenfs.com/en/insidermonkey.com/db28cb45a3bc4c1e8fbd43617dde2226,Yahoo Finance Singapore,General,Yahoo Finance Singapore,"[{'topic': 'technology', 'relevance_score': '1.000000'}, {'topic': 'financial_markets', 'relevance_score': '0.922149'}]",0.443043,Bullish,"[{'ticker': 'NVDA', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.895771', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.624058', 'ticker_sentiment_score': '0.327664', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'PLTR', 'relevance_score': '0.634676', 'ticker_sentiment_score': '0.333784', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.566184', 'ticker_sentiment_score': '0.338774', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Oklo (NYSE:OKLO) CFO Richard Craig Bealmear Sells 9,726 Shares",https://www.marketbeat.com/instant-alerts/oklo-nyseoklo-cfo-richard-craig-bealmear-sells-9726-shares-2026-02-04/,20260205T005925,['MarketBeat'],"Oklo (NYSE:OKLO) CFO Richard Craig Bealmear sold 9,726 shares of the company's stock on February 2nd at an average price of $76.93, totaling over $748,000. This transaction reduced his position by 4.71% and followed other recent sales by Bealmear and CEO Jacob Dewitte. The insider selling coincided with a significant intraday stock drop to $68.20 and mixed analyst ratings for the loss-making company.",https://www.marketbeat.com/logos/oklo-inc-logo-1200x675.png?v=20240923142905,MarketBeat,General,MarketBeat,"[{'topic': 'earnings', 'relevance_score': '0.947514'}, {'topic': 'financial_markets', 'relevance_score': '0.847763'}, {'topic': 'energy_transportation', 'relevance_score': '0.741570'}]",0.129251,Neutral,"[{'ticker': 'OKLO', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.270261', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'META', 'relevance_score': '0.602629', 'ticker_sentiment_score': '0.232433', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSN', 'relevance_score': '0.560047', 'ticker_sentiment_score': '0.231954', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NOW', 'relevance_score': '0.593951', 'ticker_sentiment_score': '0.217154', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.599484', 'ticker_sentiment_score': '0.209266', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
Bestinfond's Strategic Moves: ArcelorMittal SA Takes Center Stage with 4.13% Portfolio Share,https://www.gurufocus.com/news/8583184/bestinfonds-strategic-moves-arcelormittal-sa-takes-center-stage-with-413-portfolio-share,20260204T232859,['GuruFocus News'],"Bestinfond's Q4 2025 report reveals significant strategic investment decisions, including adding seven new stocks and increasing stakes in 22 others. ArcelorMittal SA was the most significant new addition, representing 4.13% of the portfolio. The fund also exited 12 holdings and reduced positions in 11, with Reckitt Benckiser Group PLC seeing a major reduction.",https://userupload.gurufocus.com/2019185007612043264.png,GuruFocus,General,GuruFocus,"[{'topic': 'financial_markets', 'relevance_score': '0.932944'}, {'topic': 'earnings', 'relevance_score': '0.800409'}]",0.367347,Bullish,"[{'ticker': 'MT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.396744', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'META', 'relevance_score': '0.638572', 'ticker_sentiment_score': '0.364408', 'ticker_sentiment_label': 'Bullish'}]"
Alphabet Live: Complete Coverage Of GOOG’s Q4 Earnings,https://247wallst.com/investing/2026/02/04/alphabet-live-complete-coverage-of-googs-q4-earnings/,20260204T205720,['Eric Bleeker'],"Alphabet (GOOG) reported its Q4 earnings, beating on both top and bottom lines, but shares initially dropped due to significantly higher-than-expected CapEx guidance of $180 billion for 2026, compared to analyst expectations of $116 billion. Despite strong growth in Google Cloud and early monetization signals from AI initiatives like Gemini, investors are scrutinizing the justification and ROI timelines for these massive infrastructure investments. The company's Q4 revenues were $113.83 billion and EPS was $2.82, with Google Cloud showing accelerated growth of 48%.",https://247wallst.com/wp-content/uploads/2026/02/goog-featured-1770236845793.webp,24/7 Wall St.,General,24/7 Wall St.,"[{'topic': 'earnings', 'relevance_score': '1.000000'}, {'topic': 'technology', 'relevance_score': '0.924922'}, {'topic': 'financial_markets', 'relevance_score': '0.717100'}]",0.205456,Somewhat-Bullish,"[{'ticker': 'GOOGL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.222254', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GOOG', 'relevance_score': '0.974069', 'ticker_sentiment_score': '0.215130', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'META', 'relevance_score': '0.617990', 'ticker_sentiment_score': '0.114280', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRM', 'relevance_score': '0.562366', 'ticker_sentiment_score': '0.238214', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
