date,shares_outstanding_diluted,shares_outstanding_basic
2025-12-31,2574000000,2574000000
2025-09-30,2572000000,2572000000
2025-06-30,2570000000,2570000000
2025-03-31,2590000000,2590000000
2024-12-31,2611000000,2528000000
2024-09-30,2600000000,2529000000
2024-06-30,2610000000,2534000000
2024-03-31,2625000000,2545000000
2023-12-31,2647000000,2565000000
2023-09-30,2641000000,2576000000
2023-06-30,2612000000,2568000000
2023-03-31,2596000000,2587000000
2022-12-31,2654000000,2639000000
2022-09-30,2687000000,2682000000
2022-06-30,2713000000,2704000000
2022-03-31,2742000000,2725000000
2021-12-31,2808000000,2764000000
2021-09-30,2859000000,2814000000
2021-06-30,2877000000,2834000000
2021-03-31,2882000000,2847000000
2020-12-31,2903000000,2854000000
2020-09-30,2891000000,2850000000
2020-06-30,2879000000,2850000000
2020-03-31,2868000000,2851000000
2019-12-31,2879000000,2851000000
2019-09-30,2874000000,2854000000
2019-06-30,2875000000,2855000000
2019-03-31,2869000000,2856000000
2018-12-31,2891000000,2875000000
2018-09-30,2913000000,2885000000
2018-06-30,2930000000,2895000000
2018-03-31,2945000000,2906000000
2017-12-31,2962000000,2910000000
2017-09-30,2956000000,2904000000
2017-06-30,2951000000,2900000000
2017-03-31,2944000000,2891000000
2016-12-31,2994000000,2881000000
2016-09-30,2915000000,2871000000
2016-06-30,2904000000,2856000000
2016-03-31,2888000000,2843000000
2015-12-31,2868000000,2824000000
2015-09-30,2863000000,2808000000
2015-06-30,2850000000,2796000000
2015-03-31,2836000000,2784000000
2014-12-31,2808000000,2761000000
2014-09-30,2644000000,2587000000
2014-06-30,2615000000,2560000000
2014-03-31,2609000000,2545000000
2013-12-31,2556000000,2456000000
2013-09-30,2528000000,2430000000
2013-06-30,2502000000,2407000000
2013-03-31,2499000000,2386000000
2012-12-31,3012000000,2372000000
2012-09-30,2420000000,2420000000
2012-06-30,1879000000,1879000000
2012-03-31,1527000000,1347000000
2011-12-31,1511000000,1327000000
2011-09-30,1520000000,1316000000
2011-06-30,1510000000,1292000000
