timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-02-04,714.6,721.3,667.46,668.99,668.99,44760243,0.0
2026-01-30,662.725,744.0,600.0,716.5,716.5,364372666,0.0
2025-12-31,639.55,711.0,637.55,660.09,660.09,334240120,0.525
2025-11-28,656.0,659.3299,581.25,647.95,647.4251,416170005,0.0
2025-10-31,721.49,759.155,645.57,648.35,647.8247,411788437,0.0
2025-09-30,726.04,790.8,721.7306,734.38,733.785,234378419,0.525
2025-08-29,760.73,796.25,731.0,738.7,737.5955,224544605,0.0
2025-07-31,736.875,784.75,691.2001,773.44,772.2835,273111822,0.0
2025-06-30,644.39,747.9,644.2616,738.09,736.9864,254794159,0.525
2025-05-30,592.075,662.67,570.5,647.49,646.0388,292501180,0.0
2025-04-30,570.84,592.66,479.8,549.0,547.7695,451371773,0.0
2025-03-31,673.675,681.25,553.3,576.36,575.0682,362861587,0.525
2025-02-28,675.91,740.91,641.86,668.2,666.1268,298434126,0.0
2025-01-31,589.72,710.79,587.82,689.18,687.0417,317942164,0.0
2024-12-31,577.5,638.4,575.57,585.51,583.6933,263232496,0.5
2024-11-29,567.605,599.66,549.05,574.32,572.0798,237811395,0.0
2024-10-31,577.98,602.95,561.52,567.58,565.3661,265908326,0.0
2024-09-30,519.64,577.4,495.6,572.44,570.2072,246373276,0.5
2024-08-30,521.0,544.23,450.8,521.31,518.7902,323379343,0.0
2024-07-31,504.95,542.81,442.65,474.83,472.5349,324021236,0.0
2024-06-28,470.86,522.8799,468.24,504.22,501.7828,226951165,0.5
2024-05-31,428.6,482.4999,427.11,466.83,464.1133,282486703,0.0
2024-04-30,487.2,531.4899,414.5,430.17,427.6666,436147995,0.0
2024-03-28,492.11,523.57,476.0,485.58,482.7541,278473986,0.0
2024-02-29,393.94,494.3599,393.05,490.13,487.2777,466261632,0.5
2024-01-31,351.32,406.36,340.01,390.14,387.4556,347229642,0.0
2023-12-29,325.48,361.9,313.66,353.96,351.5246,334028198,0.0
2023-11-30,301.85,342.92,301.85,327.15,324.899,329354280,0.0
2023-10-31,302.74,330.54,279.403,301.27,299.1971,511372074,0.0
2023-09-29,299.37,312.87,286.79,300.21,298.1444,406801410,0.0
2023-08-31,317.535,324.14,274.38,295.89,293.8541,424632813,0.0
2023-07-31,286.7,326.2,284.8499,318.6,316.4079,625339455,0.0
2023-06-30,265.9,289.79,258.88,286.98,285.0054,481179600,0.0
2023-05-31,238.615,268.65,229.85,264.72,262.8986,487059059,0.0
2023-04-28,208.84,241.685,207.13,240.32,238.6665,439810216,0.0
2023-03-31,174.59,212.17,171.43,211.94,210.4817,690450690,0.0
2023-02-28,148.03,197.16,147.06,174.94,173.7363,772199855,0.0
2023-01-31,122.82,153.19,122.28,148.97,147.945,548770812,0.0
2022-12-30,119.198,124.67,112.46,120.34,119.512,653019661,0.0
2022-11-30,94.33,118.74,88.09,118.1,117.2874,1063814422,0.0
2022-10-31,137.14,142.3901,92.6,93.16,92.519,1114165581,0.0
2022-09-30,163.58,171.39,134.1201,135.68,134.7465,634744508,0.0
2022-08-31,157.25,183.1,155.2301,162.93,161.809,551637733,0.0
2022-07-29,160.31,183.85,154.85,159.1,158.0053,586548218,0.0
2022-06-30,196.51,202.03,154.25,161.25,160.1405,686376324,0.0
2022-05-31,201.165,224.3,176.11,193.64,192.3077,680370106,0.0
2022-04-29,224.55,236.86,169.0,200.47,199.0907,671047219,0.0
2022-03-31,209.87,231.151,185.82,222.36,220.83,730939429,0.0
2022-02-28,314.555,328.0,190.22,211.03,209.578,1127891130,0.0
2022-01-31,338.295,343.0854,289.01,313.26,311.1046,426742200,0.0
2021-12-31,330.29,352.71,299.5,336.35,334.0357,437947523,0.0
2021-11-30,326.04,353.83,323.2,324.46,322.2275,440274313,0.0
2021-10-29,341.61,345.02,308.11,323.57,321.3437,588382461,0.0
2021-09-30,379.59,384.33,338.15,339.39,337.0548,338133948,0.0
2021-08-31,358.1,382.759,347.7,379.38,376.7697,226135690,0.0
2021-07-30,346.82,377.5499,334.5,356.3,353.8485,334221334,0.0
2021-06-30,330.15,358.14,323.48,347.71,345.3176,344609593,0.0
2021-05-28,326.17,333.78,298.19,328.73,326.4682,353419284,0.0
2021-04-30,298.4,331.81,296.04,325.08,322.8433,421280404,0.0
2021-03-31,260.82,299.705,253.5,294.53,292.5035,497455263,0.0
2021-02-26,259.52,276.6,254.04,257.62,255.8474,315517591,0.0
2021-01-29,274.78,286.79,244.61,258.33,256.5526,452021869,0.0
2020-12-31,279.16,291.78,264.63,273.16,271.2805,363610072,0.0
2020-11-30,264.6,297.38,257.34,276.97,275.0643,356724889,0.0
2020-10-30,265.35,285.24,254.82,263.11,261.2997,454176190,0.0
2020-09-30,294.71,303.6,244.13,261.9,260.098,499179596,0.0
2020-08-31,252.65,304.67,247.43,293.2,291.1826,574266263,0.0
2020-07-31,228.5,255.85,226.9,253.67,251.9246,516844579,0.0
2020-06-30,224.59,245.19,207.11,227.07,225.5076,548043739,0.0
2020-05-29,201.6,240.9,198.76,225.09,223.5413,509432028,0.0
2020-04-30,161.62,209.69,150.83,204.71,203.3015,541538950,0.0
2020-03-31,194.03,197.24,137.1,166.8,165.6523,649513169,0.0
2020-02-28,203.44,218.77,181.82,192.47,191.1457,317634511,0.0
2020-01-31,206.75,224.2,201.06,201.91,200.5208,347787838,0.0
2019-12-31,202.13,208.93,193.17,205.25,203.8378,278225688,0.0
2019-11-29,192.85,203.8,188.54,201.64,200.2526,258577372,0.0
2019-10-31,179.15,198.09,173.09,191.65,190.3313,329115789,0.0
2019-09-30,184.0,193.1,175.66,178.08,176.8547,267509200,0.0
2019-08-30,194.17,198.47,176.66,185.67,184.3925,295147285,0.0
2019-07-31,195.21,208.66,191.93,194.23,192.8936,351062381,0.0
2019-06-28,175.0,198.88,160.84,193.0,191.6721,426428460,0.0
2019-05-31,194.78,196.18,177.16,177.47,176.2489,286821828,0.0
2019-04-30,167.83,198.48,167.28,193.4,192.0693,382184268,0.0
2019-03-29,162.6,174.3,159.28,166.69,165.5431,388172717,0.0
2019-02-28,165.84,172.47,159.59,161.45,160.3391,302243555,0.0
2019-01-31,128.99,171.68,128.56,166.69,165.5431,527561443,0.0
2018-12-31,143.0,147.19,123.02,131.09,130.188,558786249,0.0
2018-11-30,151.52,154.13,126.85,140.61,139.6425,518150415,0.0
2018-10-31,163.03,165.88,139.03,151.79,150.7456,622446235,0.0
2018-09-28,173.5,173.89,158.87,164.46,163.3284,500468912,0.0
2018-08-31,173.93,188.3,170.27,175.73,174.5209,549016789,0.0
2018-07-31,193.37,218.62,166.56,172.58,171.3926,652763259,0.0
2018-06-29,193.07,203.55,186.43,194.32,192.983,387265765,0.0
2018-05-31,172.0,192.72,170.23,191.78,190.4605,401144183,0.0
2018-04-30,157.81,177.1,150.51,172.0,170.8165,751130388,0.0
2018-03-29,179.01,186.1,149.02,159.79,158.6906,983045332,0.0
2018-02-28,188.22,195.32,167.18,178.32,177.0931,497869797,0.0
2018-01-31,177.68,190.66,175.8,186.89,185.6041,464919779,0.0
2017-12-29,176.03,182.28,169.01,176.46,175.2459,308647940,0.0
2017-11-30,182.36,184.25,174.0,177.18,175.9609,335716436,0.0
2017-10-31,171.39,180.8,168.29,180.06,178.8211,309836859,0.0
2017-09-29,172.4,174.0,161.56,170.87,169.6943,300559928,0.0
2017-08-31,169.82,173.05,165.0,171.97,170.7868,297781301,0.0
2017-07-31,151.72,175.49,147.8,169.25,168.0855,402911091,0.0
2017-06-30,151.75,156.5,144.56,150.98,149.9412,405705533,0.0
2017-05-31,151.74,153.6,144.4216,151.46,150.4179,390036541,0.0
2017-04-28,141.93,151.53,138.81,150.25,149.2162,273330661,0.0
2017-03-31,136.47,142.95,136.08,142.05,141.0726,342098632,0.0
2017-02-28,132.25,137.1846,130.3,135.54,134.6074,384700625,0.0
2017-01-31,116.03,133.14,115.51,130.32,129.4233,379004804,0.0
2016-12-30,118.38,122.5,114.0,115.05,114.2584,408728358,0.0
2016-11-30,131.41,131.94,113.5535,118.42,117.6052,654602125,0.0
2016-10-31,128.38,133.5,126.75,130.99,130.0887,313284563,0.0
2016-09-30,126.38,131.98,125.6,128.27,127.3874,376582063,0.0
2016-08-31,123.85,126.73,122.07,126.12,125.2522,365670913,0.0
2016-07-29,114.2,128.33,112.97,123.94,123.0872,470108473,0.0
2016-06-30,118.5,135.6,108.23,114.28,113.4937,451155442,0.0
2016-05-31,117.83,121.08,114.8,118.81,117.9925,460559986,0.0
