timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-02-04,714.6,721.3,667.46,668.99,668.99,44760243,0.0
2026-01-30,665.125,744.0,661.2855,716.5,716.5,138783173,0.0
2026-01-23,607.88,666.4899,600.0,658.76,658.76,73727846,0.0
2026-01-16,652.525,653.97,614.23,620.25,620.25,78444041,0.0
2026-01-09,651.01,665.52,635.72,653.06,653.06,59691089,0.0
2026-01-02,658.01,672.22,643.5,650.41,650.41,39360836,0.0
2025-12-26,661.645,673.58,656.65,663.29,663.29,36907557,0.0
2025-12-19,645.7,671.0,638.7001,658.77,658.77,115694118,0.525
2025-12-12,669.34,711.0,638.61,644.23,643.7081,69116547,0.0
2025-12-05,639.55,676.1,637.55,673.42,672.8744,86887579,0.0
2025-11-28,598.72,648.05,597.6301,647.95,647.4251,75010589,0.0
2025-11-21,609.035,611.69,581.25,594.25,593.7686,108402329,0.0
2025-11-14,631.09,635.0,595.2,609.46,608.9663,98738450,0.0
2025-11-07,656.0,659.3299,601.2,621.71,621.2063,134018637,0.0
2025-10-31,749.73,759.155,645.57,648.35,647.8247,195726753,0.0
2025-10-24,721.19,742.41,720.18,738.36,737.7618,44289205,0.0
2025-10-17,713.01,725.49,699.33,716.915,716.3342,49577770,0.0
2025-10-10,705.185,735.27,690.51,705.3,704.7286,74205500,0.0
2025-10-03,748.72,750.78,710.18,710.56,709.9843,73462727,0.0
2025-09-26,781.845,785.73,737.3532,743.75,743.1475,51695168,0.525
2025-09-19,757.47,790.8,751.985,778.38,777.2161,66368903,0.0
2025-09-12,755.995,766.51,743.76,755.59,754.4602,52736959,0.0
2025-09-05,726.04,761.16,721.7306,752.45,751.3249,38103871,0.0
2025-08-29,754.82,758.88,735.3466,738.7,737.5955,39316894,0.0
2025-08-22,775.085,775.81,731.0,754.79,753.6614,60187591,0.0
2025-08-15,770.075,796.25,764.67,785.23,784.0559,52495033,0.0
2025-08-08,760.0,783.1299,758.41,769.3,768.1497,53516377,0.0
2025-08-01,715.2,784.75,691.2001,750.01,748.8886,106919869,0.0
2025-07-25,706.8,723.6239,701.41,712.68,711.6144,46289604,0.0
2025-07-18,717.6,728.0,691.65,704.28,703.2269,58119553,0.0
2025-07-11,717.6,737.53,709.7,717.51,716.4371,49441865,0.0
2025-07-03,744.55,747.9,712.8,719.01,717.9349,46771746,0.0
2025-06-27,683.69,735.43,678.75,733.63,732.533,66964199,0.0
2025-06-20,699.33,707.15,678.67,682.35,681.3297,56393293,0.525
2025-06-13,698.46,708.8707,681.01,682.87,681.3395,49803046,0.0
2025-06-06,644.39,702.806,644.2616,697.71,696.1462,66231516,0.0
2025-05-30,635.41,653.32,632.75,647.49,646.0388,43675628,0.0
2025-05-23,628.25,646.61,622.65,627.06,625.6546,44482926,0.0
2025-05-16,630.92,662.67,621.03,640.34,638.9048,85744892,0.0
2025-05-09,591.22,611.2959,586.58,592.49,591.162,62699441,0.0
2025-05-02,555.64,604.34,529.5,597.02,595.6819,112156295,0.0
2025-04-25,491.325,549.86,479.8,547.27,546.0434,82748232,0.0
2025-04-17,556.175,557.77,495.63,501.48,500.356,63018170,0.0
2025-04-11,485.1,587.89,481.9,543.57,542.3517,149672743,0.0
2025-04-04,563.5,592.66,494.2,504.73,503.5987,120799303,0.0
2025-03-28,614.97,633.88,573.92,576.74,575.4473,71755052,0.0
2025-03-21,607.46,613.1,574.66,596.25,594.9136,105661484,0.0
2025-03-14,608.07,633.33,586.51,607.6,606.2382,83389252,0.525
2025-03-07,673.675,681.25,600.61,625.66,623.7188,80931122,0.0
2025-02-28,686.28,688.6469,641.86,668.2,666.1268,80779542,0.0
2025-02-21,736.0,737.0,682.36,683.55,681.4292,67721946,0.0
2025-02-14,718.56,740.91,710.04,736.67,734.3843,67389106,0.0
2025-02-07,675.91,725.01,675.25,714.52,712.3031,82543532,0.0
2025-01-31,626.61,710.79,625.1,689.18,687.0417,119381675,0.0
2025-01-24,617.825,652.0,609.0082,647.49,645.481,52923519,0.0
2025-01-17,607.1,624.97,588.55,612.77,610.8688,65543274,0.0
2025-01-10,611.825,632.1011,597.34,615.86,613.9492,55974643,0.0
2025-01-03,588.75,609.5,583.85,604.63,602.754,37164437,0.0
2024-12-27,589.6,607.99,586.25,599.81,597.949,29107274,0.0
2024-12-20,629.975,632.37,580.0,585.25,583.4342,104806419,0.5
2024-12-13,623.925,638.4,606.1701,620.35,617.9303,49130163,0.0
2024-12-06,577.5,629.7899,575.57,623.77,621.337,67143256,0.0
2024-11-29,562.1,578.46,556.39,574.32,572.0798,38287127,0.0
2024-11-22,557.04,570.0,549.05,559.14,556.9591,53985252,0.0
2024-11-15,586.36,599.66,551.5,554.08,551.9188,66020965,0.0
2024-11-08,564.1,594.7999,555.1679,589.34,587.0413,64214816,0.0
2024-11-01,582.0,601.2,562.56,567.16,564.9478,92950778,0.0
2024-10-25,576.03,585.0,561.52,573.25,571.014,49487286,0.0
2024-10-18,594.22,600.1,574.03,576.47,574.2215,45480023,0.0
2024-10-11,598.22,602.95,581.61,589.95,587.6489,45728782,0.0
2024-10-04,567.7,596.85,564.8,595.94,593.6155,60371898,0.0
2024-09-27,569.5,577.4,554.19,567.36,565.147,66166129,0.0
2024-09-20,524.54,564.5,517.4,561.35,559.1604,69255730,0.5
2024-09-13,506.16,527.581,495.6,524.62,522.0842,54044146,0.0
2024-09-06,519.64,525.49,498.25,500.27,497.8519,44100065,0.0
2024-08-30,527.6,528.0,512.45,521.31,518.7902,42447764,0.0
2024-08-23,526.87,544.23,522.76,528.0,525.4479,58279624,0.0
2024-08-16,516.86,539.77,509.1,527.42,524.8707,63214275,0.0
2024-08-09,451.345,518.34,450.8,517.77,515.2673,92309940,0.0
2024-08-02,469.88,527.1709,456.7,488.14,485.7805,114143586,0.0
2024-07-26,486.575,495.22,442.65,465.7,463.449,71591230,0.0
2024-07-19,498.63,506.6799,459.12,476.79,474.4854,89108167,0.0
2024-07-12,542.35,542.81,494.23,498.87,496.4587,70878656,0.0
2024-07-05,504.95,540.87,493.17,539.91,537.3003,45427337,0.0
2024-06-28,499.2,522.8799,494.29,504.22,501.7828,60493720,0.0
2024-06-21,501.67,510.75,492.39,494.78,492.3884,59258940,0.0
2024-06-14,493.86,514.01,493.41,504.16,501.7231,53091829,0.5
2024-06-07,470.86,502.82,468.24,492.96,490.0912,54106676,0.0
2024-05-31,476.575,480.86,454.4601,466.83,464.1133,47057019,0.0
2024-05-24,469.95,479.8499,461.54,478.22,475.437,57338047,0.0
2024-05-17,472.75,482.4999,460.08,471.91,469.1637,65663289,0.0
2024-05-10,455.58,477.5,453.34,476.2,473.4287,60373022,0.0
2024-05-03,439.56,454.17,427.11,451.96,449.3298,91987468,0.0
2024-04-26,489.715,510.0,414.5,443.29,440.7102,185705182,0.0
2024-04-19,516.72,518.53,475.73,481.07,478.2704,75578595,0.0
2024-04-12,529.28,531.4899,505.8,511.9,508.921,57542681,0.0
2024-04-05,487.2,530.7,481.78,527.34,524.2711,77389395,0.0
2024-03-28,505.79,510.0,485.15,485.58,482.7541,44788439,0.0
2024-03-22,491.91,515.04,481.28,509.58,506.6145,52202585,0.0
2024-03-15,497.01,502.31,476.0,484.1,481.2827,89007219,0.0
2024-03-08,503.0,523.57,487.89,505.95,503.0056,76590861,0.0
2024-03-01,483.47,504.25,479.92,502.3,499.3768,69243423,0.0
2024-02-23,469.715,494.3599,461.79,484.03,481.2132,70992664,0.5
2024-02-16,468.19,488.62,455.09,473.32,470.0633,104693912,0.0
2024-02-09,469.88,473.59,453.0,468.11,464.8892,122781818,0.0
2024-02-02,394.985,485.96,387.1,474.99,471.7218,171972674,0.0
2024-01-26,387.95,396.79,381.1601,394.14,391.4281,77135380,0.0
2024-01-19,373.65,384.36,358.61,383.45,380.8117,66056802,0.0
2024-01-12,354.7,377.06,352.05,374.49,371.9133,85986730,0.0
2024-01-05,351.32,353.5,340.01,351.95,349.5284,60512753,0.0
2023-12-29,354.99,361.9,351.82,353.96,351.5246,49392831,0.0
2023-12-22,337.48,357.1999,337.02,353.39,350.9585,80087432,0.0
2023-12-15,329.4,338.66,319.995,334.92,332.6156,112025431,0.0
2023-12-08,317.29,333.17,313.66,332.75,330.4605,77246129,0.0
2023-12-01,336.18,339.9,320.76,324.82,322.5851,82768958,0.0
2023-11-24,334.89,342.92,334.19,338.23,335.9028,45186657,0.0
2023-11-17,326.2,338.4,325.7,335.04,332.7347,82071316,0.0
2023-11-10,315.98,329.1,314.45,328.77,326.5079,75773009,0.0
2023-11-03,299.09,318.82,296.86,314.6,312.4354,106699936,0.0
2023-10-27,309.5,318.35,279.403,296.73,294.6883,175795144,0.0
2023-10-20,318.64,325.94,306.47,308.65,306.5263,90796351,0.0
2023-10-13,312.5,330.54,311.82,314.69,312.5248,105469240,0.0
2023-10-06,302.74,316.31,298.5,315.43,313.2597,91442118,0.0
2023-09-29,295.64,310.64,286.79,300.21,298.1444,122374780,0.0
2023-09-22,298.19,308.06,293.27,299.08,297.0222,96234465,0.0
2023-09-15,301.41,312.87,298.75,300.31,298.2437,93654887,0.0
2023-09-08,297.02,307.0499,292.22,297.89,295.8404,81695021,0.0
