fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-06-30,USD,619003000000,191131000000,30242000000,30242000000,938000000,69905000000,427872000000,229789000000,None,22604000000,22604000000,119509000000,None,15133000000,64313000000,25733000000,None,275524000000,141218000000,27724000000,None,None,2999000000,134306000000,17437000000,40152000000,2999000000,None,60588000000,45940000000,45186000000,343479000000,None,237731000000,109095000000,7465000000
2024-06-30,USD,512163000000,159734000000,18315000000,18315000000,1246000000,56924000000,352429000000,154552000000,None,27597000000,27597000000,119220000000,None,14600000000,57216000000,26033000000,None,243686000000,125286000000,21996000000,None,None,8942000000,118400000000,15497000000,42688000000,8942000000,None,67127000000,31749000000,27064000000,268477000000,None,173144000000,100923000000,7469000000
2023-06-30,USD,411976000000,184257000000,34704000000,34704000000,2500000000,48688000000,227719000000,109987000000,None,9366000000,9366000000,67886000000,None,9879000000,76558000000,21807000000,None,205753000000,104149000000,18095000000,None,None,5247000000,101604000000,12728000000,41990000000,5247000000,None,59965000000,29906000000,17981000000,206223000000,None,118848000000,93718000000,7472000000
2022-06-30,USD,364840000000,169684000000,13931000000,13931000000,3742000000,44261000000,195156000000,87546000000,None,11298000000,11298000000,67524000000,None,6891000000,90826000000,16924000000,None,198298000000,95082000000,19000000000,None,None,2749000000,103216000000,11489000000,47032000000,2749000000,None,61270000000,27795000000,15526000000,166542000000,None,84281000000,86939000000,7540000000
2021-06-30,USD,333779000000,184406000000,14224000000,14224000000,2636000000,38043000000,149373000000,70803000000,None,7800000000,7800000000,49711000000,None,5984000000,116110000000,13393000000,None,191791000000,88657000000,15163000000,None,None,8072000000,103134000000,9629000000,50074000000,8072000000,None,67775000000,23897000000,13427000000,141988000000,None,57055000000,83111000000,7608000000
2020-06-30,USD,301311000000,181915000000,13576000000,13576000000,1895000000,32011000000,119396000000,44151000000,None,7038000000,7038000000,43351000000,None,2965000000,122951000000,11482000000,None,183007000000,72310000000,12530000000,None,None,3749000000,110697000000,7671000000,59578000000,3749000000,None,70998000000,20031000000,50915000000,118304000000,None,34566000000,80552000000,7683000000
2019-06-30,USD,286556000000,175552000000,11356000000,11356000000,2063000000,29524000000,111004000000,36477000000,None,7750000000,7750000000,42026000000,None,2649000000,122463000000,10146000000,None,184226000000,69420000000,9382000000,None,None,5516000000,114806000000,6188000000,66662000000,5516000000,None,78366000000,21846000000,47911000000,102330000000,None,24150000000,78520000000,7753000000
2018-06-30,USD,258848000000,169662000000,11946000000,11946000000,2662000000,26481000000,89186000000,29460000000,None,8053000000,8053000000,35683000000,None,1862000000,121822000000,6751000000,None,176130000000,58488000000,8617000000,None,None,3998000000,117642000000,5568000000,72242000000,3998000000,None,81808000000,16968000000,44859000000,82718000000,0,13682000000,71223000000,7794000000
2017-06-30,USD,241086000000,159851000000,7663000000,7663000000,2181000000,19792000000,81235000000,23734000000,None,10106000000,10106000000,35122000000,None,6023000000,125318000000,4897000000,None,168692000000,64527000000,7390000000,None,None,10121000000,104165000000,None,76073000000,10121000000,None,86194000000,12914000000,17184000000,72394000000,0,2648000000,69315000000,7832000000
2016-06-30,USD,193694000000,139660000000,6510000000,6510000000,2251000000,18277000000,54034000000,18356000000,None,3733000000,3733000000,17872000000,None,10431000000,106730000000,5892000000,None,121697000000,59357000000,6898000000,None,None,12904000000,62340000000,None,40783000000,12904000000,None,53687000000,12087000000,13640000000,71997000000,0,2282000000,68178000000,8013000000
