fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,USD,665302000000,180190000000,24296000000,24296000000,1059000000,56535000000,485112000000,286229000000,None,20289000000,20289000000,119622000000,None,21202000000,65166000000,33134000000,None,274427000000,130005000000,37328000000,None,None,4837000000,144422000000,17345000000,35425000000,4837000000,None,57607000000,34414000000,58852000000,390875000000,None,280789000000,112788000000,7460000000
2025-09-30,USD,636351000000,189066000000,28849000000,28849000000,1130000000,52894000000,447285000000,255652000000,None,21236000000,21236000000,119497000000,None,10283000000,73156000000,33037000000,None,273275000000,134996000000,32580000000,None,None,7832000000,138279000000,17348000000,35376000000,7832000000,None,60556000000,31942000000,53588000000,363076000000,None,254873000000,110964000000,7466000000
2025-06-30,USD,619003000000,191131000000,30242000000,30242000000,938000000,69905000000,427872000000,229789000000,None,22604000000,22604000000,119509000000,None,15133000000,64313000000,25733000000,None,275524000000,141218000000,27724000000,None,None,2999000000,134306000000,17437000000,40152000000,2999000000,None,60588000000,45940000000,45186000000,343479000000,None,237731000000,109095000000,7461000000
2025-03-31,USD,562624000000,156644000000,28828000000,28828000000,848000000,51700000000,405980000000,208414000000,None,23968000000,23968000000,119329000000,None,15762000000,50784000000,24484000000,None,240733000000,114206000000,26250000000,None,None,2999000000,126527000000,17686000000,39882000000,2999000000,None,60567000000,33516000000,38536000000,321891000000,None,219759000000,106965000000,7461000000
2024-12-31,USD,533898000000,147080000000,17482000000,17482000000,909000000,48188000000,386818000000,189718000000,None,25385000000,25385000000,119191000000,None,15581000000,54069000000,26432000000,None,231203000000,108882000000,22608000000,None,None,5248000000,122321000000,17254000000,39722000000,5248000000,None,62224000000,29462000000,35906000000,302695000000,None,203482000000,104829000000,7468000000
2024-09-30,USD,523013000000,149926000000,20840000000,20840000000,1626000000,44148000000,373087000000,173391000000,None,26751000000,26751000000,119374000000,None,15778000000,57589000000,25723000000,None,235290000000,115200000000,22768000000,None,None,8762000000,120090000000,16361000000,42868000000,2249000000,None,96838000000,20927000000,31165000000,287723000000,None,188929000000,102976000000,7470000000
2024-06-30,USD,512163000000,159734000000,18315000000,18315000000,1246000000,56924000000,352429000000,None,None,27597000000,27597000000,119220000000,None,14600000000,57216000000,26033000000,None,243686000000,125286000000,21996000000,None,None,19888000000,118400000000,15497000000,42688000000,8942000000,None,97852000000,31749000000,27064000000,268477000000,None,173144000000,100923000000,7472000000
2024-03-31,USD,484275000000,147180000000,19634000000,19634000000,1304000000,44029000000,337095000000,None,None,28828000000,28828000000,119163000000,None,14807000000,60379000000,21834000000,None,231123000000,118525000000,18087000000,None,None,35377000000,112598000000,14469000000,42658000000,22784000000,None,106229000000,28455000000,23271000000,253152000000,None,159394000000,99193000000,7472000000
2023-12-31,USD,470558000000,147393000000,17305000000,17305000000,1615000000,42831000000,323165000000,None,None,29896000000,29896000000,118931000000,None,13367000000,63677000000,21965000000,None,232290000000,121016000000,17695000000,None,None,33769000000,111274000000,14155000000,44928000000,29291000000,None,111358000000,20697000000,20787000000,238268000000,None,145737000000,97480000000,7468000000
2023-09-30,USD,445785000000,207586000000,80452000000,80452000000,3000000000,36953000000,238199000000,117937000000,None,8895000000,8895000000,67790000000,None,11423000000,63499000000,23682000000,None,225071000000,124792000000,19307000000,None,None,29556000000,100279000000,13487000000,41946000000,29556000000,None,88079000000,29500000000,18634000000,220714000000,None,132143000000,95508000000,7462000000
2023-06-30,USD,411976000000,184257000000,34704000000,34704000000,2500000000,48688000000,227719000000,109987000000,None,9366000000,9366000000,67886000000,None,9879000000,76552000000,21813000000,None,205753000000,104149000000,18095000000,None,None,8853000000,101604000000,12728000000,41990000000,5247000000,None,79441000000,22148000000,17981000000,206223000000,None,118848000000,93718000000,7467000000
2023-03-31,USD,380088000000,163889000000,26562000000,26562000000,2877000000,37420000000,216199000000,88132000000,None,9879000000,9879000000,67940000000,None,9415000000,77865000000,19165000000,None,185405000000,85691000000,15305000000,None,None,6245000000,99714000000,12312000000,41965000000,6245000000,None,60522000000,27238000000,57447000000,194683000000,None,108234000000,92093000000,7464000000
2022-12-31,USD,364552000000,157823000000,15646000000,15646000000,2980000000,35833000000,206729000000,82755000000,None,10354000000,10354000000,67905000000,None,7097000000,83862000000,19502000000,None,181416000000,81718000000,15354000000,None,None,3997000000,99698000000,11998000000,44119000000,3997000000,None,60114000000,25385000000,55290000000,183136000000,None,99368000000,90225000000,7473000000
2022-09-30,USD,359784000000,160812000000,22884000000,22884000000,4268000000,31279000000,198972000000,77037000000,None,10808000000,10808000000,67459000000,None,6839000000,84378000000,18003000000,None,186218000000,87389000000,16609000000,None,None,3248000000,98829000000,11660000000,45374000000,3248000000,None,60282000000,26192000000,53232000000,173566000000,None,92374000000,88535000000,7485000000
2022-06-30,USD,364840000000,169684000000,13931000000,13931000000,3742000000,44261000000,195156000000,87546000000,None,11298000000,11298000000,67524000000,None,6891000000,90818000000,16932000000,None,198298000000,95082000000,19000000000,None,None,6037000000,103216000000,11489000000,47032000000,2749000000,None,78400000000,20440000000,15526000000,166542000000,None,84281000000,86939000000,7506000000
2022-03-31,USD,344607000000,153922000000,12498000000,12498000000,3296000000,32613000000,190685000000,70298000000,None,11348000000,11348000000,67371000000,None,6907000000,92195000000,13320000000,None,181683000000,77439000000,16085000000,None,None,1749000000,104244000000,11357000000,48177000000,1749000000,None,61283000000,25578000000,55763000000,162924000000,None,79633000000,85767000000,7534000000
2021-12-31,USD,340389000000,174188000000,20604000000,20604000000,3019000000,33520000000,166201000000,67214000000,None,7462000000,7462000000,50921000000,None,6994000000,104765000000,12280000000,None,180379000000,77510000000,15314000000,None,None,4998000000,102869000000,10774000000,48260000000,4998000000,None,64032000000,23197000000,54410000000,160010000000,None,75045000000,84528000000,7555000000
2021-09-30,USD,335418000000,174326000000,19165000000,19165000000,3411000000,27349000000,161092000000,75347000000,None,7794000000,7794000000,50455000000,None,6393000000,111419000000,12982000000,None,183440000000,80528000000,14832000000,None,None,6180000000,102912000000,10050000000,50039000000,3249000000,None,78935000000,14779000000,14346000000,151978000000,None,66944000000,83751000000,7567000000
2021-06-30,USD,333779000000,184406000000,14224000000,14224000000,2636000000,38043000000,149373000000,70803000000,None,7800000000,7800000000,49711000000,None,5984000000,116032000000,13471000000,None,191791000000,88657000000,15163000000,None,None,10825000000,103134000000,9629000000,50074000000,8072000000,None,82278000000,18970000000,13427000000,141988000000,None,57055000000,83111000000,7581000000
2021-03-31,USD,308879000000,165614000000,13702000000,13702000000,2245000000,26322000000,143265000000,54945000000,None,8127000000,8127000000,49698000000,None,5395000000,111705000000,11640000000,None,174374000000,72193000000,13412000000,None,None,8051000000,102181000000,9272000000,50007000000,8051000000,None,67330000000,20647000000,52001000000,134505000000,None,50735000000,82308000000,7597000000
2020-12-31,USD,304137000000,173973000000,14432000000,14432000000,1924000000,27312000000,130164000000,51737000000,None,6555000000,6555000000,44219000000,None,3794000000,117536000000,12769000000,None,173901000000,67486000000,12770000000,None,None,5387000000,106415000000,8875000000,55136000000,5387000000,None,69398000000,18927000000,51105000000,130236000000,None,44973000000,81896000000,7616000000
2020-09-30,USD,301001000000,177077000000,17205000000,17205000000,2705000000,22851000000,123924000000,47927000000,None,6923000000,6923000000,43890000000,None,3103000000,120772000000,13544000000,None,177609000000,70056000000,12509000000,None,None,6497000000,107553000000,7753000000,57055000000,6497000000,None,71305000000,17574000000,50311000000,123392000000,None,39193000000,81089000000,7637000000
2020-06-30,USD,301311000000,181915000000,13576000000,13576000000,1895000000,32011000000,119396000000,44151000000,None,7038000000,7038000000,43351000000,None,2965000000,122951000000,11482000000,None,183007000000,72310000000,12530000000,None,None,3749000000,110697000000,7671000000,59578000000,3749000000,None,70998000000,20031000000,50915000000,118304000000,None,34566000000,80552000000,7650000000
2020-03-31,USD,285449000000,170505000000,11710000000,11710000000,1644000000,22699000000,114944000000,41221000000,None,6855000000,6855000000,42064000000,None,2660000000,125916000000,8536000000,None,170948000000,58707000000,9246000000,None,None,3748000000,112241000000,7248000000,62862000000,3748000000,None,73858000000,18701000000,49194000000,114501000000,None,32012000000,79813000000,7675000000
2019-12-31,USD,282794000000,167074000000,8864000000,8864000000,1823000000,23525000000,115720000000,40522000000,None,7126000000,7126000000,42248000000,None,2755000000,125389000000,7473000000,None,172685000000,59640000000,8811000000,None,None,6247000000,113045000000,7172000000,63361000000,6247000000,None,76780000000,17239000000,49462000000,110109000000,None,30739000000,79625000000,7691000000
2019-09-30,USD,278955000000,165896000000,13117000000,13117000000,2622000000,19087000000,113059000000,38409000000,None,7508000000,7508000000,42113000000,None,2684000000,123519000000,7551000000,None,172894000000,58118000000,8574000000,None,None,3017000000,114776000000,6659000000,66478000000,3017000000,None,76154000000,16623000000,48064000000,106061000000,None,27240000000,78882000000,7710000000
2019-06-30,USD,286556000000,175552000000,11356000000,11356000000,2063000000,29524000000,111004000000,36477000000,None,7750000000,7750000000,42026000000,None,2649000000,122463000000,10146000000,None,184226000000,69420000000,9382000000,None,None,5516000000,114806000000,6188000000,66662000000,5516000000,None,78366000000,21846000000,47911000000,102330000000,None,24150000000,78520000000,7730000000
2019-03-31,USD,263281000000,159887000000,11212000000,11212000000,1951000000,19269000000,103394000000,33648000000,None,8103000000,8103000000,41861000000,None,2403000000,120406000000,7049000000,None,168417000000,53861000000,7544000000,None,None,6515000000,114556000000,5972000000,66585000000,6515000000,None,79072000000,15551000000,46133000000,94864000000,None,18338000000,77791000000,7744000000
2018-12-31,USD,258859000000,156874000000,6638000000,6638000000,1961000000,19680000000,101985000000,32717000000,None,8482000000,8482000000,41577000000,None,2274000000,121024000000,7571000000,None,166731000000,50318000000,7563000000,None,None,3516000000,116413000000,None,69653000000,3516000000,None,78852000000,14954000000,44698000000,92128000000,None,16585000000,77556000000,7768000000
2018-09-30,USD,257619000000,164195000000,15137000000,15137000000,3614000000,17390000000,93424000000,31430000000,None,7579000000,7579000000,35855000000,None,2034000000,120743000000,7311000000,None,171652000000,56277000000,8511000000,None,None,6497000000,115375000000,None,69733000000,6497000000,None,81882000000,14565000000,43665000000,85967000000,0,17279000000,71303000000,7766000000
2018-06-30,USD,258848000000,169662000000,11946000000,11946000000,2662000000,26481000000,89186000000,29460000000,None,8053000000,8053000000,35683000000,None,1862000000,121822000000,6751000000,None,176130000000,58488000000,8617000000,None,None,3998000000,117642000000,None,72242000000,5397000000,None,81808000000,16968000000,44859000000,82718000000,0,13682000000,71223000000,7775000000
2018-03-31,USD,245497000000,156659000000,9221000000,9221000000,2084000000,17208000000,88838000000,27929000000,None,8544000000,8544000000,35582000000,None,2818000000,123049000000,5097000000,None,166258000000,46133000000,7623000000,None,None,3677000000,120125000000,None,73480000000,4829000000,None,82908000000,13463000000,41643000000,79239000000,0,9974000000,70418000000,7794000000
2017-12-31,USD,256003000000,167633000000,12859000000,12859000000,2003000000,18428000000,88370000000,26304000000,None,9034000000,9034000000,35355000000,None,3961000000,129921000000,4422000000,None,177643000000,58099000000,7850000000,None,None,15912000000,119544000000,None,73348000000,4789000000,None,94900000000,13028000000,40510000000,78360000000,0,8567000000,70192000000,7710000000
2017-09-30,USD,249097000000,161031000000,6884000000,6884000000,3211000000,14561000000,88066000000,24809000000,None,9598000000,9598000000,35389000000,None,5343000000,131587000000,4788000000,None,159450000000,51615000000,6866000000,None,None,9220000000,107835000000,None,76255000000,2302000000,None,91243000000,12751000000,23941000000,89647000000,0,19702000000,69419000000,7799000000
2017-06-30,USD,250312000000,159851000000,7663000000,7663000000,2181000000,22431000000,87616000000,23734000000,None,10106000000,10106000000,35122000000,None,6023000000,125318000000,2258000000,None,162601000000,55745000000,7390000000,None,None,10121000000,106856000000,None,76073000000,2472000000,None,95527000000,37516000000,17184000000,87711000000,0,17769000000,69315000000,7806000000
2017-03-31,USD,225017000000,146313000000,6713000000,6713000000,1979000000,12882000000,78704000000,21962000000,None,10547000000,10547000000,34668000000,None,7381000000,119305000000,5434000000,None,155288000000,52005000000,6217000000,None,None,7872000000,103283000000,None,76222000000,7786000000,None,85995000000,10830000000,17381000000,69729000000,0,531000000,68554000000,7813000000
2016-12-31,USD,224610000000,144949000000,8468000000,8468000000,1961000000,14343000000,79661000000,21379000000,None,11001000000,11001000000,34524000000,None,8912000000,114313000000,5864000000,None,155801000000,70787000000,6580000000,None,None,25720000000,85014000000,None,59306000000,25664000000,None,87806000000,11950000000,15980000000,68809000000,0,120000000,68177000000,7830000000
