fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-06-30,USD,136162000000,None,None,None,None,34153000000,64551000000,None,309000000,None,-72599000000,-51699000000,None,None,None,None,24082000000,24082000000,None,None,None,None,-18420000000,None,None,None,101832000000
2024-06-30,USD,118548000000,None,None,None,None,22287000000,44477000000,None,1284000000,None,-96970000000,-37757000000,None,None,None,None,21771000000,21771000000,None,None,None,None,-17254000000,None,None,None,88136000000
2023-06-30,USD,87582000000,None,None,None,None,13861000000,28107000000,None,1242000000,None,-22680000000,-43935000000,None,None,None,None,19800000000,19800000000,None,None,None,None,-22245000000,None,None,None,72361000000
2022-06-30,USD,89035000000,None,None,None,None,14460000000,23886000000,-6834000000,-1123000000,None,-30311000000,-58876000000,None,None,None,None,18135000000,18135000000,None,None,None,None,-32696000000,None,-152000000,None,72738000000
2021-06-30,USD,76740000000,None,None,None,None,11686000000,20622000000,-6481000000,-737000000,None,-27577000000,-48486000000,None,None,None,None,16521000000,16521000000,None,None,None,None,-27385000000,None,648000000,-29000000,61271000000
2020-06-30,USD,60675000000,None,None,None,None,12796000000,15441000000,-2577000000,168000000,None,-12223000000,-46031000000,None,None,None,None,15137000000,15137000000,None,None,None,None,-22968000000,None,2220000000,-201000000,44281000000
2019-06-30,USD,52185000000,None,None,None,None,11682000000,13925000000,-2812000000,597000000,None,-15773000000,-36887000000,None,None,None,None,13811000000,13811000000,None,None,None,None,-19543000000,None,-590000000,-115000000,39240000000
2018-06-30,USD,43884000000,None,None,None,None,10261000000,11632000000,-3862000000,-465000000,None,-6061000000,-33590000000,None,None,None,None,12699000000,12699000000,None,None,None,None,-10721000000,None,4283000000,50000000,16571000000
2017-06-30,USD,39507000000,None,None,None,None,8778000000,8129000000,-925000000,50000000,None,-46781000000,8408000000,None,None,None,None,11845000000,11845000000,None,None,None,None,-11788000000,None,1153000000,19000000,25489000000
2016-06-30,USD,33325000000,None,None,None,None,6622000000,8343000000,-530000000,600000000,None,-23950000000,-8393000000,None,None,None,None,11006000000,11006000000,None,None,None,None,-15969000000,None,915000000,-67000000,20539000000
2015-06-30,USD,29668000000,None,None,None,None,5957000000,5944000000,1456000000,-272000000,None,-23001000000,-9668000000,None,None,None,None,9882000000,9882000000,None,None,None,None,-14443000000,None,-3074000000,-73000000,12193000000
2014-06-30,USD,32502000000,None,None,None,None,5212000000,5485000000,-1120000000,-161000000,None,-18833000000,-8665000000,None,None,None,None,8879000000,8879000000,None,None,None,None,-7316000000,None,4865000000,-139000000,22074000000
2013-06-30,USD,28833000000,None,None,None,None,3755000000,4257000000,-1807000000,-802000000,None,-23811000000,-8148000000,None,None,None,None,7455000000,7455000000,None,None,None,None,-5360000000,None,-3134000000,-8000000,21863000000
2012-06-30,USD,31626000000,None,None,None,None,2967000000,2305000000,-1156000000,184000000,None,-24786000000,-9408000000,None,None,None,None,6385000000,6385000000,None,None,None,None,-5029000000,None,-2672000000,-104000000,16978000000
2011-06-30,USD,26994000000,None,None,None,None,2766000000,2355000000,-1451000000,-561000000,None,-14616000000,-8376000000,None,None,None,None,5180000000,5180000000,None,None,None,None,-11555000000,None,4105000000,103000000,23150000000
2010-06-30,USD,24073000000,None,None,None,None,2673000000,1977000000,-2238000000,0,None,-11314000000,-13291000000,None,None,None,None,4578000000,4578000000,None,None,None,None,-11269000000,None,-571000000,-39000000,18760000000
2009-06-30,USD,19037000000,None,None,None,None,2562000000,3119000000,None,None,None,-15770000000,-7463000000,None,None,None,None,4468000000,4468000000,None,None,None,None,-9353000000,None,None,None,14569000000
2008-06-30,USD,21612000000,None,None,None,None,2056000000,3182000000,None,None,None,-4587000000,-12934000000,None,None,None,None,4015000000,4015000000,None,None,None,None,-12533000000,None,None,None,17681000000
2007-06-30,USD,17796000000,None,None,None,None,1440000000,2264000000,None,None,None,6089000000,-24544000000,None,None,None,None,3805000000,3805000000,None,None,None,None,-27575000000,None,None,None,14065000000
2006-06-30,USD,14404000000,None,None,None,None,903000000,1578000000,None,None,None,8003000000,-20562000000,None,None,None,None,3545000000,3545000000,None,None,None,None,-19207000000,None,None,None,12599000000
