fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-12-31,USD,35758000000,None,None,None,None,9198000000,29876000000,None,70000000,None,-22705000000,-17617000000,None,None,None,None,6762000000,6762000000,None,None,None,None,-7415000000,None,None,None,38458000000
2025-09-30,USD,45057000000,None,None,None,None,13061000000,19394000000,None,-192000000,None,-28350000000,-11799000000,None,None,None,None,6169000000,6169000000,None,None,None,None,-5650000000,None,None,None,27747000000
2025-06-30,USD,42647000000,None,None,None,None,11203000000,17079000000,None,-81000000,None,-30572000000,-10844000000,None,None,None,None,6169000000,6169000000,None,None,None,None,-4546000000,None,None,None,27233000000
2025-03-31,USD,37044000000,None,None,None,None,8740000000,16745000000,None,52000000,None,-12714000000,-13036000000,None,None,None,None,6169000000,6169000000,None,None,None,None,-4781000000,None,None,None,25824000000
2024-12-31,USD,22291000000,None,None,None,None,6827000000,15804000000,None,711000000,None,None,-11243000000,None,None,None,None,6170000000,6170000000,None,None,None,None,-4986000000,None,None,None,24108000000
2024-09-30,USD,34180000000,None,None,None,None,7383000000,14923000000,None,-373000000,None,-15201000000,-16576000000,None,None,None,None,5574000000,5574000000,None,None,None,None,-4107000000,None,None,None,24667000000
2024-06-30,USD,37195000000,None,None,None,None,6380000000,13873000000,None,55000000,None,-14848000000,-23563000000,None,None,None,None,5574000000,5574000000,None,None,None,None,-4210000000,None,None,None,22036000000
2024-03-31,USD,31917000000,None,None,None,None,6027000000,10952000000,None,260000000,None,-10700000000,-18808000000,None,None,None,None,5572000000,5572000000,None,None,None,None,-4213000000,None,None,None,21939000000
2023-12-31,USD,18853000000,None,None,None,None,5959000000,9735000000,None,1474000000,None,-71925000000,-10147000000,None,None,None,None,5574000000,5574000000,None,None,None,None,-4000000000,None,None,None,21870000000
2023-09-30,USD,30583000000,None,None,None,None,3921000000,9917000000,None,-505000000,None,503000000,14761000000,None,None,None,None,5051000000,5051000000,None,None,None,None,-4831000000,None,None,None,22291000000
2023-06-30,USD,28770000000,None,None,None,None,3874000000,8943000000,None,374000000,None,-22680000000,-11413000000,None,None,None,None,5054000000,5054000000,None,None,None,None,-5704000000,None,None,None,20081000000
2023-03-31,USD,24441000000,None,None,None,None,3549000000,6607000000,-1408000000,106000000,None,-3264000000,-10290000000,None,None,None,None,5059000000,5059000000,None,None,None,None,-5509000000,None,10887000000,None,18299000000
2022-12-31,USD,11173000000,None,None,None,None,3648000000,6274000000,-3164000000,1305000000,None,-7150000000,-11349000000,None,None,None,None,5066000000,5066000000,None,None,None,None,-5459000000,None,-7326000000,None,16425000000
2022-09-30,USD,23198000000,None,None,None,None,2790000000,6283000000,11729000000,-543000000,None,-3132000000,-10883000000,None,None,None,None,4621000000,4621000000,None,None,None,None,-5573000000,None,9183000000,None,17556000000
2022-06-30,USD,24629000000,None,None,None,None,3979000000,6871000000,-12634000000,-461000000,None,-9729000000,-13269000000,None,None,None,None,4632000000,4632000000,None,None,None,None,-8757000000,None,1574000000,None,16740000000
2022-03-31,USD,25386000000,None,None,None,None,3773000000,5340000000,857000000,-279000000,None,-16171000000,-17345000000,None,None,None,None,4645000000,4645000000,None,None,None,None,-8822000000,None,-8106000000,24000000,16728000000
2021-12-31,USD,14480000000,None,None,None,None,3496000000,5865000000,-5543000000,394000000,None,-1161000000,-11986000000,None,None,None,None,4652000000,4652000000,None,None,None,None,-7433000000,None,1439000000,106000000,18765000000
2021-09-30,USD,24540000000,None,None,None,None,3212000000,5810000000,10486000000,-777000000,None,-3250000000,-16276000000,None,None,None,None,4206000000,4206000000,None,None,None,None,-7684000000,None,4941000000,-73000000,20505000000
2021-06-30,USD,22710000000,None,None,None,None,3344000000,6452000000,-11606000000,-388000000,None,-10853000000,-11371000000,None,None,None,None,4214000000,4214000000,None,None,None,None,-7177000000,None,522000000,36000000,16458000000
2021-03-31,USD,22179000000,None,None,None,None,2936000000,5089000000,290000000,-329000000,None,-9684000000,-13192000000,None,None,None,None,4221000000,4221000000,None,None,None,None,-6930000000,None,-730000000,-33000000,15457000000
2020-12-31,USD,12516000000,None,None,None,None,2761000000,4174000000,-4008000000,788000000,None,-1669000000,-13634000000,None,None,None,None,4230000000,4230000000,None,None,None,None,-6535000000,None,-2773000000,14000000,15463000000
2020-09-30,USD,19335000000,None,None,None,None,2645000000,4907000000,8843000000,-808000000,None,-5371000000,-10289000000,None,None,None,None,3856000000,3856000000,None,None,None,None,-6743000000,None,3629000000,-46000000,13893000000
2020-06-30,USD,18673000000,None,None,None,None,3504000000,4744000000,-9355000000,-251000000,None,-4462000000,-12262000000,None,None,None,None,3865000000,3865000000,None,None,None,None,-5791000000,None,1866000000,-83000000,11202000000
2020-03-31,USD,17504000000,None,None,None,None,3118000000,3767000000,891000000,181000000,None,51000000,-14645000000,None,None,None,None,3876000000,3876000000,None,None,None,None,-7059000000,None,2846000000,-64000000,10752000000
2019-12-31,USD,10680000000,None,None,None,None,3203000000,3545000000,-4203000000,799000000,None,-6036000000,-8915000000,None,None,None,None,3886000000,3886000000,None,None,None,None,-5206000000,None,-4253000000,18000000,11649000000
2019-09-30,USD,13818000000,None,None,None,None,2971000000,3385000000,10090000000,-561000000,None,-1776000000,-10209000000,None,None,None,None,3510000000,3510000000,None,None,None,None,-4912000000,None,1761000000,-72000000,10678000000
2019-06-30,USD,16108000000,None,None,None,None,2924000000,4051000000,-10070000000,-113000000,None,-7257000000,-8686000000,None,None,None,None,3521000000,3521000000,None,None,None,None,-4633000000,None,144000000,-21000000,13187000000
2019-03-31,USD,13520000000,None,None,None,None,2926000000,2565000000,460000000,12000000,None,-1363000000,-7601000000,None,None,None,None,3526000000,3526000000,None,None,None,None,-4753000000,None,4574000000,18000000,8809000000
2018-12-31,USD,8900000000,None,None,None,None,2995000000,3707000000,-2396000000,1654000000,None,-4200000000,-13216000000,None,None,None,None,3544000000,3544000000,None,None,None,None,-6413000000,None,-8499000000,17000000,8420000000
2018-09-30,USD,13657000000,None,None,None,None,2837000000,3602000000,9194000000,-956000000,None,-2953000000,-7384000000,None,None,None,None,3220000000,3220000000,None,None,None,None,-3744000000,None,3191000000,-129000000,8824000000
2018-06-30,USD,11418000000,None,None,None,None,2516000000,3980000000,-9188000000,-572000000,None,-2670000000,-6039000000,None,None,None,None,3226000000,3226000000,None,None,None,None,-2362000000,None,2725000000,16000000,8873000000
2018-03-31,USD,12151000000,None,None,None,None,2710000000,2934000000,1285000000,-75000000,None,3844000000,-19658000000,None,None,None,None,3232000000,3232000000,None,None,None,None,-3781000000,None,-3638000000,25000000,7424000000
2017-12-31,USD,7875000000,None,None,None,None,2536000000,2586000000,-3908000000,1205000000,None,-331000000,-1552000000,None,None,None,None,3238000000,3238000000,None,None,None,None,-2008000000,None,5975000000,-17000000,-6302000000
2017-09-30,USD,12440000000,None,None,None,None,2499000000,2132000000,7949000000,-1023000000,None,-6904000000,-6341000000,None,None,None,None,3003000000,3003000000,None,None,None,None,-2570000000,None,-779000000,26000000,6576000000
2017-06-30,USD,11005000000,None,None,None,None,2343000000,2283000000,-6875000000,-199000000,None,-7369000000,-2701000000,None,None,None,None,3009000000,3009000000,None,None,None,None,-1765000000,None,950000000,15000000,6513000000
2017-03-31,USD,10660000000,None,None,None,None,2453000000,1695000000,1487000000,-16000000,None,-6191000000,-6236000000,None,None,None,None,3012000000,3012000000,None,None,None,None,-2062000000,None,-1755000000,12000000,5486000000
2016-12-31,USD,6293000000,None,None,None,None,2166000000,1988000000,-2711000000,1132000000,None,-14751000000,3016000000,None,None,None,None,3024000000,3024000000,None,None,None,None,-3599000000,None,-5460000000,-18000000,6267000000
2016-09-30,USD,11549000000,None,None,None,None,1816000000,2163000000,7174000000,-867000000,None,-18470000000,14329000000,None,None,None,None,2800000000,2800000000,None,None,None,None,-4362000000,None,7418000000,10000000,5667000000
2016-06-30,USD,8464000000,None,None,None,None,1910000000,2655000000,-6076000000,192000000,None,-10073000000,971000000,None,None,None,None,2821000000,2821000000,None,None,None,None,-3677000000,None,-660000000,-22000000,3122000000
2016-03-31,USD,10367000000,None,None,None,None,1707000000,2308000000,2288000000,241000000,None,-5483000000,-4916000000,None,None,None,None,2842000000,2842000000,None,None,None,None,-3857000000,None,-15000000,17000000,3756000000
2015-12-31,USD,5618000000,None,None,None,None,1544000000,2024000000,-3118000000,1104000000,None,-3328000000,-518000000,None,None,None,None,2868000000,2868000000,None,None,None,None,-3678000000,None,1754000000,-18000000,5018000000
2015-09-30,USD,8876000000,None,None,None,None,1461000000,1356000000,6376000000,-937000000,None,-5066000000,-3930000000,None,None,None,None,2475000000,2475000000,None,None,None,None,-4757000000,None,-164000000,-44000000,4902000000
