date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-06-30,next fiscal year,19.0411,24.3100,16.6100,37.0000,18.5547,18.5447,18.5308,18.5318,22.0000,,22.0000,4.0000,378420647660.00,397525255600.00,356510000000.00,52.00
2026-06-30,historical fiscal year,17.1763,19.7100,16.4065,30.0000,15.6649,15.6784,15.6331,15.6489,22.0000,,22.0000,1.0000,327874205400.00,331512052020.00,320447000000.00,47.00
2026-03-31,historical fiscal quarter,4.0790,5.3000,3.7000,30.0000,3.9006,3.9109,3.9003,3.9072,18.0000,,18.0000,4.0000,81357143350.00,82290000000.00,80683000000.00,40.00
2025-12-31,historical fiscal quarter,3.8486,4.0300,3.4100,33.0000,3.8504,3.8504,3.8452,3.8071,1.0000,,1.0000,0.0000,80279321740.00,81661025500.00,78581000000.00,39.00
2025-09-30,historical fiscal quarter,3.6619,3.7902,3.5000,34.0000,3.6606,3.6615,3.6612,3.5577,3.0000,,4.0000,0.0000,75389069450.00,76641448730.00,70066000000.00,39.00
2025-06-30,historical fiscal year,13.4081,13.7900,13.2800,50.0000,13.4054,13.3996,13.3929,13.1383,1.0000,,4.0000,2.0000,279066640550.00,283148000000.00,276495000000.00,55.00
2025-03-31,historical fiscal quarter,3.2160,3.3100,3.1400,36.0000,3.2147,3.2134,3.2129,3.1535,1.0000,,1.0000,1.0000,68441633850.00,69358000000.00,66390000000.00,37.00
2024-12-31,historical fiscal quarter,3.1049,3.2500,3.0100,31.0000,3.1153,3.1233,3.1389,3.2326,1.0000,,1.0000,9.0000,68807962480.00,70520000000.00,68159000000.00,36.00
2024-09-30,historical fiscal quarter,3.1000,3.1800,2.9600,32.0000,3.0900,3.1000,3.1000,3.1100,1.0000,,3.0000,0.0000,64508100000.00,65196500000.00,64221700000.00,32.00
2024-06-30,historical fiscal year,11.8000,12.2000,11.7100,43.0000,11.8000,11.8000,10.9200,11.7900,1.0000,,5.0000,1.0000,244935000000.00,248470000000.00,244395000000.00,50.00
2024-03-31,historical fiscal quarter,2.8200,2.9500,2.7800,32.0000,2.8300,2.6000,2.6100,2.6400,1.0000,,2.0000,1.0000,60803700000.00,62059100000.00,60274900000.00,34.00
2023-12-31,historical fiscal quarter,2.5700,3.0600,2.5100,33.0000,2.7800,2.7800,2.5300,2.6200,1.0000,,2.0000,0.0000,56364600000.00,57005500000.00,56110900000.00,31.00
2023-09-30,historical fiscal quarter,2.5000,2.5800,2.4100,34.0000,2.6500,2.4900,2.6500,2.3400,1.0000,,2.0000,2.0000,51397800000.00,52204400000.00,50802900000.00,33.00
2023-06-30,historical fiscal year,8.7000,8.8400,8.6300,21.0000,9.6500,9.6500,9.6600,9.3300,0.0000,,4.0000,1.0000,189958000000.00,192253000000.00,189460000000.00,49.00
2023-03-31,historical fiscal quarter,2.2300,2.2900,2.1500,36.0000,2.2300,2.2300,2.2300,2.3200,1.0000,,2.0000,0.0000,51017600000.00,51666000000.00,50646000000.00,35.00
2022-12-31,historical fiscal quarter,2.2900,2.6000,2.1300,35.0000,2.3100,2.2900,2.2900,2.5500,1.0000,,3.0000,4.0000,52955400000.00,53475000000.00,52389000000.00,32.00
2022-09-30,historical fiscal quarter,2.3000,2.3800,2.2300,32.0000,2.3100,2.3200,2.3200,2.4800,0.0000,,1.0000,2.0000,49610700000.00,50216000000.00,48572000000.00,30.00
2022-06-30,historical fiscal year,9.3100,9.7500,9.2300,25.0000,9.3100,9.3000,9.3200,9.3300,1.0000,0.0000,2.0000,1.0000,198865000000.00,200132000000.00,195033000000.00,42.00
2022-03-31,historical fiscal quarter,2.1800,2.2900,2.1400,29.0000,2.1800,2.1900,2.1900,2.1700,1.0000,,2.0000,2.0000,49033300000.00,49719000000.00,48593000000.00,30.00
2021-12-31,historical fiscal quarter,2.3100,2.4600,2.2700,29.0000,2.3100,2.3100,2.3100,2.2300,0.0000,0.0000,1.0000,0.0000,50876600000.00,51800000000.00,50536700000.00,29.00
2021-09-30,historical fiscal quarter,2.0700,2.1700,2.0300,27.0000,2.0700,2.0700,2.0700,1.9500,2.0000,0.0000,2.0000,,43970800000.00,44767000000.00,43658900000.00,25.00
2021-06-30,historical fiscal year,7.7700,7.8700,7.2400,31.0000,7.7700,7.7700,7.7900,7.4000,0.0000,0.0000,0.0000,,166179000000.00,166851000000.00,164467000000.00,34.00
2021-03-31,historical fiscal quarter,1.7800,1.9300,1.6900,27.0000,1.7700,1.7700,1.7700,1.5800,0.0000,0.0000,1.0000,,41025500000.00,41894000000.00,40541000000.00,25.00
2020-12-31,historical fiscal quarter,1.6400,1.8600,1.5700,27.0000,1.6400,1.6400,1.6400,1.6000,1.0000,0.0000,1.0000,,40183100000.00,41145000000.00,39705000000.00,25.00
2020-09-30,historical fiscal quarter,1.5400,1.6100,1.4900,27.0000,1.5400,1.5400,1.5400,1.5400,1.0000,0.0000,2.0000,,35720400000.00,36394000000.00,35299100000.00,25.00
2020-06-30,historical fiscal year,5.6800,5.8100,5.6000,32.0000,5.6900,5.6900,5.6900,5.5900,0.0000,2.0000,1.0000,,141500000000.00,142121000000.00,140269000000.00,32.00
2020-03-31,historical fiscal quarter,1.2600,1.3500,1.1700,26.0000,1.2900,1.3000,1.3200,1.2400,0.0000,5.0000,1.0000,,33657000000.00,34523500000.00,32751000000.00,23.00
2019-12-31,historical fiscal quarter,1.3200,1.3600,1.2800,29.0000,1.3200,1.3200,1.3200,1.3200,0.0000,0.0000,3.0000,,35675000000.00,36145000000.00,35346900000.00,27.00
