contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
MSFT260204C00385000,MSFT,2026-02-04,385.00,call,30.28,28.85,27.45,96,30.25,12,14,4,2026-02-04,0.01488,1.00000,0.00000,-0.03839,0.00000,0.01055
MSFT260204P00385000,MSFT,2026-02-04,385.00,put,0.01,0.01,0.00,0,0.01,7,272,802,2026-02-04,0.51243,-0.00305,0.00084,-0.05153,0.00202,-0.00003
MSFT260204C00387500,MSFT,2026-02-04,387.50,call,27.80,26.32,24.95,96,27.70,8,10,0,2026-02-04,0.01488,1.00000,0.00000,-0.03864,0.00000,0.01062
MSFT260204P00387500,MSFT,2026-02-04,387.50,put,0.01,0.01,0.00,0,0.01,8,326,867,2026-02-04,0.47340,-0.00342,0.00100,-0.05268,0.00223,-0.00004
MSFT260204C00390000,MSFT,2026-02-04,390.00,call,23.05,24.27,24.15,6,24.40,1,12,28,2026-02-04,0.50267,0.98939,0.00257,-0.19134,0.00608,0.01056
MSFT260204P00390000,MSFT,2026-02-04,390.00,put,0.01,0.01,0.00,0,0.01,2,163,345,2026-02-04,0.42462,-0.00323,0.00106,-0.04491,0.00212,-0.00004
MSFT260204C00392500,MSFT,2026-02-04,392.50,call,21.65,21.77,21.65,1,21.90,1,6,2,2026-02-04,0.45389,0.98870,0.00301,-0.18454,0.00643,0.01062
MSFT260204P00392500,MSFT,2026-02-04,392.50,put,0.01,0.01,0.00,0,0.01,20,149,1089,2026-02-04,0.38560,-0.00368,0.00132,-0.04581,0.00238,-0.00004
MSFT260204C00395000,MSFT,2026-02-04,395.00,call,18.05,19.27,19.15,2,19.40,1,5,58,2026-02-04,0.40511,0.98786,0.00359,-0.17748,0.00684,0.01068
MSFT260204P00395000,MSFT,2026-02-04,395.00,put,0.01,0.01,0.00,0,0.01,33,2314,1478,2026-02-04,0.34658,-0.00427,0.00167,-0.04705,0.00273,-0.00005
MSFT260204C00397500,MSFT,2026-02-04,397.50,call,15.55,16.77,16.65,2,16.90,1,5,48,2026-02-04,0.36609,0.98466,0.00486,-0.19220,0.00837,0.01071
MSFT260204P00397500,MSFT,2026-02-04,397.50,put,0.01,0.01,0.00,0,0.01,26,2060,550,2026-02-04,0.30755,-0.00510,0.00221,-0.04882,0.00319,-0.00006
MSFT260204C00400000,MSFT,2026-02-04,400.00,call,14.45,14.28,14.15,9,14.40,1,244,197,2026-02-04,0.32707,0.97985,0.00687,-0.21179,0.01056,0.01073
MSFT260204P00400000,MSFT,2026-02-04,400.00,put,0.01,0.01,0.00,0,0.01,4,7979,4356,2026-02-04,0.25877,-0.00483,0.00250,-0.03912,0.00304,-0.00006
MSFT260204C00402500,MSFT,2026-02-04,402.50,call,10.55,11.78,11.65,2,11.90,1,10,20,2026-02-04,0.27829,0.97613,0.00932,-0.20875,0.01219,0.01075
