transaction_date,ticker,executive,executive_title,security_type,acquisition_or_disposal,shares,share_price
2026-01-15,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,32.587,459.38
2025-12-15,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,335.03,478.53
2025-12-15,MSFT,"JOLLA, ALICE L.",Chief Accounting Officer,Common Stock,D,617.795,478.53
2025-12-11,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,48.038,0.0
2025-12-11,MSFT,"LIST, TERI",Director,Restricted Stock Units,A,43.15,0.0
2025-12-11,MSFT,"MACGREGOR, CATHERINE",Director,Restricted Stock Units,A,3.166,0.0
2025-12-11,MSFT,"WALMSLEY, EMMA N",Director,Restricted Stock Units,A,1.807,0.0
2025-12-11,MSFT,"RODRIGUEZ, CARLOS A",Director,Restricted Stock Units,A,8.662,0.0
2025-12-11,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,25.899,0.0
2025-12-11,MSFT,"JOHNSTON, HUGH F",Director,Restricted Stock Units,A,3.07,0.0
2025-12-11,MSFT,"HOFFMAN, REID",Director,Restricted Stock Units,A,30.891,0.0
2025-12-10,MSFT,"HOGAN, KATHLEEN T","EVP, Strategy",Common Stock,D,150.0,0.0
2025-12-04,MSFT,"JOHNSTON, HUGH F",Director,Restricted Stock Units,A,218.368,0.0
2025-12-04,MSFT,"NUMOTO, TAKESHI","EVP, Chief Marketing Officer",Common Stock,D,2850.0,478.72
2025-12-04,MSFT,"RODRIGUEZ, CARLOS A",Director,Restricted Stock Units,A,220.967,0.0
2025-12-04,MSFT,"WALMSLEY, EMMA N",Director,Restricted Stock Units,A,129.981,0.0
2025-12-04,MSFT,"MACGREGOR, CATHERINE",Director,Restricted Stock Units,A,194.971,0.0
2025-12-04,MSFT,"HOFFMAN, REID",Director,Restricted Stock Units,A,194.971,0.0
2025-12-04,MSFT,"MASON, MARK",Director,Common Stock,A,130.0,0.0
2025-12-04,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,239.165,0.0
2025-12-04,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,207.969,0.0
2025-12-04,MSFT,"LIST, TERI",Director,Common Stock,A,130.0,0.0
2025-12-04,MSFT,"SCHARF, CHARLES W",Director,Common Stock,A,130.0,0.0
2025-12-04,MSFT,"STANTON, JOHN W",Director,Common Stock,A,130.0,0.0
2025-12-02,MSFT,"ALTHOFF, JUDSON",CEO Microsoft Commercial,Common Stock,D,12750.0,491.516
2025-12-01,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,461.693,492.01
2025-12-01,MSFT,"JOLLA, ALICE L.",Chief Accounting Officer,Common Stock,D,412.945,492.01
2025-11-20,MSFT,"ALTHOFF, JUDSON","CEO, Microsoft Commercial",Common Stock,D,3463.0,0.0
2025-11-17,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,89.044,510.18
2025-11-10,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,3977.0,0.0
2025-11-06,MSFT,"SMITH, BRADFORD L",Vice Chair and President,Common Stock,D,10000.0,0.0
2025-11-03,MSFT,"SMITH, BRADFORD L",Vice Chair and President,Common Stock,D,30411.0,518.4907
2025-11-03,MSFT,"SMITH, BRADFORD L",Vice Chair and President,Common Stock,D,8089.0,519.2096
2025-10-15,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,31.944,513.57
2025-09-15,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,A,4022.0,0.0
2025-09-15,MSFT,"HOOD, AMY",EVP & Chief Financial Officer,Common Stock,A,26151.0,0.0
2025-09-15,MSFT,"NUMOTO, TAKESHI","EVP, Chief Marketing Officer",Common Stock,A,11583.0,0.0
2025-09-15,MSFT,"SMITH, BRADFORD L",Vice Chair and President,Common Stock,A,26151.0,0.0
2025-09-15,MSFT,"ALTHOFF, JUDSON","EVP, Chief Commercial Officer",Common Stock,A,26151.0,0.0
2025-09-15,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,A,4358.0,0.0
2025-09-15,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,77.131,509.9
2025-09-15,MSFT,"HOGAN, KATHLEEN T","EVP, Strategy",Common Stock,A,6513.0,0.0
2025-09-11,MSFT,"RODRIGUEZ, CARLOS A",Director,Restricted Stock Units,A,7.245,0.0
2025-09-11,MSFT,"WALMSLEY, EMMA N",Director,Restricted Stock Units,A,1.372,0.0
2025-09-11,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,22.413,0.0
2025-09-11,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,41.816,0.0
2025-09-11,MSFT,"MACGREGOR, CATHERINE",Director,Restricted Stock Units,A,2.46,0.0
2025-09-11,MSFT,"JOHNSTON, HUGH F",Director,Restricted Stock Units,A,2.336,0.0
2025-09-11,MSFT,"LIST, TERI",Director,Restricted Stock Units,A,37.916,0.0
2025-09-11,MSFT,"HOFFMAN, REID",Director,Restricted Stock Units,A,26.821,0.0
2025-09-10,MSFT,"HOFFMAN, REID",Director,Restricted Stock Units,A,187.361,0.0
2025-09-10,MSFT,"RODRIGUEZ, CARLOS A",Director,Restricted Stock Units,A,212.343,0.0
2025-09-10,MSFT,"MASON, MARK",Director,Common Stock,A,125.0,0.0
2025-09-10,MSFT,"PRITZKER, PENNY S",Director,Restricted Stock Units,A,199.852,0.0
2025-09-10,MSFT,"PETERSON, SANDRA E",Director,Restricted Stock Units,A,229.83,0.0
2025-09-10,MSFT,"LIST, TERI",Director,Common Stock,A,125.0,0.0
2025-09-10,MSFT,"JOHNSTON, HUGH F",Director,Restricted Stock Units,A,209.845,0.0
2025-09-10,MSFT,"WALMSLEY, EMMA N",Director,Restricted Stock Units,A,124.908,0.0
2025-09-10,MSFT,"MACGREGOR, CATHERINE",Director,Restricted Stock Units,A,187.361,0.0
2025-09-10,MSFT,"STANTON, JOHN W",Director,Common Stock,A,125.0,0.0
2025-09-10,MSFT,"SCHARF, CHARLES W",Director,Common Stock,A,125.0,0.0
2025-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,26494.0,503.9079
2025-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,48267.0,504.9528
2025-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,39071.0,505.8567
2025-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,9037.0,506.6187
2025-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,500.0,507.558
2025-09-03,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,25836.0,503.0039
2025-09-02,MSFT,"HOOD, AMY","EVP, Chief Financial Officer",Common Stock,D,27989.367,506.69
2025-09-02,MSFT,"SMITH, BRADFORD L",Vice Chair and President,Common Stock,A,47877.0,0.0
2025-09-02,MSFT,"SMITH, BRADFORD L",Vice Chair and President,Common Stock,D,24992.231,506.69
2025-09-02,MSFT,"NUMOTO, TAKESHI","EVP, Chief Marketing Officer",Common Stock,A,17223.0,0.0
2025-09-02,MSFT,"NUMOTO, TAKESHI","EVP, Chief Marketing Officer",Common Stock,D,9285.647,506.69
2025-09-02,MSFT,"JOLLA, ALICE L.",Chief Accounting Officer,Common Stock,D,514.557,506.69
2025-09-02,MSFT,"HOOD, AMY","EVP, Chief Financial Officer",Common Stock,A,54053.0,0.0
2025-09-02,MSFT,"HOGAN, KATHLEEN T","EVP, Strategy",Common Stock,A,20386.0,0.0
2025-09-02,MSFT,"HOGAN, KATHLEEN T","EVP, Strategy",Common Stock,D,10405.23,506.69
2025-09-02,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,474.598,506.69
2025-09-02,MSFT,"ALTHOFF, JUDSON","EVP, Chief Commercial Officer",Common Stock,A,45220.0,0.0
2025-09-02,MSFT,"ALTHOFF, JUDSON","EVP, Chief Commercial Officer",Common Stock,D,23819.354,506.69
2025-09-02,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,A,308870.0,0.0
2025-09-02,MSFT,"NADELLA, SATYA","Director, Chief Executive Officer",Common Stock,D,122362.866,506.69
2025-09-02,MSFT,"STANTON, JOHN W",Director,Common Stock,D,3621.0,0.0
2025-08-31,MSFT,"JOLLA, ALICE L.",Chief Accounting Officer,Common Stock,A,3813.0,0.0
2025-08-15,MSFT,"COLEMAN, AMY","EVP, Chief Human Resources Off",Common Stock,D,88.645,522.48
