fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-09-30,USD,68362816000,47255582000,17319220000,17319220000,None,18517148000,21107234000,45751000,None,574972000,574972000,410371000,None,14480265000,11224837000,194377000,None,57809276000,53426765000,11999389000,None,None,1866583000,4382511000,27068000,1224476000,1040911000,None,3118127000,38471114000,None,10551991000,None,5491155000,84000,4905133000
2025-06-30,USD,62730144000,44416228000,17153956000,17153956000,None,16760215000,18313916000,46667000,None,514293000,514293000,410347000,None,11831671000,10314917000,187140000,None,53154028000,49646078000,11160245000,None,None,1247365000,3507950000,27514000,1028253000,545944000,None,2303133000,36520453000,None,9574835000,None,4692246000,84000,4899768000
2025-03-31,USD,54192525000,39564812000,14929561000,14929561000,None,15079879000,14627713000,46081000,None,439835000,439835000,408817000,None,10483877000,9412732000,142640000,None,45583608000,42697835000,10114743000,None,None,777340000,2885773000,26697000,929555000,351526000,None,1733592000,31292405000,None,8607909000,None,4033513000,84000,4892628000
2024-12-31,USD,49931214000,9185742000,9185742000,9185742000,None,12259276000,35423587000,46223000,None,347616000,347616000,414287000,None,11641689000,812198000,None,None,42284138000,1282267000,9333541000,None,None,29163648000,41001871000,26197000,328873000,222881000,None,1730357000,1282267000,None,7646289000,None,3420596000,84000,4888918000
2024-09-30,USD,48637850000,37360213000,12315314000,12315314000,None,13830525000,11277637000,53479000,None,357640000,357640000,440789000,None,11978972000,11019200000,195174000,None,40993502000,37797240000,8556150000,None,None,699440000,3196262000,29871000,1281854000,217077000,None,1011763000,27593114000,None,7644348000,None,2847553000,84000,4889409000
2024-06-30,USD,44802730000,34974596000,13609086000,13609086000,-364901000,13003473000,9828134000,None,None,305990000,305990000,397602000,None,9576720000,8156073000,205964000,None,37879290000,35202362000,8896941000,None,None,872369000,2676928000,31223000,1483208000,252711000,None,1449313000,24850575000,None,6923440000,None,2254763000,84000,4880953000
2024-03-31,USD,43839497000,36280810000,13039544000,13039544000,None,14228470000,7558687000,None,None,307399000,307399000,397570000,None,9650844000,8801925000,210871000,None,37036806000,34749754000,9572521000,None,None,726814000,2287052000,35676000,1305482000,97867000,None,1582794000,24130040000,None,6802691000,None,1716077000,84000,4886361000
2023-12-31,USD,43345195000,None,5923440000,5923440000,None,14531905000,18472639000,None,None,295881000,295881000,397538000,None,9358488000,838948000,-21294293000,None,36938810000,113595000,9755285000,None,None,113595000,36901868000,36942000,1022749000,113595000,None,1173286000,-113595000,None,6406385000,None,1276949000,84000,4510962500
2023-09-30,USD,35693242000,30338631000,9058374000,9058374000,16081520000,12448475000,5354611000,61959000,None,277919000,277919000,397505000,None,8930787000,8610476000,221306000,None,29803924000,27363987000,7834854000,None,None,244306000,2439937000,32043000,999831000,86039000,None,1276180000,18436148000,None,5889318000,None,887813000,84000,4856845000
2023-06-30,USD,33608083000,28673192000,8570452000,8570452000,22667899000,11988072000,4934891000,51660000,None,254378000,254378000,397473000,None,7777129000,7911273000,203395000,None,27963484000,26124664000,7749565000,None,None,187572000,1838820000,19171000,721872000,42650000,None,928615000,17625321000,None,5644599000,None,546742000,84000,4843835000
