date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2026-12-31,next fiscal year,0.8399,0.8987,0.7857,12.0000,0.8395,0.8412,0.8208,0.7914,1.0000,,2.0000,1.0000,20616311310.00,21752000000.00,19607000000.00,7.00
2026-03-31,next fiscal quarter,0.1863,0.2017,0.1700,5.0000,0.1863,0.1863,0.1788,0.1728,2.0000,,3.0000,0.0000,4672300000.00,4798000000.00,4472000000.00,3.00
2025-12-31,historical fiscal year,0.5892,0.6200,0.5700,12.0000,0.5908,0.5900,0.5885,0.5657,1.0000,,2.0000,0.0000,15652428190.00,15751000000.00,15584900000.00,6.00
2025-09-30,historical fiscal quarter,0.1536,0.1600,0.1400,8.0000,0.1493,0.1495,0.1456,0.1426,1.0000,,1.0000,1.0000,4038957290.00,4274901000.00,3805000000.00,7.00
2025-06-30,historical fiscal quarter,0.1417,0.1500,0.1369,4.0000,0.1376,0.1313,0.1313,0.1329,2.0000,,2.0000,0.0000,3670228500.00,3833771000.00,3433000000.00,6.00
2025-03-31,historical fiscal quarter,0.1259,0.1300,0.1200,6.0000,0.1268,0.1240,0.1240,0.1321,1.0000,,1.0000,1.0000,3226895670.00,3465774000.00,2882000000.00,6.00
2024-12-31,historical fiscal year,0.4472,0.5000,0.4000,8.0000,0.4462,0.4371,0.4387,0.4485,1.0000,,0.0000,0.0000,11775195460.00,12036000000.00,11349000000.00,7.00
2024-09-30,historical fiscal quarter,0.1100,0.1400,0.0900,8.0000,0.1100,0.1100,0.1100,0.1000,0.0000,,1.0000,0.0000,2853670000.00,2964000000.00,2649000000.00,3.00
2024-06-30,historical fiscal quarter,0.0900,0.1000,0.0900,9.0000,0.0900,0.1000,0.1000,0.0900,0.0000,,0.0000,0.0000,2918230000.00,3065000000.00,2826000000.00,4.00
2024-03-31,historical fiscal quarter,0.0800,0.0900,0.0800,6.0000,0.0800,0.0900,0.0900,0.0900,0.0000,,0.0000,0.0000,2493510000.00,2631540000.00,2255000000.00,3.00
2023-12-31,historical fiscal year,0.2400,0.2600,0.1900,10.0000,0.2400,0.2400,0.2400,0.2300,0.0000,,2.0000,1.0000,8028980000.00,8035000000.00,7742190000.00,6.00
2023-09-30,historical fiscal quarter,0.0600,0.0700,0.0500,7.0000,0.0600,0.0600,0.0600,0.0500,0.0000,,3.0000,0.0000,2136760000.00,2076000000.00,1983000000.00,4.00
2023-06-30,historical fiscal quarter,0.0400,0.0500,0.0300,6.0000,0.0400,0.0400,0.0400,0.0300,0.0000,,2.0000,0.0000,1742070000.00,1780000000.00,1701000000.00,3.00
2023-03-31,historical fiscal quarter,0.0200,0.0300,0.0200,6.0000,0.0200,0.0200,0.0200,0.0200,0.0000,,0.0000,0.0000,1530730000.00,1586000000.00,1476930000.00,4.00
2022-12-31,historical fiscal year,0.0200,0.0600,-0.0100,11.0000,0.0200,0.0200,0.0200,0.0000,0.0000,,2.0000,0.0000,4615220000.00,4908300000.00,3144000000.00,9.00
2022-09-30,historical fiscal quarter,0.0100,0.0100,0.0000,5.0000,0.0100,0.0100,0.0100,0.0100,0.0000,,0.0000,1.0000,1306870000.00,1323000000.00,1083120000.00,6.00
2022-06-30,historical fiscal quarter,0.0000,0.0100,0.0000,7.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,0.0000,0.0000,907820000.00,1066000000.00,581160000.00,7.00
2022-03-31,historical fiscal quarter,0.0000,0.0000,-0.0100,5.0000,0.0000,0.0000,0.0100,-0.0300,0.0000,,0.0000,0.0000,624150000.00,766000000.00,487000000.00,7.00
2021-12-31,historical fiscal year,-0.0400,0.0000,-0.1100,10.0000,-0.0500,-0.0600,0.0000,0.0000,0.0000,,1.0000,0.0000,1285330000.00,1666000000.00,1138000000.00,8.00
