fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-09-30,USD,1751709000,4004903000,2253194000,2253194000,1116289000,315226000,None,635420000,None,2301767000,3577478000,1275711000,None,None,None,25570000,1116289000,333611000,None,782678000,None,1116289000,1141859000,782473000
2025-06-30,USD,1497675000,3539856000,2042181000,2042181000,879362000,319626000,None,618313000,None,2098754000,3128743000,1029989000,None,None,None,23070000,879362000,242375000,None,636987000,None,879362000,902432000,636838000
2025-03-31,USD,1276832000,3146580000,1869748000,1869748000,795073000,274733000,None,481759000,None,1835932000,2732136000,896204000,None,None,None,21322000,795073000,237865000,None,557208000,None,795073000,816395000,557203000
2024-12-31,USD,1363334000,2989295000,1625961000,1625961000,767450000,318773000,None,595884000,None,1745687000,2493681000,747994000,None,None,None,21061000,767450000,214810000,None,552640000,None,767450000,788511000,552640000
2024-09-30,USD,1322305000,2857408000,1535103000,1535103000,723790000,276121000,None,598515000,None,1712848000,2473807000,760959000,None,None,None,19269000,723790000,170404000,None,553386000,None,723790000,743059000,553386000
2024-06-30,USD,1325207000,2750163000,1424956000,1424956000,725421000,319713000,None,599786000,None,1718116000,2383307000,665191000,None,None,None,18333000,725421000,238149000,None,487272000,None,725421000,743754000,487272000
2024-03-31,USD,1147296000,2638730000,1491434000,1491434000,578537000,315785000,None,568759000,None,1619533000,2280248000,660715000,None,None,None,18465000,578537000,199723000,None,378814000,None,578537000,597002000,378814000
2023-12-31,USD,1497799000,2183563000,685764000,685764000,559927000,332836000,None,937872000,None,1345696000,1951334000,605638000,None,None,None,16545000,559927000,199050000,None,360877000,None,559927000,576472000,360877000
2023-09-30,USD,865757000,2030912000,1165155000,1165155000,411545000,233368000,None,454212000,None,1195050000,1732699000,537649000,None,None,None,19194000,411545000,108509000,None,303036000,None,411545000,430739000,303036000
2023-06-30,USD,752888000,1796748000,1043860000,1043860000,323977000,242922000,None,428911000,None,1046799000,1500225000,453426000,None,None,None,13977000,323977000,99111000,None,224866000,None,323977000,337954000,224866000
2023-03-31,USD,628299000,1543306000,915007000,915007000,243629000,228808000,None,384670000,None,815242000,1255454000,440212000,None,None,None,13179000,243629000,101878000,None,141751000,None,243629000,256808000,141751000
2022-12-31,USD,1125680000,1618670000,492990000,492990000,243630000,586514000,None,1375040000,None,687998000,1095509000,407511000,None,None,None,9882000,-221745000,75868000,None,-297613000,None,185766000,195648000,-297613000
2022-09-30,USD,993560000,1450540000,456980000,456980000,-221740000,319818000,None,1672280000,None,527359000,987248000,459889000,None,None,None,7611000,5107000,-2726000,None,7833000,None,464996000,472607000,7833000
2022-06-30,USD,802510000,1306870000,504360000,504360000,5110000,271498000,None,1301760000,None,445513000,853013000,407500000,None,None,None,10433000,-24612000,5238000,None,-29850000,None,383041000,393474000,-29850000
2022-03-31,USD,271613000,820338000,548725000,548725000,-67651000,229119000,None,339264000,None,346440000,619443000,273003000,None,None,None,7655000,-67651000,-22647000,None,-45004000,None,-67651000,-59996000,-45101000
2021-12-31,USD,204700000,581348000,376648000,376648000,-88502000,207442000,None,293202000,None,262578000,439550000,176972000,None,None,None,6443000,-88502000,-22228000,None,-66274000,None,-88502000,-82059000,-66078000
2021-09-30,USD,207393000,435791000,228398000,228398000,-21757000,153439000,None,229150000,None,193565000,294958000,101393000,None,None,None,5654000,-21757000,12600000,None,-34357000,None,-21757000,-16103000,-34212000
2021-06-30,USD,150274000,290178000,139904000,139904000,-6538000,112859000,None,156812000,None,127657000,184893000,57236000,None,None,None,2735000,-6538000,8682000,None,-15220000,None,-6538000,-3803000,-15220000
2021-03-31,USD,102194000,205231000,103037000,103037000,-53367000,106545000,None,155561000,None,95602000,127345000,31743000,None,None,None,2507000,-53367000,-3884000,None,-49483000,None,-53367000,-50860000,-49483000
2020-12-31,USD,-21612000,153444000,175056000,175056000,-113772000,73991000,None,92160000,None,-29699000,89655000,119354000,None,None,None,3645000,-113772000,-6715000,None,-107057000,None,-113772000,-110127000,-107057000
2020-09-30,USD,49469000,119579000,70110000,70110000,-37846000,55383000,None,87315000,None,32969000,70140000,37171000,None,None,None,890000,-37846000,-5284000,None,-32562000,None,-37846000,-36956000,-32562000
2020-06-30,None,74575000,85770000,11195000,11195000,4940000,45137000,None,69635000,None,None,None,58551000,None,None,None,2333000,4940000,3379000,None,None,None,4940000,7273000,1561000
2020-03-31,None,88000000,216200000,128200000,128200000,-46500000,70600000,None,134500000,None,None,None,None,None,None,None,560000,-46500000,-13067000,None,None,None,-46500000,-45940000,-33433000
