fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-01-31,USD,111601000000,80126000000,8589000000,8589000000,10080000000,23065000000,31475000000,None,None,807000000,807000000,5188000000,None,3387000000,34621000000,3771000000,None,32274000000,18047000000,6310000000,None,None,288000000,14227000000,1807000000,8463000000,None,None,10270000000,10612000000,79000000,79327000000,None,68038000000,24000000,24804000000
2024-01-31,USD,65728000000,44345000000,7280000000,7280000000,5282000000,9999000000,21383000000,None,None,1112000000,1112000000,4430000000,None,1546000000,18704000000,3080000000,None,22750000000,10631000000,2699000000,None,None,1478000000,12119000000,1347000000,8459000000,1250000000,None,11056000000,5690000000,65000000,42978000000,None,29817000000,2000000,24940000000
2023-01-31,USD,41182000000,23073000000,3389000000,3389000000,5159000000,3827000000,18109000000,3807000000,None,1676000000,1676000000,4372000000,None,299000000,9907000000,791000000,None,19081000000,6563000000,1193000000,None,None,1250000000,12518000000,902000000,9703000000,1250000000,None,11855000000,3766000000,1913000000,22101000000,None,10171000000,2000000,25070000000
2022-01-31,USD,44187000000,28829000000,1990000000,1990000000,2605000000,4650000000,15358000000,3607000000,None,2339000000,2339000000,4349000000,None,266000000,19218000000,366000000,None,17575000000,4335000000,1783000000,None,None,144000000,13240000000,741000000,10946000000,None,None,11687000000,2108000000,1553000000,26612000000,None,16235000000,3000000,25350000000
2021-01-31,USD,28791000000,16055000000,847000000,847000000,1826000000,2429000000,12736000000,2149000000,None,2737000000,2737000000,4193000000,None,144000000,10714000000,239000000,None,11898000000,3925000000,1201000000,None,None,999000000,7973000000,634000000,5964000000,999000000,None,7597000000,1437000000,2009000000,16893000000,-10756000000,18908000000,1000000,25120000000
2020-01-31,USD,17315000000,13690000000,10896000000,10896000000,979000000,1657000000,3625000000,1674000000,None,49000000,49000000,618000000,None,77000000,1000000,157000000,None,5111000000,1784000000,687000000,None,None,91000000,3327000000,652000000,1991000000,None,None,2552000000,865000000,1336000000,12204000000,-9814000000,14971000000,1000000,24720000000
2019-01-31,USD,13292000000,10557000000,782000000,782000000,1575000000,1424000000,2735000000,1404000000,None,45000000,45000000,618000000,None,None,6640000000,136000000,None,3950000000,1329000000,511000000,None,None,91000000,2621000000,None,1988000000,None,None,2079000000,635000000,14000000,9342000000,-9263000000,12565000000,1000000,25000000000
2018-01-31,USD,11241000000,9255000000,4002000000,4002000000,796000000,1265000000,1986000000,997000000,None,52000000,52000000,618000000,None,None,3106000000,86000000,None,3770000000,1153000000,596000000,None,None,15000000,2617000000,None,1985000000,15000000,None,2000000000,489000000,2000000,7471000000,-6650000000,8787000000,1000000,25280000000
2017-01-31,USD,9841000000,8536000000,1766000000,1766000000,794000000,826000000,1305000000,521000000,None,104000000,104000000,618000000,None,None,5032000000,118000000,None,4079000000,1819000000,485000000,None,None,827000000,2260000000,6000000,1983000000,827000000,None,2816000000,422000000,20000000,5762000000,-5039000000,6108000000,1000000,25960000000
2016-01-31,USD,7370000000,6053000000,596000000,596000000,418000000,505000000,1317000000,466000000,None,166000000,166000000,618000000,None,None,4441000000,93000000,None,2901000000,2438000000,296000000,None,None,1500000000,463000000,10000000,87000000,1413000000,None,1510000000,320000000,453000000,4469000000,-4048000000,4350000000,1000000,22760000000
2015-01-31,USD,7201368000,5713297000,496654000,496654000,482893000,473637000,1488071000,557282000,None,221714000,221714000,618179000,None,None,4126685000,70174000,None,2783386000,896030000,293223000,None,None,142073000,1887356000,14086000,1398428000,1398000000,None,1540501000,167999000,488928000,4417982000,-3394585000,3948877000,754000,22522720000
2014-01-31,USD,7250894000,5624711000,1151587000,1151587000,387765000,426357000,1626183000,582740000,None,296012000,296012000,643179000,None,None,3520223000,70285000,None,2794496000,945496000,324391000,None,None,308110000,1849000000,17500000,1356375000,None,None,1681985000,30590000,475125000,4456398000,-2537295000,3504742000,732000,23780680000
2013-01-31,USD,6412245000,4775258000,732786000,732786000,419686000,454252000,1636987000,576144000,None,312332000,312332000,641030000,None,None,2995097000,35265000,None,1584542000,976223000,356428000,None,None,311030000,608319000,18998000,18998000,None,None,330028000,35160000,589321000,4827703000,-1622709000,3246088000,720000,24998280000
2012-01-31,USD,5552928000,3905358000,667876000,667876000,340297000,336143000,1647570000,560072000,None,326136000,326136000,641030000,None,None,2461700000,19465000,None,1407204000,929958000,335072000,None,None,288798000,477246000,21439000,21439000,None,None,310237000,35439000,455807000,4145724000,-1496904000,2730418000,700000,24654840000
2011-01-31,USD,4495246000,3226950000,665361000,665361000,345525000,348770000,1268296000,568857000,None,243171000,243171000,369844000,None,None,1825202000,2490563000,None,1313784000,942682000,286138000,None,None,336380000,371102000,23389000,23389000,None,None,359769000,71300000,347713000,3181462000,-1479392000,2149328000,677000,23547360000
2010-01-31,USD,3585918000,2480830000,447221000,447221000,330674000,374963000,1105088000,571858000,None,120458000,120458000,369844000,None,None,1281006000,1728227000,None,920778000,784378000,344527000,None,None,390277000,136400000,24450000,24450000,None,None,414727000,29950000,111950000,2665140000,-1463268000,1896182000,653000,21982960000
2009-01-31,USD,3350727000,2167958000,417688000,417688000,537834000,318435000,1182769000,625798000,None,147101000,147101000,369844000,None,None,837702000,56299000,None,956075000,778591000,218864000,None,None,None,177484000,None,25634000,None,None,25634000,559727000,None,2394652000,-1463268000,1964169000,629000,21925040000
2008-01-31,USD,3747671000,2888829000,726969000,726969000,358521000,666494000,858842000,359808000,None,106926000,106926000,354057000,None,None,1082509000,54336000,None,1129759000,967161000,492099000,None,None,None,162598000,None,None,None,None,None,469206000,None,2617912000,-1039632000,1994210000,619000,24269280000
2007-01-31,USD,2675263000,2031770000,544414000,544414000,354680000,518680000,643493000,260828000,None,45511000,45511000,301425000,None,None,573436000,40560000,None,668344000,638807000,272075000,None,None,None,29537000,None,None,None,None,None,365552000,None,2006919000,-487120000,1196565000,388000,23478500760
2006-01-31,USD,1915299000,1548932000,551756000,551756000,254792000,318186000,366367000,178152000,None,160738000,160738000,145317000,None,None,398418000,25780000,None,457543000,438659000,179395000,None,None,None,18884000,None,None,None,None,None,259264000,None,1457756000,-212142000,875100000,180000,21931274360
