fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-10-31,USD,161148000000,116492000000,11486000000,11486000000,19784000000,33391000000,44656000000,None,None,936000000,936000000,6261000000,None,8187000000,49122000000,2709000000,None,42251000000,26075000000,8624000000,None,None,1340000000,16176000000,2014000000,7468000000,999000000,None,10822000000,14863000000,376000000,118897000000,None,107908000000,24000000,24483000000
2025-07-31,USD,140740000000,102219000000,11639000000,11639000000,14962000000,27808000000,38521000000,None,None,755000000,755000000,5755000000,None,3799000000,45152000000,2658000000,None,40609000000,24257000000,9064000000,None,None,301000000,16352000000,2132000000,8466000000,None,None,10598000000,13912000000,243000000,100131000000,None,88737000000,24000000,24532000000
2025-04-30,USD,125254000000,89935000000,15234000000,15234000000,11333000000,22132000000,35319000000,None,None,769000000,769000000,5498000000,None,3240000000,38457000000,2779000000,None,41411000000,26542000000,7331000000,None,None,300000000,14869000000,1821000000,8464000000,None,None,10285000000,17837000000,177000000,83843000000,None,72158000000,24000000,24611000000
2025-01-31,USD,111601000000,80126000000,8589000000,8589000000,10080000000,23065000000,31475000000,None,None,807000000,807000000,5188000000,None,3387000000,34621000000,3771000000,None,32274000000,18047000000,6310000000,None,None,288000000,14227000000,1807000000,8463000000,None,None,10270000000,10612000000,79000000,79327000000,None,68038000000,24000000,24706000000
2024-10-31,USD,96013000000,67640000000,9107000000,9107000000,7654000000,17693000000,28373000000,None,None,838000000,838000000,4724000000,None,2237000000,29380000000,3806000000,None,30114000000,16479000000,5353000000,None,None,273000000,13635000000,1763000000,8462000000,None,None,10225000000,8745000000,115000000,65899000000,None,53950000000,25000000,24774000000
2024-07-31,USD,85227000000,59633000000,8563000000,8563000000,6675000000,14132000000,25594000000,None,None,952000000,952000000,4622000000,None,1819000000,26237000000,4026000000,None,27070000000,13969000000,3680000000,None,None,250000000,13101000000,1554000000,8461000000,None,None,10015000000,7918000000,196000000,58157000000,None,45961000000,25000000,24848000000
2024-04-30,USD,77072000000,53729000000,7587000000,7587000000,5864000000,12365000000,23343000000,None,None,986000000,986000000,4453000000,None,1750000000,23851000000,4062000000,None,27930000000,15223000000,2715000000,None,None,1250000000,12707000000,1527000000,8460000000,1250000000,None,10991000000,10413000000,66000000,49142000000,None,36598000000,2000000,24890000000
2024-01-31,USD,65728000000,44345000000,7280000000,7280000000,5282000000,9999000000,21383000000,None,None,1112000000,1112000000,4430000000,None,1546000000,18704000000,3080000000,None,22750000000,10631000000,2699000000,None,None,1478000000,12119000000,1347000000,8459000000,1250000000,None,11056000000,5690000000,65000000,42978000000,None,29817000000,2000000,24900000000
2023-10-31,USD,54148000000,32658000000,5519000000,5519000000,4779000000,8309000000,21490000000,None,None,1251000000,1251000000,4430000000,None,1172000000,12762000000,1289000000,None,20883000000,9101000000,2380000000,None,None,1479000000,11782000000,1321000000,8457000000,1249000000,None,11027000000,4729000000,66000000,33265000000,None,20360000000,2000000,24940000000
2023-07-31,USD,49555000000,28797000000,5783000000,5783000000,4319000000,7066000000,20758000000,3799000000,None,1395000000,1395000000,4430000000,None,800000000,10240000000,1389000000,None,22054000000,10334000000,1929000000,None,None,1457000000,11720000000,1041000000,8456000000,1249000000,None,10954000000,6527000000,2223000000,27501000000,None,14921000000,2000000,24990000000
2023-04-30,USD,44460000000,24883000000,5079000000,5079000000,4611000000,4080000000,19577000000,3740000000,None,1541000000,1541000000,4430000000,None,505000000,10241000000,872000000,None,19940000000,7260000000,1141000000,None,None,1437000000,12680000000,939000000,9704000000,1250000000,None,12080000000,4315000000,2037000000,24520000000,None,12115000000,2000000,24900000000
