fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-01-31,USD,64089000000,None,None,None,None,1864000000,3236000000,None,-4781000000,None,-20421000000,-42359000000,None,None,None,None,834000000,834000000,None,None,None,None,-33706000000,None,None,None,72880000000
2024-01-31,USD,28090000000,None,None,None,None,1508000000,1069000000,None,-98000000,None,-10566000000,-13633000000,None,None,None,None,395000000,395000000,None,None,None,None,-9533000000,None,None,None,29760000000
2023-01-31,USD,5641000000,None,None,None,None,1544000000,1833000000,822000000,-2554000000,None,7375000000,-11617000000,None,None,None,None,398000000,398000000,None,None,None,None,-10039000000,None,1399000000,None,4368000000
2022-01-31,USD,9108000000,None,None,None,None,1174000000,976000000,-2215000000,-774000000,None,-9830000000,1865000000,None,None,None,None,399000000,399000000,None,None,None,None,-1904000000,None,1143000000,None,9752000000
2021-01-31,USD,5822000000,None,None,None,None,1098000000,1128000000,-550000000,-524000000,None,-19675000000,3804000000,None,None,None,None,395000000,395000000,None,None,None,None,-942000000,None,-10049000000,None,4332000000
2020-01-31,USD,4761000000,None,None,None,None,381000000,489000000,-233000000,597000000,None,6145000000,-792000000,None,None,None,None,390000000,390000000,None,None,None,None,-1579000000,None,10114000000,None,2796000000
2019-01-31,USD,3743000000,None,None,None,None,262000000,600000000,-149000000,-776000000,None,-4097000000,-2866000000,None,None,None,None,371000000,371000000,None,None,None,None,-1579000000,None,-3220000000,None,4141000000
2018-01-31,USD,3502000000,None,None,None,None,199000000,593000000,-440000000,-375000000,None,1278000000,-2544000000,None,None,None,None,341000000,341000000,None,None,None,None,-909000000,None,2236000000,None,3047000000
2017-01-31,USD,1672000000,None,None,None,None,187000000,176000000,-321000000,-375000000,None,-793000000,291000000,None,None,None,None,261000000,261000000,None,None,None,None,-739000000,None,1170000000,None,1666000000
2016-01-31,USD,1175000000,None,None,None,None,197000000,86000000,-32000000,66000000,None,-400000000,-676000000,None,None,None,None,213000000,213000000,None,None,None,None,-587000000,None,99000000,None,614000000
2015-01-31,USD,906000000,None,None,None,None,220000000,122000000,-49324000,-95000000,None,-727000000,-834000000,None,None,None,None,186000000,186000000,None,None,None,None,-814000000,None,-654933000,None,631000000
2014-01-31,USD,835000000,None,None,None,None,239000000,255000000,28852000,25000000,None,-806000000,390000000,None,None,None,None,181000000,181000000,None,None,None,None,-887000000,None,418801000,None,440000000
2013-01-31,USD,824172000,None,None,None,None,226235000,183309000,-118940000,-78949000,None,-743992000,-15270000,None,None,None,None,46866000,46866000,None,None,None,None,-100000000,None,64910000,None,562536000
2012-01-31,USD,909156000,None,None,None,None,204205000,138735000,26236000,18884000,None,-1143364000,236723000,None,None,None,None,0,0,None,None,None,None,195900000,None,2515000,None,581090000
2011-01-31,USD,675797000,None,None,None,None,186989000,97890000,26341000,-14128000,None,-649678000,192021000,None,None,None,None,0,0,None,None,None,None,177300000,None,218140000,None,253146000
2010-01-31,USD,487807000,None,None,None,None,196664000,77601000,-56741000,204656000,None,-519333000,61059000,None,None,None,None,0,0,None,None,None,None,138029000,None,29533000,None,-67987000
2009-01-31,USD,249360000,None,None,None,None,185023000,407670000,None,-177295000,None,-209367000,-349274000,None,None,None,None,None,None,None,None,None,None,-423636000,None,None,None,-30041000
2008-01-31,USD,1270196000,None,None,None,None,133192000,187745000,None,-3690000,None,-761318000,-326323000,None,None,None,None,None,None,None,None,None,None,-552512000,None,None,None,797645000
2007-01-31,USD,587111000,None,None,None,None,107562000,145256000,None,-91395000,None,-540823000,-53630000,None,None,None,None,None,None,None,None,None,None,-274978000,None,None,None,448834000
2006-01-31,USD,446408000,None,None,None,None,97977000,79600000,None,60916000,None,-41787000,-61377000,None,None,None,None,None,None,None,None,None,None,-188509000,None,None,None,301176000
