date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-01-31,next fiscal year,7.6639,9.6800,4.9100,56.0000,7.6639,7.5664,7.4900,6.6461,5.0000,,8.0000,1.0000,324149654640.00,412529000000.00,226150000000.00,62.00
2026-04-30,next fiscal quarter,1.6530,1.9800,1.4200,40.0000,1.6529,1.6472,1.6369,1.5031,2.0000,,4.0000,0.0000,70770865540.00,82455000000.00,60900000000.00,40.00
2026-01-31,historical fiscal year,4.6921,4.9600,4.6200,47.0000,4.6921,4.6915,4.6854,4.5414,1.0000,,3.0000,1.0000,213351352110.00,216566000000.00,203802000000.00,55.00
2025-10-31,historical fiscal quarter,1.2544,1.3400,1.1400,39.0000,1.2485,1.2395,1.2377,1.1858,7.0000,,12.0000,0.0000,55031644380.00,58340000000.00,53461000000.00,42.00
2025-07-31,historical fiscal quarter,1.0096,1.1100,0.9671,39.0000,1.0044,0.9985,0.9949,0.9870,6.0000,,8.0000,0.0000,46133992560.00,52621000000.00,45000000000.00,41.00
2025-04-30,historical fiscal quarter,0.7499,0.9500,0.7100,14.0000,0.7268,0.7236,0.9296,0.9152,1.0000,,2.0000,1.0000,43248537590.00,45601000000.00,41837000000.00,40.00
2025-01-31,historical fiscal year,2.9539,3.1400,2.9000,48.0000,2.9524,2.9530,2.9535,2.9549,2.0000,,5.0000,1.0000,129282817740.00,133331000000.00,123659000000.00,55.00
2024-10-31,historical fiscal quarter,0.7460,0.8000,0.7200,43.0000,0.7416,0.7409,0.7403,0.7084,4.0000,,6.0000,2.0000,33135767490.00,34513000000.00,31920000000.00,45.00
2024-07-31,historical fiscal quarter,0.6400,0.7100,0.6000,39.0000,0.5700,0.6300,0.6300,5.8600,3.0000,,8.0000,0.0000,25675700000.00,27245700000.00,23992800000.00,40.00
2024-04-30,historical fiscal quarter,5.5900,6.1200,5.3200,36.0000,5.5700,5.5300,5.5100,4.6300,4.0000,,6.0000,0.0000,24645600000.00,26871000000.00,23660000000.00,37.00
2024-01-31,historical fiscal year,12.4100,13.2500,11.8900,41.0000,12.3500,12.5700,12.2900,12.0800,4.0000,,12.0000,0.0000,59421100000.00,61926000000.00,58039400000.00,49.00
2023-10-31,historical fiscal quarter,3.0900,3.2800,2.9800,33.0000,3.3600,3.3500,3.3400,2.3900,4.0000,,7.0000,0.0000,14836800000.00,15600500000.00,14669300000.00,32.00
2023-07-31,historical fiscal quarter,2.0900,2.4900,1.7600,34.0000,2.0600,2.0600,2.0500,1.0600,2.0000,,6.0000,0.0000,11224000000.00,12701000000.00,10956000000.00,33.00
2023-04-30,historical fiscal quarter,0.9200,0.9700,0.8100,31.0000,0.9200,0.9100,0.9100,0.8500,1.0000,,4.0000,0.0000,6516830000.00,6746000000.00,6475080000.00,31.00
2023-01-31,historical fiscal year,3.2700,3.3400,3.1900,33.0000,3.2600,3.2700,3.2600,3.2600,1.0000,,2.0000,0.0000,26923400000.00,27030200000.00,26222300000.00,38.00
2022-10-31,historical fiscal quarter,0.6900,0.7800,0.6100,31.0000,0.7000,0.7000,0.7100,1.3200,2.0000,,2.0000,2.0000,5770780000.00,5998300000.00,5499990000.00,30.00
2022-07-31,historical fiscal quarter,0.0000,0.0000,0.0000,0.0000,1.2500,1.2600,1.2600,1.3500,0.0000,,1.0000,0.0000,8101610000.00,8200800000.00,7883800000.00,30.00
2022-04-30,historical fiscal quarter,1.2900,1.3300,1.2300,31.0000,1.2900,1.2900,1.2900,1.2900,0.0000,,1.0000,0.0000,8116880000.00,8326850000.00,8006300000.00,32.00
2022-01-31,historical fiscal year,4.3400,4.3700,4.3200,35.0000,4.3400,4.3400,4.3400,4.1400,3.0000,0.0000,3.0000,0.0000,26685500000.00,26871000000.00,26517000000.00,41.00
2021-10-31,historical fiscal quarter,1.1000,1.1400,1.0800,31.0000,1.1000,1.0400,4.1600,4.1700,0.0000,0.0000,31.0000,0.0000,6816700000.00,6937000000.00,6799600000.00,31.00
2021-07-31,historical fiscal quarter,1.0100,1.0700,0.9700,30.0000,1.0100,1.0200,4.0900,4.1100,0.0000,3.0000,1.0000,,6507000000.00,6468570000.00,6298000000.00,30.00
2021-04-30,historical fiscal quarter,3.2800,3.4200,3.1600,30.0000,3.2700,3.2700,3.2200,2.5500,2.0000,0.0000,3.0000,,5410290000.00,5604030000.00,5299800000.00,29.00
2021-01-31,historical fiscal year,9.7300,10.3100,9.6500,35.0000,9.7200,9.7200,9.7200,9.7200,3.0000,0.0000,4.0000,,16494800000.00,16585000000.00,16426000000.00,37.00
2020-10-31,historical fiscal quarter,2.5700,2.7700,2.5000,31.0000,2.5600,2.5600,2.5600,2.1900,2.0000,0.0000,3.0000,,4414440000.00,4481990000.00,4348100000.00,31.00
2020-07-31,historical fiscal quarter,1.9700,2.2400,1.9300,30.0000,1.9700,1.9700,1.9700,1.7900,0.0000,1.0000,1.0000,,3654350000.00,3699170000.00,3595000000.00,30.00
2020-04-30,historical fiscal quarter,1.6800,1.7600,1.5300,28.0000,1.6800,1.6800,1.7000,1.5200,1.0000,0.0000,2.0000,,2977720000.00,3016000000.00,2710000000.00,30.00
2020-01-31,historical fiscal year,5.5800,5.7200,5.5000,30.0000,5.5700,5.5700,5.5700,5.4000,2.0000,0.0000,3.0000,,10778100000.00,10910000000.00,10743000000.00,35.00
2019-10-31,historical fiscal quarter,1.5700,1.6400,1.5100,28.0000,1.5800,1.5800,1.5800,1.5200,1.0000,0.0000,2.0000,,2913350000.00,2982000000.00,2898000000.00,32.00
2019-07-31,historical fiscal quarter,1.1400,1.2400,1.0700,27.0000,1.1400,1.1400,1.1400,1.1100,0.0000,0.0000,2.0000,,2544900000.00,2604000000.00,2405470000.00,32.00
2019-04-30,historical fiscal quarter,0.7900,0.8700,0.5600,26.0000,0.7900,0.7900,0.8000,0.8100,1.0000,3.0000,1.0000,,2197070000.00,2239000000.00,2081000000.00,33.00
2019-01-31,historical fiscal year,6.7100,7.2300,6.2700,26.0000,7.2200,7.2200,7.2300,7.3000,0.0000,25.0000,2.0000,,11833600000.00,12224200000.00,11700000000.00,33.00
2018-10-31,historical fiscal quarter,1.7100,1.7700,1.5800,20.0000,1.7100,1.7300,1.7300,1.7300,0.0000,2.0000,0.0000,,3181000000.00,3307000000.00,3092000000.00,30.00
2018-07-31,historical fiscal quarter,1.6600,1.7700,1.4900,21.0000,1.6600,1.6600,1.6700,1.6700,3.0000,0.0000,4.0000,,3101410000.00,3159700000.00,2936000000.00,30.00
2018-04-30,historical fiscal quarter,1.4500,1.6600,0.9800,21.0000,1.4500,1.4500,1.4500,0.9800,0.0000,0.0000,1.0000,,2900580000.00,3107900000.00,2474000000.00,26.00
2018-01-31,historical fiscal year,4.2200,4.5800,4.1400,21.0000,4.2100,4.2000,4.2000,3.6300,2.0000,0.0000,5.0000,,9483490000.00,9616580000.00,9451000000.00,28.00
2017-10-31,historical fiscal quarter,0.9400,1.0000,0.9100,24.0000,0.9400,0.9400,0.9400,0.7800,1.0000,0.0000,1.0000,,2362630000.00,2407900000.00,2345470000.00,29.00
2017-07-31,historical fiscal quarter,0.7000,0.7900,0.6600,23.0000,0.6900,0.6900,0.6900,0.6800,1.0000,0.0000,4.0000,,1960490000.00,2035000000.00,1949600000.00,28.00
