contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
NVDA260204C00115000,NVDA,2026-02-04,115.00,call,55.75,59.75,57.60,37,61.90,25,2,0,2026-02-04,4.55135,0.96873,0.00170,-1.47193,0.00642,0.00299
NVDA260204P00115000,NVDA,2026-02-04,115.00,put,0.00,0.01,0.00,0,0.01,1450,0,6529,2026-02-04,2.71725,-0.00139,0.00018,-0.05634,0.00041,-0.00001
NVDA260204C00120000,NVDA,2026-02-04,120.00,call,60.60,54.42,51.95,37,56.90,37,0,2,2026-02-04,3.53674,0.98240,0.00135,-0.71171,0.00396,0.00320
NVDA260204P00120000,NVDA,2026-02-04,120.00,put,0.00,0.01,0.00,0,0.01,205,0,1783,2026-02-04,2.45384,-0.00151,0.00022,-0.05478,0.00045,-0.00001
NVDA260204C00125000,NVDA,2026-02-04,125.00,call,65.03,49.47,47.05,37,51.90,37,0,0,2026-02-04,3.30260,0.97760,0.00177,-0.81424,0.00486,0.00331
NVDA260204P00125000,NVDA,2026-02-04,125.00,put,0.00,0.01,0.00,0,0.01,204,0,899,2026-02-04,2.20019,-0.00164,0.00026,-0.05312,0.00048,-0.00001
NVDA260204C00130000,NVDA,2026-02-04,130.00,call,0.00,44.47,42.05,30,46.90,36,0,0,2026-02-04,2.96115,0.97535,0.00214,-0.79211,0.00527,0.00344
NVDA260204P00130000,NVDA,2026-02-04,130.00,put,0.01,0.01,0.00,0,0.01,204,10,98,2026-02-04,1.96605,-0.00189,0.00034,-0.05396,0.00055,-0.00001
NVDA260204C00135000,NVDA,2026-02-04,135.00,call,45.72,39.47,37.05,32,41.90,32,0,3,2026-02-04,2.63920,0.97224,0.00265,-0.78045,0.00582,0.00356
NVDA260204P00135000,NVDA,2026-02-04,135.00,put,0.00,0.01,0.00,0,0.01,204,0,549,2026-02-04,1.73191,-0.00213,0.00043,-0.05301,0.00061,-0.00001
NVDA260204C00140000,NVDA,2026-02-04,140.00,call,34.35,34.47,32.05,37,36.90,37,6,6,2026-02-04,2.31726,0.96877,0.00333,-0.75658,0.00641,0.00368
NVDA260204P00140000,NVDA,2026-02-04,140.00,put,0.01,0.01,0.00,0,0.01,227,2,709,2026-02-04,1.49777,-0.00234,0.00054,-0.04996,0.00067,-0.00001
NVDA260204C00145000,NVDA,2026-02-04,145.00,call,34.21,29.42,26.80,21,32.05,21,1,3,2026-02-04,1.92703,0.96925,0.00395,-0.62407,0.00633,0.00382
NVDA260204P00145000,NVDA,2026-02-04,145.00,put,0.00,0.01,0.00,0,0.01,235,0,2435,2026-02-04,1.28314,-0.00284,0.00074,-0.05085,0.00079,-0.00001
NVDA260204C00150000,NVDA,2026-02-04,150.00,call,25.49,24.23,24.15,1,24.30,1,52,41,2026-02-04,1.17583,0.99309,0.00180,-0.11816,0.00176,0.00408
NVDA260204P00150000,NVDA,2026-02-04,150.00,put,0.01,0.01,0.00,0,0.01,228,50,6057,2026-02-04,1.06851,-0.00344,0.00106,-0.05029,0.00094,-0.00002
