fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-01-31,USD,97858000000,130497000000,32639000000,32639000000,81453000000,3491000000,12914000000,16405000000,None,1539000000,1786000000,247000000,None,None,None,1864000000,84026000000,11146000000,None,72880000000,None,84273000000,86137000000,72880000000
2024-01-31,USD,44301000000,60922000000,16621000000,16621000000,32972000000,2654000000,8675000000,11329000000,None,609000000,866000000,257000000,None,None,None,1508000000,33818000000,4058000000,None,29760000000,None,34075000000,35583000000,29760000000
2023-01-31,USD,15356000000,26974000000,11618000000,11618000000,4224000000,2440000000,7339000000,11132000000,None,5000000,267000000,262000000,None,219000000,None,1543000000,4181000000,-187000000,None,4368000000,None,4443000000,5986000000,4368000000
2022-01-31,USD,17475000000,26914000000,9439000000,9439000000,10041000000,2166000000,5268000000,7434000000,None,-207000000,29000000,236000000,None,136000000,None,1174000000,9941000000,189000000,None,9752000000,None,10177000000,11351000000,9752000000
2021-01-31,USD,10396000000,16675000000,6279000000,6279000000,4532000000,1940000000,3924000000,5864000000,None,-127000000,57000000,184000000,None,61000000,None,1098000000,4409000000,77000000,None,4332000000,None,4593000000,5691000000,4332000000
2020-01-31,USD,6768000000,10918000000,4150000000,4150000000,2846000000,1093000000,2829000000,3922000000,None,126000000,178000000,52000000,None,176000000,None,381000000,2970000000,174000000,None,2796000000,None,3022000000,3403000000,2796000000
2019-01-31,USD,7171000000,11716000000,4545000000,4545000000,3804000000,991000000,2376000000,3367000000,None,78000000,136000000,58000000,None,150000000,None,262000000,3896000000,-245000000,None,4141000000,None,3954000000,4216000000,4141000000
2018-01-31,USD,5822000000,9714000000,3892000000,3892000000,3210000000,815000000,1797000000,2612000000,None,8000000,69000000,61000000,None,47000000,None,199000000,3196000000,149000000,None,3047000000,None,3257000000,3456000000,3047000000
2017-01-31,USD,4063000000,6910000000,2847000000,2847000000,1934000000,663000000,1463000000,2129000000,None,-4000000,54000000,58000000,None,29000000,None,187000000,1905000000,239000000,None,1666000000,None,1963000000,2150000000,1666000000
2016-01-31,USD,2811000000,5010000000,2199000000,2199000000,747000000,602000000,1331000000,2064000000,None,None,8000000,47000000,None,43000000,None,197000000,743000000,129000000,None,614000000,None,790000000,987000000,614000000
2015-01-31,USD,2599000000,4682000000,2083000000,2083000000,759000000,459763000,1360000000,1840000000,None,None,None,46000000,None,41980000,None,220000000,755000000,124000000,None,631000000,None,801000000,1021000000,631000000
2014-01-31,USD,2268000000,4130000000,1862000000,1862000000,496000000,422702000,1336000000,1772000000,None,None,None,10000000,None,24470000,None,239000000,510000000,70000000,None,439990000,None,520000000,759000000,440000000
2013-01-31,USD,2226343000,4280159000,2053816000,2053816000,648239000,431000000,1147282000,1578104000,None,None,None,3294000,None,17094000,None,226235000,662039000,99503000,None,562536000,None,648239000,874474000,562536000
2012-01-31,USD,2056517000,3997930000,1941413000,1941413000,648299000,406000000,1002605000,1408218000,None,None,None,3089000,None,18186000,None,204205000,663396000,82306000,None,581090000,None,648299000,852504000,581090000
2011-01-31,USD,1409090000,3543309000,2134219000,2134219000,255747000,362000000,848830000,1153343000,None,None,None,3127000,None,18549000,None,186989000,271169000,18023000,None,253146000,None,255747000,442736000,253146000
2010-01-31,USD,1176923000,3326445000,2149522000,2149522000,-98945000,367017000,908851000,1275868000,None,None,None,3320000,None,19971000,None,196664000,-82294000,-14307000,None,-67987000,None,-78974000,117690000,-67987000
2009-01-31,USD,1174269000,3424859000,2250590000,2250590000,-70700000,362000000,855879000,1244969000,None,None,None,406000,None,None,None,185023000,-42954000,-12913000,None,None,None,-42548000,142475000,-30041000
2008-01-31,USD,1869280000,4097860000,2228580000,2228580000,836346000,341000000,691637000,1032934000,None,None,None,0,None,None,None,133192000,901341000,103696000,None,None,None,836346000,969538000,797645000
2007-01-31,USD,1300449000,3068771000,1768322000,1768322000,453452000,294000000,553467000,846997000,None,None,None,21000,None,None,None,107562000,494480000,46350000,None,None,None,453452000,561014000,448834000
2006-01-31,USD,910795000,2375687000,1464892000,1464892000,340097000,202000000,352099000,570698000,None,None,None,72000,None,None,None,97977000,360221000,57635000,None,None,None,354757000,452734000,302586000
