fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-10-31,USD,41849000000,57006000000,15157000000,15157000000,36010000000,1134000000,4705000000,5839000000,None,563000000,624000000,61000000,None,None,None,751000000,37936000000,6026000000,None,31910000000,None,37997000000,38748000000,31910000000
2025-07-31,USD,33853000000,46743000000,12890000000,12890000000,28440000000,1122000000,4291000000,5413000000,None,530000000,592000000,62000000,None,None,None,669000000,31206000000,4784000000,None,26422000000,None,31268000000,31937000000,26422000000
2025-04-30,USD,26668000000,44062000000,17394000000,17394000000,21638000000,1041000000,3989000000,5030000000,None,452000000,515000000,63000000,None,None,None,611000000,21910000000,3135000000,None,18775000000,None,21973000000,22584000000,18775000000
2025-01-31,USD,28723000000,39331000000,10608000000,10608000000,24034000000,975000000,3714000000,4689000000,None,450000000,511000000,61000000,None,None,None,543000000,25217000000,3126000000,None,22091000000,None,25278000000,25821000000,22091000000
2024-10-31,USD,26156000000,35082000000,8926000000,8926000000,21869000000,897000000,3390000000,4287000000,None,411000000,472000000,61000000,None,None,None,478000000,22316000000,3007000000,None,19309000000,None,22377000000,22855000000,19309000000
2024-07-31,USD,22574000000,30040000000,7466000000,7466000000,18642000000,842000000,3090000000,3932000000,None,383000000,444000000,61000000,None,None,None,433000000,19214000000,2615000000,None,16599000000,None,19275000000,19708000000,16599000000
2024-04-30,USD,20406000000,26044000000,5638000000,5638000000,16909000000,777000000,2720000000,3497000000,None,295000000,359000000,64000000,None,None,None,410000000,17279000000,2398000000,None,14881000000,None,17343000000,17753000000,14881000000
2024-01-31,USD,16791000000,22103000000,5312000000,5312000000,13614000000,712000000,2465000000,3177000000,None,231000000,294000000,63000000,None,None,None,387000000,14106000000,1821000000,None,12285000000,None,14169000000,14556000000,12285000000
2023-10-31,USD,13400000000,18120000000,4720000000,4720000000,10417000000,689000000,2294000000,2983000000,None,171000000,234000000,63000000,None,None,None,372000000,10522000000,1279000000,None,9243000000,None,10585000000,10957000000,9243000000
2023-07-31,USD,9462000000,13507000000,4045000000,4045000000,6800000000,622000000,2040000000,2662000000,None,122000000,187000000,65000000,None,246000000,None,365000000,6981000000,793000000,None,6188000000,None,7046000000,7411000000,6188000000
2023-04-30,USD,4648000000,7192000000,2544000000,2544000000,2140000000,633000000,1875000000,2508000000,None,84000000,150000000,66000000,None,135000000,None,384000000,2209000000,166000000,None,2043000000,None,2275000000,2659000000,2043000000
2023-01-31,USD,3833000000,6051000000,2218000000,2218000000,1256000000,625000000,1952000000,2577000000,None,50000000,115000000,64000000,None,None,None,426000000,1288000000,-126000000,None,1414000000,None,1352000000,1778000000,1414000000
2022-10-31,USD,3177000000,5931000000,2754000000,2754000000,601000000,631000000,1945000000,2576000000,None,23000000,88000000,65000000,None,77000000,None,406000000,613000000,-67000000,None,680000000,None,678000000,1084000000,680000000
2022-07-31,USD,2915000000,6704000000,3789000000,3789000000,499000000,592000000,1824000000,2416000000,None,-19000000,46000000,65000000,None,None,None,378000000,475000000,-181000000,None,656000000,None,540000000,918000000,656000000
2022-04-30,USD,5431000000,8288000000,2857000000,2857000000,1868000000,592000000,1618000000,3563000000,None,-50000000,18000000,68000000,None,5000000,None,334000000,1805000000,187000000,None,1618000000,None,1873000000,2207000000,1618000000
2022-01-31,USD,4999000000,7643000000,2644000000,2644000000,2970000000,563000000,1466000000,2029000000,None,-52000000,9000000,61000000,None,-44000000,None,309000000,2865000000,-138000000,None,3003000000,None,2926000000,3235000000,3003000000
2021-10-31,USD,4631000000,7103000000,2472000000,2472000000,2671000000,557000000,1403000000,1960000000,None,-55000000,7000000,62000000,None,29000000,None,298000000,2638000000,174000000,None,2464000000,None,2700000000,2998000000,2464000000
2021-07-31,USD,4215000000,6507000000,2292000000,2292000000,2444000000,526000000,1245000000,1771000000,None,-54000000,6000000,60000000,None,10000000,None,286000000,2394000000,20000000,None,2374000000,None,2454000000,2740000000,2374000000
2021-04-30,USD,3629000000,5661000000,2032000000,2032000000,1956000000,520000000,1153000000,1673000000,None,-47000000,6000000,53000000,None,141000000,None,281000000,2044000000,132000000,None,1912000000,None,2097000000,2378000000,1912000000
2021-01-31,USD,3156000000,5003000000,1847000000,1847000000,1507000000,503000000,1146000000,1649000000,None,-47000000,6000000,53000000,None,16000000,None,288000000,1470000000,13000000,None,1457000000,None,1523000000,1811000000,1457000000
2020-10-31,USD,2960000000,4726000000,1766000000,1766000000,1398000000,515000000,1047000000,1562000000,None,-46000000,7000000,53000000,None,3000000,None,299000000,1348000000,12000000,None,1336000000,None,1401000000,1700000000,1336000000
2020-07-31,USD,2275000000,3866000000,1591000000,1591000000,651000000,627000000,997000000,1624000000,None,-41000000,13000000,54000000,None,12000000,None,404000000,609000000,-13000000,None,622000000,None,663000000,1067000000,622000000
2020-04-30,USD,2004000000,3080000000,1076000000,1076000000,976000000,293000000,735000000,1028000000,None,6000000,31000000,25000000,None,30000000,None,107000000,981000000,64000000,None,917000000,None,1006000000,1113000000,917000000
2020-01-31,USD,2015000000,3105000000,1090000000,1090000000,990000000,287000000,738000000,1025000000,None,28000000,41000000,13000000,None,39000000,None,106000000,1016000000,65000000,None,951000000,None,1029000000,1135000000,951000000
2019-10-31,USD,1916000000,3014000000,1098000000,1098000000,927000000,277000000,712000000,989000000,None,32000000,45000000,13000000,None,45000000,None,92000000,959000000,60000000,None,899000000,None,972000000,1064000000,899000000
2019-07-31,USD,1541000000,2579000000,1038000000,1038000000,571000000,266000000,704000000,970000000,None,34000000,47000000,13000000,None,48000000,None,92000000,606000000,54000000,None,552000000,None,619000000,711000000,552000000
2019-04-30,USD,1296000000,2220000000,924000000,924000000,358000000,264000000,674000000,938000000,None,31000000,44000000,13000000,None,44000000,None,91000000,389000000,-5000000,None,394000000,None,402000000,493000000,394000000
2019-01-31,USD,1207000000,2205000000,998000000,998000000,294000000,266000000,647000000,913000000,None,None,None,14000000,None,44000000,None,78000000,324000000,-242000000,None,566000000,None,338000000,416000000,566000000
2018-10-31,USD,1921000000,3181000000,1260000000,1260000000,1058000000,258000000,605000000,863000000,None,None,None,15000000,None,38000000,None,68000000,1081000000,-149000000,None,1230000000,None,1096000000,1164000000,1230000000
2018-07-31,USD,1975000000,3123000000,1148000000,1148000000,1157000000,237000000,581000000,818000000,None,None,None,14000000,None,37000000,None,59000000,1180000000,79000000,None,1101000000,None,1194000000,1253000000,1101000000
2018-04-30,USD,2068000000,3207000000,1139000000,1139000000,1295000000,231000000,542000000,773000000,None,None,None,15000000,None,31000000,None,57000000,1311000000,67000000,None,1244000000,None,1326000000,1383000000,1244000000
2018-01-31,USD,1801000000,2911000000,1110000000,1110000000,1073000000,221000000,507000000,728000000,None,None,None,15000000,None,22000000,None,54000000,1079000000,-40000000,None,1119000000,None,1094000000,1148000000,1119000000
2017-10-31,USD,1569000000,2636000000,1067000000,1067000000,895000000,212000000,462000000,674000000,None,None,None,15000000,None,16000000,None,49000000,896000000,58000000,None,838000000,None,911000000,960000000,838000000
2017-07-31,USD,1302000000,2230000000,928000000,928000000,688000000,198000000,416000000,614000000,None,None,None,15000000,None,11000000,None,49000000,684000000,101000000,None,583000000,None,699000000,748000000,583000000
2017-04-30,USD,1150000000,1937000000,787000000,787000000,554000000,185000000,411000000,596000000,None,None,None,16000000,None,-2000000,None,47000000,536000000,29000000,None,507000000,None,552000000,599000000,507000000
2017-01-31,USD,1303000000,2173000000,870000000,870000000,733000000,176000000,394000000,570000000,None,None,None,19000000,None,11000000,None,47000000,725000000,71000000,None,675000000,None,744000000,791000000,654000000
2016-10-31,USD,1183000000,2004000000,821000000,821000000,639000000,171000000,373000000,544000000,None,None,None,16000000,None,-2000000,None,48000000,621000000,79000000,None,542000000,None,637000000,685000000,542000000
2016-07-31,USD,826000000,1428000000,602000000,602000000,317000000,157000000,350000000,509000000,None,None,None,12000000,None,12000000,None,47000000,317000000,56000000,None,253000000,None,329000000,376000000,261000000
2016-04-30,USD,751000000,1305000000,554000000,554000000,245000000,159000000,346000000,506000000,None,None,None,12000000,None,8000000,None,45000000,241000000,33000000,None,196000000,None,253000000,298000000,208000000
2016-01-31,USD,791000000,1401000000,610000000,610000000,252000000,131000000,344000000,539000000,None,None,None,12000000,None,15000000,None,46000000,254000000,46000000,None,208000000,None,266000000,312000000,208000000
2015-10-31,USD,734000000,1305000000,571000000,571000000,245000000,152000000,329000000,489000000,None,None,None,12000000,None,12000000,None,48000000,245000000,-1000000,None,246000000,None,257000000,305000000,246000000
2015-07-31,USD,634000000,1153000000,519000000,519000000,76000000,149000000,320000000,558000000,None,None,None,12000000,None,8000000,None,49000000,72000000,46000000,None,26000000,None,84000000,133000000,26000000
2015-04-30,USD,653000000,1151000000,498000000,498000000,176000000,138000000,339000000,477000000,None,None,None,12000000,None,8000000,None,54000000,172000000,38000000,None,134000000,None,184000000,238000000,134000000
2015-01-31,USD,699603000,1250514000,550911000,550911000,231136000,105214000,348253000,468467000,None,None,None,11594000,None,8317000,None,53955000,227859000,34731000,None,193128000,None,239453000,293408000,193128000
2014-10-31,USD,676000000,1225000000,549000000,549000000,213000000,123300000,340000000,463000000,None,None,None,11000000,None,7297000,None,55000000,209000000,36000000,None,172967000,None,220000000,275000000,173000000
2014-07-31,USD,619000000,1103000000,484000000,484000000,163000000,119000000,337000000,456000000,None,None,None,12000000,None,2972000,None,56000000,155000000,27000000,None,127976000,None,167000000,223000000,128000000
2014-04-30,USD,604000000,1103000000,499000000,499000000,151000000,118600000,334000000,453000000,None,None,None,11000000,None,23394000,None,55000000,163000000,26000000,None,136516000,None,174000000,229000000,137000000
2014-01-31,USD,619242000,1144218000,524976000,524976000,166924000,115700000,336641000,452318000,None,None,None,7492000,None,12407000,None,54838000,168888000,21971000,None,146917000,None,191394000,246232000,146917000
2013-10-31,USD,584415000,1053967000,469552000,469552000,140988000,103100000,340294000,443427000,None,None,None,819000,None,496000,None,62726000,141484000,22750000,None,118734000,None,142303000,205029000,118734000
2013-07-31,USD,545538000,977238000,431700000,431700000,105534000,108300000,331738000,440004000,None,None,None,836000,None,6286000,None,61840000,111820000,15372000,None,96448000,None,112656000,174496000,96448000
2013-04-30,USD,518568000,954739000,436171000,436171000,82781000,108600000,327161000,435787000,None,None,None,853000,None,5281000,None,59744000,88062000,10171000,None,77891000,None,88915000,148659000,77891000
2013-01-31,USD,585602000,1106902000,521300000,521300000,183573000,104000000,298007000,402029000,None,None,None,1399000,None,5829000,None,58401000,186108000,12135000,None,173973000,None,200667000,259068000,173973000
2012-10-31,USD,636658000,1204110000,567452000,567452000,252217000,100300000,284180000,384441000,None,None,None,4701000,None,1411000,None,57148000,253628000,44548000,None,209080000,None,252217000,309365000,209080000
2012-07-31,USD,540719000,1044270000,503551000,503551000,139623000,119900000,281193000,401096000,None,None,None,5316000,None,5585000,None,56195000,145208000,26162000,None,119046000,None,139623000,195818000,119046000
2012-04-30,USD,463364000,924877000,461513000,461513000,72826000,106600000,283902000,390538000,None,None,None,5198000,None,4269000,None,54491000,77095000,16658000,None,60437000,None,72826000,127317000,60437000
2012-01-31,USD,490013000,953194000,463181000,463181000,122317000,100800000,266862000,367696000,None,None,None,1124000,None,5349000,None,51895000,124577000,8552000,None,116025000,None,140503000,192398000,116025000
2011-10-31,USD,556717000,1066180000,509463000,509463000,197090000,103100000,256498000,359627000,None,None,None,4356000,None,7697000,None,52387000,204787000,26514000,None,178273000,None,197090000,249477000,178273000
2011-07-31,USD,525284000,1016517000,491233000,491233000,174030000,103533000,247721000,351254000,None,None,None,5266000,None,3517000,None,52159000,177547000,25974000,None,151573000,None,174030000,226189000,151573000
2011-04-30,USD,484503000,962039000,477536000,477536000,154862000,98100000,231524000,329641000,None,None,None,5313000,None,1623000,None,47764000,156485000,21266000,None,135219000,None,154862000,202626000,135219000
2011-01-31,USD,426359000,886376000,460017000,460017000,179778000,88000000,215563000,246581000,None,None,None,3127000,None,9255000,None,46393000,185906000,14255000,None,171651000,None,198327000,244720000,171651000
2010-10-31,USD,392062000,843912000,451850000,451850000,103783000,83752000,204527000,288279000,None,None,None,4220000,None,-198000,None,46876000,103585000,18723000,None,84862000,None,103783000,150659000,84862000
2010-07-31,USD,134292000,811208000,676916000,676916000,-175207000,98900000,210635000,309499000,None,None,None,4805000,None,6160000,None,46573000,-169047000,-28086000,None,-140961000,None,-175207000,-128634000,-140961000
2010-04-30,USD,456377000,1001813000,545436000,545436000,147393000,90900000,218105000,308984000,None,None,None,5571000,None,3332000,None,47147000,150725000,13131000,None,137594000,None,147393000,194540000,137594000
2010-01-31,USD,438721000,982488000,543767000,543767000,134282000,88188000,216251000,304439000,None,None,None,3320000,None,None,None,47914000,139421000,8345000,None,0,None,154253000,202167000,131076000
2009-10-31,USD,391783000,903206000,511423000,511423000,107845000,86000000,197948000,283938000,None,None,None,5444000,None,2362000,None,48770000,110207000,2630000,None,107577000,None,107845000,156615000,107577000
2009-07-31,USD,156723000,776520000,619797000,619797000,-110107000,74000000,192855000,266830000,None,None,None,5779000,None,None,None,49322000,-107101000,-1799000,None,0,None,-110107000,-60785000,-105302000
2009-04-30,USD,189696000,664231000,474535000,474535000,-230965000,80600000,301797000,420661000,None,None,None,6124000,None,None,None,50658000,-224821000,-23483000,None,0,None,-230965000,-180307000,-201338000
2009-01-31,USD,141666000,481140000,339474000,339474000,-175083000,86400000,211779000,316749000,None,None,None,406000,None,None,None,48055000,-170375000,-22710000,None,0,None,-156553000,-108498000,-147665000
2008-10-31,USD,367843000,897655000,529812000,529812000,56796000,90300000,212360000,311047000,None,None,None,4200000,None,None,None,49304000,61003000,-745000,None,0,None,65134000,114438000,61748000
2008-07-31,USD,149917000,892676000,742759000,742759000,-155392000,92400000,212910000,305309000,None,None,None,8800000,None,None,None,46306000,-146600000,-25671000,None,0,None,-155392000,-109086000,-120929000
2008-04-30,USD,514843000,1153388000,638545000,638545000,202979000,91263000,218830000,311864000,None,None,None,54000,None,None,None,41358000,213018000,36213000,None,0,None,202979000,244337000,176805000
2008-01-31,USD,549597000,1202730000,653133000,653133000,262499000,91263000,195835000,287098000,None,None,None,54000,None,None,None,36936000,279902000,22909000,None,0,None,262499000,299435000,256993000
