title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
2 Fidelity ETFs To Buy In February,https://247wallst.com/investing/2026/02/05/2-fidelity-etfs-to-buy-in-february/,20260205T144844,['Vandita Jadeja'],"This article recommends two Fidelity ETFs, the Fidelity Blue Chip Growth ETF (FBCG) and the Fidelity Disruptive Technology ETF (FDTX), as strong buys for February. FBCG focuses on large-cap growth stocks, particularly in the tech sector, with strong returns over the past three years. FDTX invests in disruptive technology companies, showing significant growth since its 2020 launch and concentrating on the semiconductor and software industries.",https://247wallst.com/wp-content/uploads/2015/12/fidelityinvestmentslogo-e1451507178449.jpg,24/7 Wall St.,General,24/7 Wall St.,"[{'topic': 'financial_markets', 'relevance_score': '0.927295'}, {'topic': 'technology', 'relevance_score': '0.839513'}, {'topic': 'finance', 'relevance_score': '0.745458'}, {'topic': 'earnings', 'relevance_score': '0.647517'}]",0.371684,Bullish,"[{'ticker': 'FDTX', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.354342', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.720562', 'ticker_sentiment_score': '0.433369', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.674808', 'ticker_sentiment_score': '0.447341', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'GOOGL', 'relevance_score': '0.611199', 'ticker_sentiment_score': '0.339243', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
5 Insightful Analyst Questions From MarineMax's Q4 Earnings Call,https://finviz.com/news/300790/5-insightful-analyst-questions-from-marinemaxs-q4-earnings-call,20260205T135831,['Adam Hejl'],"MarineMax's Q4 CY2025 results showed better-than-expected sales but missed adjusted EPS and EBITDA estimates, leading to a negative market reaction. Management cited elevated promotional activity and cautious retail behavior impacting margins despite premium product demand. Analysts raised questions regarding discounting assumptions, the disconnect between higher average selling prices and gross margins, demand trends across income groups, boat margin recovery, and factors contributing to margin decline.",https://news-assets.stockstory.org/cover-images/_1400x700_crop_center-center_none/marinemax-cover-image-a31166d3bb77_2023-08-16-111046_msqz.jpeg,Finviz,General,Finviz,"[{'topic': 'earnings', 'relevance_score': '0.906162'}, {'topic': 'retail_wholesale', 'relevance_score': '0.716917'}, {'topic': 'financial_markets', 'relevance_score': '0.643879'}, {'topic': 'economy_macro', 'relevance_score': '0.648775'}]",0.050816,Neutral,"[{'ticker': 'HZO', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.293949', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.638149', 'ticker_sentiment_score': '0.344067', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"Nvidia, Prologis, EPRI, InfraPartners target prefab data centers at substation sites",https://www.datacenterdynamics.com/en/news/nvidia-prologis-epri-infrapartners-target-prefab-data-centers-at-substation-sites/,20260205T135030,['Dan Swinhoe'],"Nvidia, Prologis, EPRI, and InfraPartners are collaborating to deploy containerized data centers, ranging from 5-20MW, at utility substation sites. This initiative aims to address the growing energy demands of AI by utilizing existing grid capacity for distributed inference, with plans for at least five pilot projects in the US by the end of 2026. The partnership seeks to provide smart, flexible infrastructure close to where computing is needed without overburdening the grid.",https://media.datacenterdynamics.com/media/images/GettyImages-953027006.width-358.jpg,Data Center Dynamics,General,Data Center Dynamics,"[{'topic': 'technology', 'relevance_score': '1.000000'}, {'topic': 'energy_transportation', 'relevance_score': '0.948638'}, {'topic': 'real_estate', 'relevance_score': '0.832496'}]",0.355238,Bullish,"[{'ticker': 'PLD', 'relevance_score': '0.992271', 'ticker_sentiment_score': '0.307396', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.945035', 'ticker_sentiment_score': '0.379618', 'ticker_sentiment_label': 'Bullish'}]"
Apple Becomes Apple Again,https://247wallst.com/apps-software/2026/02/05/apple-becomes-apple-again/,20260205T134540,['Douglas A. McIntyre'],"Apple's stock has surged by 36% in the last six months, significantly outperforming the S&P 500, despite concerns about its lack of a proprietary AI product. This resurgence comes as other major AI companies like Amazon, Meta, and Microsoft face investor skepticism due to high investments and slow integration of AI into paid products. Apple's decision to integrate Google's Gemini AI into ""Apple Intelligence"" through a reported $1 billion annual deal is seen as a remarkably favorable move for the company.",https://247wallst.com/wp-content/uploads/2024/05/imageForEntry28-5sq.jpg,24/7 Wall St.,General,24/7 Wall St.,"[{'topic': 'financial_markets', 'relevance_score': '0.923034'}, {'topic': 'technology', 'relevance_score': '0.846336'}]",-0.082244,Neutral,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.432718', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AMZN', 'relevance_score': '0.712486', 'ticker_sentiment_score': '-0.203414', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'MSFT', 'relevance_score': '0.624635', 'ticker_sentiment_score': '-0.236692', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'ORCL', 'relevance_score': '0.647642', 'ticker_sentiment_score': '-0.308548', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'NVDA', 'relevance_score': '0.608316', 'ticker_sentiment_score': '-0.130622', 'ticker_sentiment_label': 'Neutral'}]"
Altrius Capital Management Inc Lowers Holdings in Caterpillar Inc. $CAT,https://www.marketbeat.com/instant-alerts/filing-altrius-capital-management-inc-lowers-holdings-in-caterpillar-inc-cat-2026-02-05/,20260205T132736,['MarketBeat'],"Altrius Capital Management Inc. reduced its stake in Caterpillar Inc. by 20% in the third quarter of 2025, selling 2,765 shares and retaining 11,045 shares valued at $5.27 million. Despite institutional ownership and strong fundamentals, recent insider selling totaling over 104,000 shares worth $67 million could create short-term selling pressure. Caterpillar reported strong Q4 results, beating EPS and revenue estimates, and has a significant backlog, positive guidance, and plans for increased capital expenditure.",https://www.marketbeat.com/logos/Caterpillar-logo-web-1200x675.jpg,MarketBeat,General,MarketBeat,"[{'topic': 'earnings', 'relevance_score': '0.930237'}, {'topic': 'financial_markets', 'relevance_score': '0.940162'}, {'topic': 'manufacturing', 'relevance_score': '0.832105'}, {'topic': 'economy_macro', 'relevance_score': '0.624833'}, {'topic': 'technology', 'relevance_score': '0.629518'}]",0.197668,Somewhat-Bullish,"[{'ticker': 'CAT', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.340600', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.623080', 'ticker_sentiment_score': '0.125991', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NOW', 'relevance_score': '0.642322', 'ticker_sentiment_score': '0.125413', 'ticker_sentiment_label': 'Neutral'}]"
Tapestry (NYSE:TPR) Delivers Impressive Q4 CY2025,https://finviz.com/news/301082/tapestry-nyse-tpr-delivers-impressive-q4-cy2025,20260205T125725,['Kayode Omotosho'],"Tapestry (NYSE:TPR) reported impressive Q4 CY2025 results, exceeding revenue and EPS expectations with sales up 14% year-on-year to $2.50 billion. The luxury fashion conglomerate also raised its full-year guidance for both revenue and EPS, indicating strong performance driven by increased efficiency and robust demand. The stock reacted positively, trading up 5% immediately following the announcement.",https://news-assets.stockstory.org/cover-images/_1400x700_crop_center-center_none/tapestry-cover-image-c87755024ce9_2024-01-25-192143_dlqe,Finviz,General,Finviz,"[{'topic': 'earnings', 'relevance_score': '0.911196'}, {'topic': 'financial_markets', 'relevance_score': '0.738824'}, {'topic': 'retail_wholesale', 'relevance_score': '0.737552'}, {'topic': 'economy_macro', 'relevance_score': '0.632161'}, {'topic': 'finance', 'relevance_score': '0.623350'}]",0.252296,Somewhat-Bullish,"[{'ticker': 'TPR', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.440287', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.627947', 'ticker_sentiment_score': '0.113846', 'ticker_sentiment_label': 'Neutral'}]"
Coca-Cola Europacific Partners $CCEP Shares Sold by Cullen Capital Management LLC,https://www.marketbeat.com/instant-alerts/filing-coca-cola-europacific-partners-ccep-shares-sold-by-cullen-capital-management-llc-2026-02-05/,20260205T121419,['MarketBeat'],"Cullen Capital Management LLC reduced its stake in Coca-Cola Europacific Partners (CCEP) by 9.8% in the third quarter, selling 56,417 shares and retaining 520,359 shares valued at $47.0 million. Despite the sale, analyst sentiment remains largely positive with a ""Moderate Buy"" consensus rating and an average price target of $100.80. The company's stock recently opened at $94.85, with a 12-month trading range of $78.00–$100.67.",https://www.marketbeat.com/logos/coca-cola-europacific-partners-plc-logo-1200x675.jpg?v=20231226131737,MarketBeat,General,MarketBeat,"[{'topic': 'financial_markets', 'relevance_score': '1.000000'}, {'topic': 'earnings', 'relevance_score': '0.902018'}, {'topic': 'finance', 'relevance_score': '0.825783'}, {'topic': 'retail_wholesale', 'relevance_score': '0.633348'}]",0.064225,Neutral,"[{'ticker': 'KO', 'relevance_score': '0.709894', 'ticker_sentiment_score': '0.293671', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.607771', 'ticker_sentiment_score': '0.238232', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.604943', 'ticker_sentiment_score': '-0.128032', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NFLX', 'relevance_score': '0.568651', 'ticker_sentiment_score': '-0.079071', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.553340', 'ticker_sentiment_score': '-0.085930', 'ticker_sentiment_label': 'Neutral'}]"
"New Buy Rating for Advanced Micro Devices (AMD), the Technology Giant",https://www.theglobeandmail.com/investing/markets/stocks/AMD/pressreleases/41966/new-buy-rating-for-advanced-micro-devices-amd-the-technology-giant/,20260205T121340,['Tipranks'],"Stifel Nicolaus analyst Ruben Roy upgraded Advanced Micro Devices (AMD) to a Buy rating with a price target of $280.00, citing the company's strong financial performance with quarterly revenue of $9.25 billion and a net profit of $1.24 billion. KeyBanc also issued a Buy rating, contrasting with Citi's Hold rating on the same day. Despite positive analyst sentiment, corporate insider activity shows an increase in share selling, with an EVP selling 10,000 shares in December 2025.",,The Globe and Mail,General,The Globe and Mail,"[{'topic': 'earnings', 'relevance_score': '0.929187'}, {'topic': 'technology', 'relevance_score': '0.838163'}, {'topic': 'financial_markets', 'relevance_score': '0.731023'}]",0.214763,Somewhat-Bullish,"[{'ticker': 'AMD', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.309609', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.628971', 'ticker_sentiment_score': '0.132446', 'ticker_sentiment_label': 'Neutral'}]"
"New Buy Rating for Advanced Micro Devices (AMD), the Technology Giant",https://www.theglobeandmail.com/investing/markets/stocks/AMD-Q/pressreleases/41217/new-buy-rating-for-advanced-micro-devices-amd-the-technology-giant/,20260205T120556,['Tipranks'],"Bank of America Securities reiterated a Buy rating on Advanced Micro Devices (AMD) with a $280.00 price target, while Barclays also maintained a Buy rating with a $300.00 price target. This comes as AMD reported strong quarterly revenue of $9.25 billion and a net profit of $1.24 billion. Despite positive analyst sentiment, corporate insider activity shows a negative trend with increased selling of shares over the past quarter.",,The Globe and Mail,General,The Globe and Mail,"[{'topic': 'earnings', 'relevance_score': '0.936048'}, {'topic': 'financial_markets', 'relevance_score': '0.831786'}, {'topic': 'technology', 'relevance_score': '0.816222'}]",0.567899,Bullish,"[{'ticker': 'AMD', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.608509', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'AVGO', 'relevance_score': '0.623652', 'ticker_sentiment_score': '0.622474', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.603913', 'ticker_sentiment_score': '0.546976', 'ticker_sentiment_label': 'Bullish'}]"
PTC Q4 Deep Dive: AI Integration and Deferred Revenue Shape Guidance,https://finviz.com/news/300871/ptc-q4-deep-dive-ai-integration-and-deferred-revenue-shape-guidance,20260205T115830,['Adam Hejl'],"PTC (NASDAQ:PTC) reported Q4 CY2025 results that exceeded revenue expectations, with sales up 21.4% year-on-year, and provided strong next-quarter revenue guidance. The company's performance was driven by robust customer demand for intelligent product lifecycle solutions, momentum in large deals, and strategic AI integration across its product portfolio. Future growth is expected to be fueled by deferred annual recurring revenue (ARR) from multi-year contracts and continued adoption of AI-enhanced product releases and SaaS offerings.",https://news-assets.stockstory.org/cover-images/_1400x700_crop_center-center_none/ptc-inc-cover-image-daa5a53548a6_2023-03-22-074903_uhhz.jpeg,Finviz,General,Finviz,"[{'topic': 'earnings', 'relevance_score': '0.916856'}, {'topic': 'technology', 'relevance_score': '0.812294'}]",0.352708,Bullish,"[{'ticker': 'PTC', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.441000', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'NVDA', 'relevance_score': '0.618228', 'ticker_sentiment_score': '0.319094', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
