date,shares_outstanding_diluted,shares_outstanding_basic
2025-10-31,24483000000,24483000000
2025-07-31,24532000000,24532000000
2025-04-30,24611000000,24611000000
2025-04-27,24611000000,24441000000
2024-10-27,24774000000,24533000000
2024-07-28,24848000000,24578000000
2024-04-28,2489000000,2462000000
2024-01-28,2494000000,2466000000
2023-10-29,2494000000,2468000000
2023-07-30,2499000000,2473000000
2023-04-30,2490000000,2470000000
2023-01-29,2477000000,2463000000
2022-10-30,2499000000,2483000000
2022-07-31,2516000000,2495000000
2022-05-01,2537000000,2506000000
2022-01-30,2544000000,2505000000
2021-10-31,2538000000,2499000000
2021-08-01,2532000000,2493000000
2021-05-02,632000000,621000000
2021-01-31,634000000,620000000
2020-10-25,630000000,618000000
2020-07-26,626000000,616000000
2020-04-26,622000000,614000000
2020-01-26,621000000,609000000
2019-10-27,618000000,610000000
2019-07-28,616000000,609000000
2019-04-28,616000000,607000000
2019-01-27,622000000,608000000
2018-10-28,625000000,609000000
2018-07-29,626000000,607000000
2018-04-29,627000000,606000000
2018-01-28,629000000,605000000
2017-10-29,628000000,603000000
2017-07-30,633000000,597000000
2017-04-30,641000000,592000000
2017-01-29,688000000,556000000
2016-10-30,653000000,538000000
2016-07-31,631000000,534000000
2016-05-01,597000000,537000000
2016-01-31,587000000,540000000
2015-10-25,565000000,542000000
2015-07-26,556000000,541000000
2015-04-26,568000000,549000000
2015-01-25,555313000,544171000
2014-10-26,558201000,547789000
2014-07-27,570572000,558223000
2014-04-27,570422000,559092000
2014-01-26,577744000,568483000
2013-10-27,588752000,580870000
2013-07-28,592006000,585345000
2013-04-28,619302000,616872000
2013-01-27,621909000,620167000
2012-10-28,628845000,622352000
2012-07-29,623143000,618996000
2012-04-29,623786000,615780000
2012-01-29,621420000,612895000
2011-10-30,613560000,607063000
2011-07-31,613934000,601340000
2011-05-01,613474000,594802000
2011-01-30,601236000,583448000
2010-10-31,582648000,577323000
2010-08-01,572764000,572764000
2010-05-02,590997000,567183000
2009-10-25,574381000,551283000
2009-07-26,546639000,546639000
2009-04-26,542307,542307
2008-10-26,564536000,543807000
2008-07-27,555417000,555417000
