timestamp,open,high,low,close,adjusted close,volume,dividend amount
2026-02-04,187.2,190.3,171.91,174.19,174.19,574814600,0.0
2026-01-30,187.16,194.49,185.7,191.13,191.13,763038471,0.0
2026-01-23,181.9,189.6,177.61,187.67,187.67,701121442,0.0
2026-01-16,183.22,190.44,180.8,186.23,186.23,851839338,0.0
2026-01-09,191.76,193.63,183.6701,184.86,184.86,817720093,0.0
2026-01-02,187.71,192.9299,185.91,188.85,188.85,486034323,0.0
2025-12-26,183.92,192.69,182.35,190.53,190.53,509206827,0.0
2025-12-19,177.936,181.45,170.31,180.99,180.99,1037161126,0.0
2025-12-12,182.64,188.0,174.62,175.02,175.02,883496811,0.0
2025-12-05,174.76,185.66,173.68,182.41,182.41,847237163,0.01
2025-11-28,179.49,183.5,169.55,177.0,176.9903,882403392,0.0
2025-11-21,185.965,196.0,172.93,178.88,178.8702,1324905173,0.0
2025-11-14,195.11,199.94,180.58,190.17,190.1596,924330654,0.0
2025-11-07,208.08,211.335,178.91,188.15,188.1397,1024007719,0.0
2025-10-31,189.99,212.1899,188.4318,202.49,202.479,1118935069,0.0
2025-10-24,183.13,187.47,176.76,186.26,186.2498,657694826,0.0
2025-10-17,187.965,190.1099,177.29,183.22,183.21,926433143,0.0
2025-10-10,185.5,195.62,182.05,183.16,183.15,879706566,0.0
2025-10-03,180.425,191.05,180.32,187.62,187.6098,878292105,0.0
2025-09-26,175.3,184.55,173.125,178.19,178.1803,945921134,0.0
2025-09-19,175.67,178.85,168.41,176.67,176.6604,928588607,0.0
2025-09-12,167.55,180.28,166.7401,177.82,177.8103,824239845,0.01
2025-09-05,170.0,172.41,164.07,167.02,167.0015,758742472,0.0
2025-08-29,178.35,184.47,173.145,174.18,174.1607,1092265621,0.0
2025-08-22,180.6,182.9375,168.801,177.99,177.9702,845210180,0.0
2025-08-15,182.05,184.48,178.0417,180.45,180.43,750080237,0.0
2025-08-08,175.16,183.88,174.52,182.7,182.6797,717049539,0.0
2025-08-01,174.02,183.3,170.89,173.72,173.7007,894627672,0.0
2025-07-25,172.75,174.72,164.58,173.5,173.4807,721624080,0.0
2025-07-18,165.37,174.25,162.02,172.41,172.3909,833732148,0.0
2025-07-11,158.2,167.89,157.342,164.92,164.9017,823265781,0.0
2025-07-03,158.4,160.98,151.49,159.34,159.3223,722664103,0.0
2025-06-27,142.5,158.71,142.03,157.75,157.7325,1072401818,0.0
2025-06-20,143.345,146.2,142.65,143.85,143.834,726691944,0.0
2025-06-13,143.19,145.0,140.855,141.97,141.9542,851875991,0.01
2025-06-06,135.49,144.0,135.4,141.72,141.6944,976759630,0.0
2025-05-30,134.15,143.49,132.92,135.13,135.1055,1200760777,0.0
2025-05-23,132.39,137.4,129.16,131.29,131.2662,1011442834,0.0
2025-05-16,121.97,136.35,120.28,135.4,135.3755,1289809294,0.0
2025-05-09,112.905,118.68,110.822,116.65,116.6289,830916994,0.0
2025-05-02,109.69,115.4,104.08,114.5,114.4793,1039513638,0.0
2025-04-25,98.77,111.92,95.04,111.01,110.9899,1248911604,0.0
2025-04-17,114.11,114.29,100.05,101.49,101.4716,1183206284,0.0
2025-04-11,87.46,115.1,86.62,110.93,110.9099,2451432693,0.0
2025-04-04,105.13,111.98,92.11,94.31,94.2929,1613471152,0.0
2025-03-28,119.88,122.22,109.0701,109.67,109.6502,1159106003,0.0
2025-03-21,122.74,122.89,114.54,117.7,117.6787,1343942927,0.0
2025-03-14,109.9,121.88,104.77,121.67,121.648,1616457294,0.01
2025-03-07,123.51,123.7,107.56,112.69,112.6599,1756819893,0.0
2025-02-28,136.56,138.59,116.4,124.92,124.8866,1677630653,0.0
2025-02-21,141.27,143.44,134.03,134.43,134.3941,758833801,0.0
2025-02-14,130.09,139.25,129.08,138.85,138.8129,949079549,0.0
2025-02-07,114.75,130.37,113.01,129.84,129.8053,1370566218,0.0
2025-01-31,124.8,129.0,116.25,120.07,120.0379,2648916253,0.0
2025-01-24,139.16,148.97,137.09,142.62,142.5819,825973564,0.0
2025-01-17,129.99,138.75,129.51,137.71,137.6732,996041080,0.0
2025-01-10,148.59,153.13,134.22,135.91,135.8737,1052111995,0.0
2025-01-03,134.83,144.9,133.83,144.47,144.4314,750963555,0.0
2024-12-27,136.28,141.9,134.71,137.01,136.9734,568312188,0.0
2024-12-20,134.18,136.7,126.86,134.7,134.664,1291053689,0.0
2024-12-13,138.97,141.82,132.54,134.25,134.2141,974960979,0.0
2024-12-06,138.83,146.54,137.825,142.44,142.4019,928447790,0.01
2024-11-29,141.99,142.05,131.8,138.25,138.2035,903463597,0.0
2024-11-22,139.5,152.89,137.15,141.95,141.9023,1396925283,0.0
2024-11-15,148.68,149.65,140.08,141.98,141.9323,1017459795,0.0
2024-11-08,137.21,149.77,135.57,147.63,147.5804,973098624,0.0
2024-11-01,143.0,143.14,132.1106,135.4,135.3545,987765940,0.0
2024-10-25,138.13,144.42,137.46,141.54,141.4924,1154273138,0.0
2024-10-18,136.47,140.89,128.74,138.0,137.9536,1357584514,0.0
2024-10-11,124.99,135.78,124.95,134.8,134.7547,1290685141,0.0
2024-10-04,118.31,125.04,115.14,124.92,124.878,1272577548,0.0
2024-09-27,116.55,127.665,114.86,121.4,121.3592,1419480253,0.0
2024-09-20,116.79,119.66,113.22,116.0,115.961,1466985987,0.0
2024-09-13,104.88,120.79,103.69,119.1,119.06,1589076945,0.01
2024-09-06,116.01,116.21,100.95,102.83,102.7868,1566022704,0.0
2024-08-30,129.57,131.26,116.71,119.37,119.3198,1869975248,0.0
2024-08-23,124.28,130.75,123.1,129.37,129.3156,1575723972,0.0
2024-08-16,106.32,125.0,106.26,124.58,124.5277,1598129482,0.0
2024-08-09,92.06,108.8,90.69,104.75,104.706,2056049067,0.0
2024-08-02,113.69,120.16,101.37,107.27,107.2249,2213649314,0.0
2024-07-26,120.35,124.69,106.3,113.06,113.0125,1513222902,0.0
2024-07-19,130.56,131.39,116.56,117.93,117.8805,1351385198,0.0
2024-07-12,127.49,136.15,127.04,129.24,129.1857,1401139984,0.0
2024-07-05,123.47,128.85,118.83,125.83,125.7771,933185147,0.0
2024-06-28,123.24,128.12,118.04,123.54,123.4881,1832912673,0.0
2024-06-21,132.99,140.76,124.3,126.57,126.5168,1756092587,0.0
2024-06-14,120.37,132.84,117.01,131.88,131.8246,1400305863,0.01
2024-06-07,1136.21,1255.87,1120.03,1208.88,120.8272,244719954,0.0
2024-05-31,1102.44,1158.1915,1069.4,1096.33,109.5779,231078265,0.0
2024-05-24,937.5,1064.75,931.8,1064.69,106.4155,246091786,0.0
2024-05-17,904.78,958.1899,885.29,924.79,92.4325,168756555,0.0
2024-05-10,893.9,922.2,882.31,898.78,89.8328,185260327,0.0
2024-05-03,875.95,892.81,812.5456,887.89,88.7444,208878089,0.0
2024-04-26,781.04,883.3093,764.0,877.35,87.6909,252275892,0.0
2024-04-19,890.98,906.13,756.06,762.0,76.1617,263138782,0.0
2024-04-12,887.0,907.3899,830.22,881.86,88.1417,206922565,0.0
2024-04-05,902.99,922.25,858.8,880.08,87.9637,207368662,0.0
2024-03-28,939.41,967.6599,891.23,903.56,90.3106,208706316,0.0
2024-03-22,903.88,947.7799,850.1,942.89,94.2416,288730166,0.0
2024-03-15,864.29,919.6,841.66,878.365,87.7923,318695313,0.0
2024-03-08,841.3,974.0,834.1701,875.28,87.484,346916427,0.04
2024-03-01,797.0,823.0,771.25,822.79,82.2338,227521245,0.0
2024-02-23,719.47,823.94,662.48,788.17,78.7737,308961934,0.0
2024-02-16,726.0,746.11,696.2,726.13,72.5731,263665618,0.0
2024-02-09,682.25,721.85,663.0,721.33,72.0934,270982292,0.0
2024-02-02,612.32,666.0,607.0,661.6,66.1237,205898659,0.0
2024-01-26,600.49,628.49,585.85,610.31,60.9975,217776321,0.0
2024-01-19,550.18,595.0,547.4,594.91,59.4583,195912601,0.0
2024-01-12,495.12,553.46,494.79,547.1,54.6799,289915809,0.0
2024-01-05,492.44,495.47,473.2,490.97,49.07,144948983,0.0
2023-12-29,489.68,499.97,487.51,495.22,49.4948,111223461,0.0
2023-12-22,494.0,504.3299,480.98,488.3,48.8032,182654615,0.0
2023-12-15,474.91,494.04,458.3,488.9,48.8631,220108613,0.0
2023-12-08,460.77,477.4085,450.1,475.06,47.4799,188709330,0.04
2023-12-01,478.0,487.62,461.87,467.65,46.7353,207472104,0.0
2023-11-24,493.12,505.48,476.9,477.76,47.7457,217717644,0.0
2023-11-17,483.2,499.6,480.9901,492.98,49.2667,194224007,0.0
2023-11-10,452.845,484.72,448.99,483.35,48.3043,205355529,0.0
2023-11-03,410.87,453.0899,392.3001,450.05,44.9764,217737120,0.0
2023-10-27,412.29,436.97,398.8019,405.0,40.4743,223615881,0.0
2023-10-20,450.63,462.25,410.78,413.87,41.3607,279322538,0.0
2023-10-13,448.42,476.09,443.68,454.61,45.4321,211314468,0.0
2023-10-06,440.3,457.89,432.46,457.62,45.7329,209388772,0.0
2023-09-29,415.91,441.44,411.77,434.99,43.4714,208880097,0.0
2023-09-22,427.48,442.42,409.8,416.1,41.5836,217041499,0.0
2023-09-15,461.48,461.63,438.08,439.0,43.8721,209850495,0.0
2023-09-08,482.23,488.5081,451.52,455.72,45.5431,175855198,0.04
2023-09-01,464.82,499.27,448.88,485.09,48.4741,311419527,0.0
2023-08-25,444.94,502.66,442.22,460.18,45.9849,431021097,0.0
2023-08-18,404.86,452.68,403.11,432.99,43.2678,293041071,0.0
2023-08-11,451.11,455.4,406.39,408.55,40.8256,228823660,0.0
2023-08-04,467.54,471.3,433.87,446.8,44.6478,170821560,0.0
2023-07-28,447.31,473.95,440.4,467.5,46.7163,188258767,0.0
2023-07-21,462.89,478.9599,441.0,443.09,44.2771,300981357,0.0
2023-07-14,426.57,480.88,416.49,454.69,45.4363,238370821,0.0
2023-07-07,425.17,432.14,413.46,425.03,42.4724,118184701,0.0
2023-06-30,424.61,427.64,401.0,423.02,42.2715,252079794,0.0
2023-06-23,429.98,439.9,420.15,422.09,42.1786,177863329,0.0
2023-06-16,392.0,437.21,386.18,426.92,42.6613,296767798,0.0
2023-06-09,389.09,397.11,373.56,387.7,38.7421,214231071,0.04
2023-06-02,405.95,419.38,378.22,393.27,39.2945,304083207,0.0
2023-05-26,309.01,394.8,298.06,389.46,38.9138,370797887,0.0
2023-05-19,285.085,318.28,281.52,312.64,31.2382,239849888,0.0
2023-05-12,285.22,292.2,280.46,283.4,28.3166,162556962,0.0
2023-05-05,278.4,290.5844,272.4,286.8,28.6563,203978999,0.0
2023-04-28,270.13,277.58,262.25,277.49,27.7261,179168026,0.0
2023-04-21,265.655,281.1,264.3318,271.19,27.0966,204977780,0.0
2023-04-14,268.23,277.9,262.2,267.58,26.7359,190519108,0.0
2023-04-06,275.09,280.0,263.95,270.37,27.0146,167997621,0.0
2023-03-31,268.37,278.3431,258.5,277.77,27.754,190927190,0.0
2023-03-24,256.15,275.89,251.2983,267.79,26.7569,279775289,0.0
2023-03-17,227.52,263.99,222.97,257.25,25.7037,285477901,0.0
2023-03-10,238.91,244.54,227.26,229.65,22.946,244227914,0.04
2023-03-03,236.7,239.0,224.32,238.9,23.8661,217145004,0.0
2023-02-24,210.0,238.88,204.21,232.86,23.2628,263091019,0.0
2023-02-17,215.38,230.488,209.62,213.88,21.3666,244949430,0.0
2023-02-10,208.06,230.2,207.86,212.65,21.2438,275061045,0.0
2023-02-03,199.5,219.49,189.5,211.0,21.0789,264074652,0.0
2023-01-27,180.64,206.28,178.175,203.65,20.3447,263258120,0.0
2023-01-20,168.99,178.73,167.31,178.39,17.8212,196862443,0.0
2023-01-13,152.84,169.22,151.41,168.99,16.8821,224031287,0.0
2023-01-06,148.51,150.1,140.34,148.59,14.8442,162681191,0.0
2022-12-30,150.74,151.0,138.84,146.14,14.5994,148138178,0.0
2022-12-23,165.72,166.27,148.82,152.06,15.1908,199669484,0.0
2022-12-16,170.37,187.9,164.1,165.71,16.5545,256757869,0.0
2022-12-09,166.79,175.83,156.67,170.01,16.984,205813075,0.0
2022-12-02,160.26,172.65,155.2,168.76,16.8592,201019987,0.04
2022-11-25,151.47,165.27,150.8,162.7,16.2499,147278061,0.0
2022-11-18,162.18,169.98,151.2001,154.09,15.39,292624000,0.0
2022-11-11,142.28,163.89,137.5901,163.27,16.3068,281607332,0.0
