Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2025-11-06 18:00:00-05:00,1.81,2.52,39.14
2025-08-07 21:00:00-04:00,4.81,1.74,-63.78
2025-05-12 19:00:00-04:00,2.37,2.73,15.08
2025-02-26 18:00:00-05:00,0.54,1.37,153.85
2024-11-07 17:00:00-05:00,2.13,2.56,20.15
2024-08-08 22:00:00-04:00,1.77,-0.2,-111.27
2024-05-13 21:00:00-04:00,1.94,1.85,-4.75
2024-03-08 10:00:00-05:00,2.48,3.17,27.83
2023-11-09 18:00:00-05:00,1.9,2.09,9.79
2023-08-02 20:00:00-04:00,2.23,2.23,0.21
2023-05-10 20:00:00-04:00,2.42,2.88,18.6
2023-03-02 02:00:00-05:00,3.12,3.29,5.35
2022-11-04 11:00:00-04:00,3.61,3.56,-1.4
2022-09-19 14:00:00-04:00,2.88,4.37,51.88
2022-05-06 09:00:00-04:00,2.91,3.33,14.26
2022-02-24 13:00:00-05:00,2.91,1.83,-37.19
2021-10-29 11:00:00-04:00,1.43,1.33,-6.86
2021-08-05 10:00:00-04:00,1.66,3.06,84.2
2021-05-14 10:00:00-04:00,0.45,0.09,-80.21
2021-02-25 15:00:00-05:00,0.44,2.2,400.0
2020-10-29 10:00:00-04:00,0.29,0.24,-16.24
2020-07-31 09:00:00-04:00,-0.41,-1.05,-156.76
2020-05-15 09:00:00-04:00,0.35,-4.31,-1320.52
2020-02-19 20:00:00-05:00,0.89,1.0,11.85
2019-10-25 14:00:00-04:00,0.96,0.7,-26.87
