,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-3597633000.0,-356916000.0,-711136000.0,-581473445.527015
Tax Rate For Calcs,0.317,0.294,0.313,0.291904
Normalized EBITDA,38811000000.0,53506000000.0,72205000000.0,46889000000.0
Total Unusual Items,-11349000000.0,-1214000000.0,-2272000000.0,-1992000000.0
Total Unusual Items Excluding Goodwill,-11349000000.0,-1214000000.0,-2272000000.0,-1992000000.0
Net Income From Continuing Operation Net Minority Interest,7528000000.0,24884000000.0,36623000000.0,19875000000.0
Reconciled Depreciation,12479000000.0,13280000000.0,13218000000.0,11695000000.0
Reconciled Cost Of Revenue,33781000000.0,35887000000.0,47162000000.0,32165000000.0
EBITDA,27462000000.0,52292000000.0,69933000000.0,44897000000.0
EBIT,14983000000.0,39012000000.0,56715000000.0,33202000000.0
Net Interest Income,-3725000000.0,-3410000000.0,-2827000000.0,-4644000000.0
Interest Expense,3841000000.0,3616000000.0,3190000000.0,4977000000.0
Interest Income,,,673000000.0,2820039200.0
Normalized Income,15279367000.0,25741084000.0,38183864000.0,21285526554.472984
Net Income From Continuing And Discontinued Operation,7528000000.0,24884000000.0,36623000000.0,19875000000.0
Total Expenses,65725000000.0,62936000000.0,71209000000.0,52965000000.0
Rent Expense Supplemental,4575000000.0,4731000000.0,4349000000.0,3798000000.0
Diluted Average Shares,12888732761.0,13022289244.0,13044201261.0,13044201261.0
Basic Average Shares,12888732761.0,13022289244.0,13044201261.0,13044201261.0
Diluted EPS,0.584076,1.91,2.81,1.52
Basic EPS,0.584076,1.91,2.81,1.52
Diluted NI Availto Com Stockholders,7528000000.0,24884000000.0,36623000000.0,19875000000.0
Net Income Common Stockholders,7528000000.0,24884000000.0,36623000000.0,19875000000.0
Net Income,7528000000.0,24884000000.0,36623000000.0,19875000000.0
Minority Interests,-77000000.0,-111000000.0,-132000000.0,-111000000.0
Net Income Including Noncontrolling Interests,7605000000.0,24995000000.0,36755000000.0,19986000000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,7605000000.0,24995000000.0,36755000000.0,19986000000.0
Tax Provision,3537000000.0,10401000000.0,16770000000.0,8239000000.0
Pretax Income,11142000000.0,35396000000.0,53525000000.0,28225000000.0
Other Income Expense,-10824000000.0,-667000000.0,3087000000.0,1868000000.0
Other Non Operating Income Expenses,1152000000.0,851000000.0,5108000000.0,2253000000.0
Special Income Charges,-1969000000.0,-1862000000.0,-917000000.0,4927000000.0
Gain On Sale Of Ppe,228000000.0,1295000000.0,1144000000.0,1941000000.0
Gain On Sale Of Business,,,,-41000000.0
Other Special Charges,666000000.0,477000000.0,746000000.0,204000000.0
Write Off,1531000000.0,2680000000.0,1315000000.0,-3190000000.0
Impairment Of Capital Assets,,,1164000000.0,-3190000000.0
Restructuring And Mergern Acquisition,,-284000000.0,-4286000000.0,-11000000.0
Earnings From Equity Interest,-627000000.0,-304000000.0,251000000.0,1607000000.0
Gain On Sale Of Security,-9380000000.0,648000000.0,-1355000000.0,-6919000000.0
Net Non Operating Interest Income Expense,-3725000000.0,-3410000000.0,-2827000000.0,-4644000000.0
Total Other Finance Cost,-116000000.0,-206000000.0,-363000000.0,-333000000.0
Interest Expense Non Operating,3841000000.0,3616000000.0,3190000000.0,4977000000.0
Interest Income Non Operating,,,673000000.0,2820039200.0
Operating Income,25691000000.0,39473000000.0,53265000000.0,31001000000.0
Operating Expense,20281000000.0,14501000000.0,11723000000.0,9801000000.0
Other Operating Expenses,3557000000.0,2051000000.0,791000000.0,522000000.0
Other Taxes,3211000000.0,686000000.0,353000000.0,-112000000.0
Provision For Doubtful Accounts,258000000.0,40000000.0,55000000.0,-12000000.0
Depreciation Amortization Depletion Income Statement,816000000.0,732000000.0,894000000.0,696000000.0
Research And Development,789000000.0,726000000.0,792000000.0,563000000.0
Selling General And Administration,9033000000.0,8061000000.0,7004000000.0,6782000000.0
Selling And Marketing Expense,,20849347200.0,21082458600.0,4229000000.0
General And Administrative Expense,9033000000.0,8061000000.0,7004000000.0,6782000000.0
Other Gand A,,,362000000.0,256000000.0
Rent And Landing Fees,4575000000.0,4731000000.0,4349000000.0,3798000000.0
Salaries And Wages,4458000000.0,3330000000.0,2655000000.0,2984000000.0
Gross Profit,45972000000.0,53974000000.0,64988000000.0,40802000000.0
Cost Of Revenue,45444000000.0,48435000000.0,59486000000.0,43164000000.0
Total Revenue,91416000000.0,102409000000.0,124474000000.0,83966000000.0
Operating Revenue,91416000000.0,102409000000.0,124474000000.0,83966000000.0
