,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,413991000.0,441427858.368429,876888000.0,-1435428249.859313,12512000.0,
Tax Rate For Calcs,0.269,0.257994,0.342,0.221722,0.272,
Normalized EBITDA,11931000000.0,9429000000.0,10747000000.0,6866000000.0,11976000000.0,
Total Unusual Items,1539000000.0,1711000000.0,2564000000.0,-6474000000.0,46000000.0,
Total Unusual Items Excluding Goodwill,1539000000.0,1711000000.0,2564000000.0,-6474000000.0,46000000.0,
Net Income From Continuing Operation Net Minority Interest,6027000000.0,4734000000.0,5974000000.0,-2780000000.0,5870000000.0,
Reconciled Depreciation,4111000000.0,3697000000.0,3247000000.0,2996000000.0,2983000000.0,
Reconciled Cost Of Revenue,8406000000.0,7545000000.0,7646000000.0,8046000000.0,8572000000.0,
EBITDA,13470000000.0,11140000000.0,13311000000.0,392000000.0,12022000000.0,
EBIT,9359000000.0,7443000000.0,10064000000.0,-2604000000.0,9039000000.0,
Net Interest Income,-1021000000.0,-945000000.0,-909000000.0,815000000.0,-878000000.0,
Interest Expense,1076000000.0,1032000000.0,958000000.0,950000000.0,943000000.0,
Interest Income,98000000.0,,74000000.0,,128000000.0,
Normalized Income,4901991000.0,3464427858.368429,4286888000.0,2258571750.140687,5836512000.0,
Net Income From Continuing And Discontinued Operation,6027000000.0,4734000000.0,5974000000.0,-2780000000.0,5870000000.0,
Total Expenses,15748000000.0,15565000000.0,13802000000.0,19335000000.0,14497000000.0,
Rent Expense Supplemental,1258000000.0,1224000000.0,1034000000.0,1022000000.0,1098000000.0,
Total Operating Income As Reported,7976000000.0,5349000000.0,,,,
Diluted Average Shares,12888732761.0,12888732761.0,12888732761.0,12888732761.0,12888732761.0,
Basic Average Shares,12888732761.0,12888732761.0,12888732761.0,12888732761.0,12888732761.0,
Diluted EPS,0.467618,0.37,0.46,-0.215692,0.46,
Basic EPS,0.467618,0.37,0.46,-0.215692,0.46,
Diluted NI Availto Com Stockholders,6027000000.0,4734000000.0,5974000000.0,-2780000000.0,5870000000.0,
Net Income Common Stockholders,6027000000.0,4734000000.0,5974000000.0,-2780000000.0,5870000000.0,
Net Income,6027000000.0,4734000000.0,5974000000.0,-2780000000.0,5870000000.0,
Minority Interests,-26000000.0,-23000000.0,-21000000.0,-14000000.0,-21000000.0,
Net Income Including Noncontrolling Interests,6053000000.0,4757000000.0,5995000000.0,-2766000000.0,5891000000.0,
Net Income Continuous Operations,6053000000.0,4757000000.0,5995000000.0,-2766000000.0,5891000000.0,
Tax Provision,2230000000.0,1654000000.0,3111000000.0,-788000000.0,2205000000.0,
Pretax Income,8283000000.0,6411000000.0,9106000000.0,-3554000000.0,8096000000.0,
Other Income Expense,1575000000.0,1884000000.0,2744000000.0,-5849000000.0,105000000.0,
Other Non Operating Income Expenses,117000000.0,126000000.0,98000000.0,948000000.0,82000000.0,
Special Income Charges,287000000.0,-157000000.0,-37000000.0,-1668000000.0,-296000000.0,
Gain On Sale Of Ppe,10000000.0,14000000.0,57000000.0,39000000.0,-97000000.0,
Other Special Charges,133000000.0,-19000000.0,44000000.0,130000000.0,199000000.0,
Write Off,,,50000000.0,,,
Impairment Of Capital Assets,-287000000.0,190000000.0,,,0.0,-37000000.0
Earnings From Equity Interest,36000000.0,47000000.0,82000000.0,-323000000.0,-23000000.0,
Gain On Sale Of Security,1252000000.0,1868000000.0,2601000000.0,-4806000000.0,342000000.0,
Net Non Operating Interest Income Expense,-1021000000.0,-945000000.0,-909000000.0,815000000.0,-878000000.0,
Total Other Finance Cost,43000000.0,-87000000.0,25000000.0,-2110000000.0,63000000.0,
Interest Expense Non Operating,1076000000.0,1032000000.0,958000000.0,950000000.0,943000000.0,
Interest Income Non Operating,98000000.0,,74000000.0,,128000000.0,
Operating Income,7729000000.0,5472000000.0,7271000000.0,1480000000.0,8869000000.0,
Operating Expense,3488000000.0,4540000000.0,3117000000.0,8503000000.0,3136000000.0,
Other Operating Expenses,1285000000.0,1068000000.0,76000000.0,3376000000.0,250000000.0,
Other Taxes,109000000.0,26000000.0,65000000.0,2145000000.0,-228000000.0,
Provision For Doubtful Accounts,17000000.0,14000000.0,-4000000.0,250000000.0,0.0,
Depreciation Amortization Depletion Income Statement,257000000.0,217000000.0,208000000.0,210000000.0,194000000.0,
Research And Development,233000000.0,193000000.0,202000000.0,218000000.0,195000000.0,
Selling General And Administration,1587000000.0,2362000000.0,1935000000.0,1711000000.0,2053000000.0,
General And Administrative Expense,1587000000.0,2362000000.0,1935000000.0,1711000000.0,2053000000.0,
Rent And Landing Fees,1258000000.0,1224000000.0,1034000000.0,1022000000.0,1098000000.0,
Salaries And Wages,329000000.0,1138000000.0,901000000.0,689000000.0,955000000.0,
Gross Profit,11217000000.0,10012000000.0,10388000000.0,9983000000.0,12005000000.0,
Cost Of Revenue,12260000000.0,11025000000.0,10685000000.0,10832000000.0,11361000000.0,
Total Revenue,23477000000.0,21037000000.0,21073000000.0,20815000000.0,23366000000.0,
Operating Revenue,23477000000.0,21037000000.0,21073000000.0,20815000000.0,23366000000.0,
