,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,38903124.0,54385394.0,62323607.0,31510205.0
Ordinary Shares Number,7459627927.0,7444145657.0,7436207817.0,7467020641.0
Share Issued,7498531051.0,7498531051.0,7498531424.0,7498530846.0
Net Debt,,,31608755000.0,12842158000.0
Total Debt,23137784000.0,19626967000.0,126658493000.0,98678200000.0
Tangible Book Value,86664888000.0,82077491000.0,78580100000.0,74853358000.0
Invested Capital,142629469000.0,134079971000.0,236841327000.0,204318346000.0
Net Tangible Assets,86664888000.0,82077491000.0,78580100000.0,74853358000.0
Common Stock Equity,119491685000.0,114453004000.0,110182834000.0,105640146000.0
Total Capitalization,142629469000.0,134079971000.0,236841327000.0,204318346000.0
Total Equity Gross Minority Interest,119827132000.0,114856354000.0,110680176000.0,105974495000.0
Minority Interest,335447000.0,403350000.0,497342000.0,334349000.0
Stockholders Equity,119491685000.0,114453004000.0,110182834000.0,105640146000.0
Gains Losses Not Affecting Retained Earnings,-6077528000.0,-3360538000.0,-4040664000.0,-3034487000.0
Other Equity Adjustments,-6077528000.0,-3360538000.0,-4040664000.0,-3034487000.0
Treasury Stock,884707000.0,1106783000.0,1219316000.0,713039000.0
Retained Earnings,61453920000.0,63920325000.0,60442814000.0,54387672000.0
Capital Stock,65000000000.0,55000000000.0,55000000000.0,55000000000.0
Common Stock,65000000000.0,55000000000.0,55000000000.0,55000000000.0
Total Liabilities Net Minority Interest,1118969678000.0,1000796422000.0,874770653000.0,825233901000.0
Derivative Product Liabilities,39410274000.0,24940428000.0,18699325000.0,24618981000.0
Employee Benefits,1643144000.0,2911938000.0,2115991000.0,3047786000.0
Non Current Pension And Other Postretirement Benefit Plans,1364437000.0,2543504000.0,1775202000.0,2728126000.0
Non Current Deferred Liabilities,5689440000.0,3699432000.0,3642000000.0,2225190000.0
Non Current Deferred Taxes Liabilities,5689440000.0,3699432000.0,3642000000.0,2225190000.0
Long Term Debt And Capital Lease Obligation,23137784000.0,19626967000.0,126658493000.0,98678200000.0
Long Term Debt,23137784000.0,19626967000.0,126658493000.0,98678200000.0
Long Term Provisions,13154693000.0,12698416000.0,7339941000.0,8876356000.0
Payables And Accrued Expenses,6140979000.0,6645990000.0,8296100000.0,8599577000.0
Current Accrued Expenses,,3768139000.0,4127300000.0,2649744000.0
Payables,6140979000.0,6645990000.0,4168800000.0,5949833000.0
Dividends Payable,109442000.0,137284000.0,,
Total Tax Payable,6031537000.0,6508706000.0,4168800000.0,5949833000.0
Income Tax Payable,6031537000.0,6508706000.0,4168800000.0,5949833000.0
Total Assets,1238796810000.0,1115652776000.0,985450829000.0,931208396000.0
Investments And Advances,290801816000.0,249462537000.0,207278987000.0,228972373000.0
Available For Sale Securities,195083100000.0,188800667000.0,150125746000.0,126497940000.0
Trading Securities,,,84834356000.0,70570665000.0
Long Term Equity Investment,3640176000.0,1609780000.0,1727570000.0,1232646000.0
Goodwill And Other Intangible Assets,32826797000.0,32375513000.0,31602734000.0,30786788000.0
Other Intangible Assets,4933919000.0,4522945000.0,3713407000.0,2871319000.0
Goodwill,27892878000.0,27852568000.0,27889327000.0,27915469000.0
Net PPE,6021900000.0,7085564000.0,8190763000.0,8783785000.0
Accumulated Depreciation,-12746467000.0,-12778278000.0,-12235355000.0,-11013800000.0
Gross PPE,18768368000.0,19863841000.0,20426118000.0,19797585000.0
Leases,3582982000.0,4075464000.0,,
Construction In Progress,105354000.0,110171000.0,,
Other Properties,2796257000.0,3266685000.0,3643571000.0,3425671000.0
Machinery Furniture Equipment,9685613000.0,9766639000.0,13987761000.0,13572391000.0
Land And Improvements,2598162000.0,2644882000.0,2794786000.0,2799523000.0
Properties,,2725829000.0,2794786000.0,2799523000.0
Prepaid Assets,1204673000.0,1272342000.0,1031104000.0,797365000.0
Receivables,16975660000.0,13778759000.0,14788565000.0,9080394000.0
Other Receivables,16975660000.0,13778759000.0,14788565000.0,9080394000.0
Other Short Term Investments,92078540000.0,59052090000.0,55425671000.0,101241787000.0
Cash And Cash Equivalents,204884465000.0,193990268000.0,149639519000.0,101572867000.0
Cash Equivalents,,,,12630919000.0
Cash Financial,37084254000.0,23122550000.0,22003439000.0,16657201000.0
Cash Cash Equivalents And Federal Funds Sold,204884465000.0,193990268000.0,149639519000.0,101572867000.0
