,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,-12705828000.0,32907778000.0,-42949079000.0,27904732000.0,13259270000.0
Issuance Of Capital Stock,,,,6820000.0,-26907000.0
Capital Expenditure,-889547000.0,-499940000.0,-718912000.0,-803185000.0,-635340000.0
End Cash Position,86017634000.0,102079340000.0,67200905000.0,111228801000.0,75888235000.0
Beginning Cash Position,102079340000.0,67200905000.0,111228801000.0,75888235000.0,67035840000.0
Effect Of Exchange Rate Changes,-959000.0,2396000.0,,4437000.0,-3370000.0
Changes In Cash,-16060747000.0,34876039000.0,-44028301000.0,35336129000.0,8855765000.0
Financing Cash Flow,-4804697000.0,1519867000.0,-935309000.0,7159446000.0,-4384472000.0
Cash Flow From Continuing Financing Activities,-4804697000.0,1519867000.0,-935309000.0,7159446000.0,-4384472000.0
Net Other Financing Charges,-2393336000.0,3295020000.0,492186000.0,8557332000.0,-3071423000.0
Interest Paid Cff,6666000.0,-478393000.0,-15893000.0,,
Cash Dividends Paid,-2419428000.0,-1457244000.0,-1468734000.0,-1288356000.0,-1286142000.0
Net Common Stock Issuance,1401000.0,160484000.0,-11345000.0,6820000.0,-26907000.0
Common Stock Issuance,,,,6820000.0,-26907000.0
Investing Cash Flow,560231000.0,-51546000.0,-862825000.0,-531234000.0,-654373000.0
Cash Flow From Continuing Investing Activities,560231000.0,-51546000.0,-862825000.0,-531234000.0,-654373000.0
Net Other Investing Changes,-65935000.0,-94129000.0,-46436000.0,-74538000.0,-29112000.0
Dividends Received Cfi,1420956000.0,316041000.0,-57621000.0,34109000.0,62631000.0
Net Business Purchase And Sale,-26315000.0,18815000.0,4814000.0,0.0,-119020000.0
Sale Of Business,,18815000.0,,,
Purchase Of Business,,,4814000.0,0.0,-119020000.0
Net Intangibles Purchase And Sale,-481052000.0,-310190000.0,-521960000.0,-407102000.0,-412235000.0
Sale Of Intangibles,9397000.0,83004000.0,-85929000.0,186850000.0,-20549000.0
Purchase Of Intangibles,-490449000.0,-393194000.0,-436031000.0,-593952000.0,-391686000.0
Net PPE Purchase And Sale,-287423000.0,17917000.0,-241622000.0,-83703000.0,-156637000.0
Sale Of PPE,111675000.0,124663000.0,41259000.0,125530000.0,87017000.0
Purchase Of PPE,-399098000.0,-106746000.0,-282881000.0,-209233000.0,-243654000.0
Operating Cash Flow,-11816281000.0,33407718000.0,-42230167000.0,28707917000.0,13894610000.0
Cash Flow From Continuing Operating Activities,-11816281000.0,33407718000.0,-42230167000.0,28707917000.0,13894610000.0
Taxes Refund Paid,-1408361000.0,-2437265000.0,-1196526000.0,-1084086000.0,-993866000.0
Change In Working Capital,-17152242000.0,25377975000.0,-48320097000.0,32771336000.0,39781590000.0
Change In Other Working Capital,-18886201000.0,32544242000.0,-33302727000.0,30709568000.0,33997243000.0
Change In Other Current Liabilities,1802579000.0,1252138000.0,-14496789000.0,2759290000.0,6388284000.0
Change In Other Current Assets,-68620000.0,-8418405000.0,-520581000.0,-697522000.0,-603937000.0
Other Non Cash Items,-217806000.0,-155940000.0,-607840000.0,-390299000.0,584323000.0
Asset Impairment Charge,86835000.0,91127000.0,65318000.0,112689000.0,26756000.0
Deferred Tax,-2506949000.0,-1257472000.0,-147518000.0,1052663000.0,-1135789000.0
Deferred Income Tax,-2506949000.0,-1257472000.0,-147518000.0,1052663000.0,-1135789000.0
Depreciation Amortization Depletion,621318000.0,703335000.0,691511000.0,689003000.0,668717000.0
Depreciation And Amortization,621318000.0,703335000.0,691511000.0,689003000.0,668717000.0
Amortization Cash Flow,375120000.0,372449000.0,323040000.0,298385000.0,264721000.0
Amortization Of Intangibles,375120000.0,372449000.0,323040000.0,298385000.0,264721000.0
Depreciation,246198000.0,330886000.0,368471000.0,390618000.0,403996000.0
Operating Gains Losses,5785507000.0,6639978000.0,3211574000.0,-9260602000.0,-29979428000.0
Earnings Losses From Equity Investments,-114808000.0,-86615000.0,-98640000.0,-86802000.0,-63945000.0
Net Foreign Currency Exchange Gain Loss,-4170871000.0,-490629000.0,-4311383000.0,-15638753000.0,-35465727000.0
Gain Loss On Sale Of PPE,-52361000.0,-47389000.0,-32707000.0,-53778000.0,-1961382000.0
Net Income From Continuing Operations,1987933000.0,3151583000.0,3069863000.0,3649544000.0,3633428000.0
