Earnings Date,EPS Estimate,Reported EPS,Surprise(%)
2025-07-30 09:00:00-04:00,0.99,0.98,-0.91
2025-04-30 05:00:00-04:00,1.01,1.03,2.63
2025-02-05 08:00:00-05:00,0.99,1.03,4.24
2024-02-19 19:00:00-05:00,0.75,0.59,-21.11
2023-10-25 05:00:00-04:00,0.74,0.72,-2.34
2023-07-26 07:00:00-04:00,0.65,0.6,-8.42
2023-04-25 06:00:00-04:00,0.51,0.56,9.89
2023-02-28 16:00:00-05:00,0.72,2.5,244.44
2022-10-26 13:00:00-04:00,1.0,0.28,-71.88
2022-08-31 17:00:00-04:00,1.07,0.36,-66.45
2022-04-26 06:00:00-04:00,1.07,0.56,-47.89
2022-02-02 05:00:00-05:00,1.1,0.46,-58.09
2021-10-27 08:00:00-04:00,1.08,2.29,112.0
2021-07-28 08:00:00-04:00,1.04,1.48,42.85
2021-04-28 08:00:00-04:00,1.0,0.91,-8.61
2021-02-03 04:00:00-05:00,0.97,1.04,6.59
2020-10-27 06:00:00-04:00,0.79,1.03,30.58
2020-07-29 07:00:00-04:00,0.57,2.27,301.98
2020-04-28 07:00:00-04:00,0.93,0.95,2.24
2020-01-29 06:00:00-05:00,1.02,0.98,-4.4
2019-10-30 07:00:00-04:00,0.95,0.97,3.08
2019-07-23 20:00:00-04:00,0.94,0.96,2.05
2019-04-30 07:00:00-04:00,0.9,0.92,1.93
2019-01-30 04:00:00-05:00,0.86,0.89,3.51
2018-10-31 06:00:00-04:00,0.81,0.81,0.74
