,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-33199999.0,-25354280.0,-8009164.8,-39087060.753213
Tax Rate For Calcs,0.301,0.2032,0.2674,0.371349
Total Unusual Items,-110299000.0,-124775000.0,-29952000.0,-105257000.0
Total Unusual Items Excluding Goodwill,-110299000.0,-124775000.0,-29952000.0,-105257000.0
Net Income From Continuing Operation Net Minority Interest,13365506000.0,9449313000.0,14287093000.0,15528052000.0
Reconciled Depreciation,2731018000.0,2740950000.0,2585502000.0,2433921000.0
Net Interest Income,56678560000.0,46884034000.0,47503177000.0,51318466000.0
Interest Expense,80504918000.0,81398673000.0,67721941000.0,26668842000.0
Interest Income,137183478000.0,128282707000.0,115225118000.0,77987308000.0
Normalized Income,13442605001.0,9548733720.0,14309035835.2,15594221939.246786
Net Income From Continuing And Discontinued Operation,13365506000.0,9449313000.0,14287093000.0,15528052000.0
Diluted NI Availto Com Stockholders,6488760000.0,4587598000.0,6936588000.0,7535924000.0
Net Income Common Stockholders,6488760000.0,4587598000.0,6936588000.0,7535924000.0
Preferred Stock Dividends,6876746000.0,4861715000.0,7350505000.0,7992128000.0
Net Income,13365506000.0,9449313000.0,14287093000.0,15528052000.0
Minority Interests,-48257000.0,-49499000.0,-52382000.0,-31272000.0
Net Income Including Noncontrolling Interests,13413763000.0,9498812000.0,14339475000.0,15559324000.0
Net Income Continuous Operations,13413763000.0,9498812000.0,14339475000.0,15559324000.0
Tax Provision,5776465000.0,2422839000.0,5235252000.0,9191005000.0
Pretax Income,19190228000.0,11921651000.0,19574727000.0,24750329000.0
Special Income Charges,-110299000.0,-124775000.0,-29952000.0,-105257000.0
Other Special Charges,-142188000.0,-125398000.0,-131482000.0,-60542000.0
Write Off,203590000.0,230700000.0,130183000.0,135639000.0
Impairment Of Capital Assets,48897000.0,19473000.0,31251000.0,30160000.0
Gain On Sale Of Security,-27989026000.0,-24338183000.0,-20637340000.0,-16828942000.0
Depreciation Amortization Depletion Income Statement,2731018000.0,2740950000.0,2585502000.0,2433921000.0
Depreciation And Amortization In Income Statement,2731018000.0,2740950000.0,2585502000.0,2433921000.0
Amortization,1144740000.0,899334000.0,725459000.0,583141000.0
Amortization Of Intangibles Income Statement,1144740000.0,899334000.0,725459000.0,583141000.0
Depreciation Income Statement,1586278000.0,1841616000.0,1860043000.0,1850780000.0
Selling General And Administration,18873347000.0,18068023000.0,16776663000.0,15758984000.0
Selling And Marketing Expense,516448000.0,521964000.0,540593000.0,621425000.0
General And Administrative Expense,18356899000.0,17546059000.0,16236070000.0,15137559000.0
Other Gand A,6117870000.0,6141929000.0,5828650000.0,5615682000.0
Insurance And Claims,641033000.0,590204000.0,510425000.0,496175000.0
Salaries And Wages,11597996000.0,10813926000.0,9896995000.0,9025702000.0
Total Revenue,48518147000.0,39965346000.0,43173381000.0,48674623000.0
Operating Revenue,48518147000.0,39965346000.0,43173381000.0,48674623000.0
Professional Expense And Contract Services Expense,2004832000.0,1884892000.0,1802948000.0,1828795000.0
Other Non Interest Expense,1326171000.0,1039879000.0,1387278000.0,1762103000.0
