,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-11721160.0,-13900790.995065,-457709054.994007,-20112018.117686,601166299.075308
Tax Rate For Calcs,0.34,0.31782,0.254432,0.322194,0.310739
Total Unusual Items,-34474000.0,-43738000.0,-1798941000.0,-62422000.0,1934633000.0
Total Unusual Items Excluding Goodwill,-34474000.0,-43738000.0,-1798941000.0,-62422000.0,1934633000.0
Net Income From Continuing Operation Net Minority Interest,1928066000.0,3108800000.0,3058779000.0,3637202000.0,3617479000.0
Reconciled Depreciation,621318000.0,703335000.0,691511000.0,689003000.0,668717000.0
Net Interest Income,14934855000.0,14825731000.0,15429309000.0,13994632000.0,13867692000.0
Interest Expense,25710424000.0,23924821000.0,21184719000.0,21207011000.0,18896125000.0
Interest Income,40645279000.0,38750552000.0,36614028000.0,35201643000.0,32763817000.0
Normalized Income,1950818840.0,3138637209.004935,4400010945.005993,3679511981.882314,2284012299.075308
Net Income From Continuing And Discontinued Operation,1928066000.0,3108800000.0,3058779000.0,3637202000.0,3617479000.0
Diluted NI Availto Com Stockholders,1928066000.0,3108800000.0,-3817967000.0,3637202000.0,3617479000.0
Net Income Common Stockholders,1928066000.0,3108800000.0,-3817967000.0,3637202000.0,3617479000.0
Net Income,1928066000.0,3108800000.0,3058779000.0,3637202000.0,3617479000.0
Minority Interests,-59866000.0,-42783000.0,-11084000.0,-12342000.0,-15949000.0
Net Income Including Noncontrolling Interests,1987932000.0,3151583000.0,3069863000.0,3649544000.0,3633428000.0
Net Income Continuous Operations,1987932000.0,3151583000.0,3069863000.0,3649544000.0,3633428000.0
Tax Provision,-3004000.0,1468284000.0,1047622000.0,1734808000.0,1638057000.0
Pretax Income,1984928000.0,4619867000.0,4117485000.0,5384352000.0,5271485000.0
Special Income Charges,-34474000.0,-43738000.0,-1798941000.0,-62422000.0,1934633000.0
Other Special Charges,-52361000.0,-47389000.0,1737137000.0,-53781000.0,-1961389000.0
Write Off,68602000.0,91127000.0,16421000.0,112689000.0,26756000.0
Impairment Of Capital Assets,18233000.0,,45383000.0,3514000.0,0.0
Gain On Sale Of Security,-8812669000.0,-4741688000.0,-7575742000.0,-5093221000.0,-9814921000.0
Depreciation Amortization Depletion Income Statement,621318000.0,703335000.0,691511000.0,689003000.0,668717000.0
Depreciation And Amortization In Income Statement,621318000.0,703335000.0,691511000.0,689003000.0,668717000.0
Amortization,375120000.0,372449000.0,323040000.0,298385000.0,264721000.0
Amortization Of Intangibles Income Statement,375120000.0,372449000.0,323040000.0,298385000.0,264721000.0
Depreciation Income Statement,246198000.0,330886000.0,368471000.0,390618000.0,403996000.0
Selling General And Administration,4958563000.0,5031978000.0,4566408000.0,4816678000.0,4757705000.0
Selling And Marketing Expense,114202000.0,119257000.0,176199000.0,98202000.0,121208000.0
General And Administrative Expense,4844361000.0,4912721000.0,4390209000.0,4718476000.0,4636497000.0
Other Gand A,1901093000.0,1894301000.0,830912000.0,1838181000.0,1769803000.0
Insurance And Claims,7474000.0,6065000.0,621934000.0,7293000.0,5878000.0
Salaries And Wages,2935794000.0,3012355000.0,2937363000.0,2873002000.0,2860816000.0
Total Revenue,8857624000.0,12017689000.0,14152694000.0,12487861000.0,10350037000.0
Operating Revenue,8857624000.0,12017689000.0,14152694000.0,12487861000.0,10350037000.0
Occupancy And Equipment,235517000.0,176590000.0,,217392000.0,220262000.0
Other Non Interest Expense,150155000.0,234399000.0,730050000.0,237147000.0,121567000.0
