fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,USD,137806000000,68642000000,16513000000,16513000000,12392000000,4576000000,69164000000,56186000000,None,135000000,135000000,257000000,None,None,27546000000,7615000000,None,54941000000,31714000000,13371000000,None,None,1640000000,23227000000,6566000000,6584000000,1569000000,None,8376000000,13279000000,1339000000,82137000000,None,39003000000,3000000,3539000000
2024-12-31,USD,122070000000,58360000000,16139000000,16139000000,12017000000,4418000000,63716000000,51501000000,None,1226000000,1226000000,244000000,None,None,20424000000,5362000000,None,48390000000,28821000000,12474000000,None,None,3263000000,19569000000,5745000000,5535000000,2343000000,None,13623000000,7556000000,1093000000,72913000000,None,35209000000,3000000,3498000000
2023-12-31,USD,106618000000,49616000000,16398000000,16398000000,13626000000,3508000000,57003000000,45123000000,None,362000000,362000000,253000000,None,None,12696000000,3388000000,None,43009000000,28748000000,14431000000,None,None,3045000000,14261000000,4916000000,2682000000,1975000000,None,9573000000,6328000000,876000000,62634000000,None,27882000000,3000000,3482750000
2022-12-31,USD,82338000000,40917000000,16253000000,16253000000,12839000000,2952000000,41421000000,36635000000,None,399000000,399000000,194000000,None,None,5932000000,2941000000,None,36440000000,26709000000,15255000000,None,None,1987000000,9731000000,3703000000,1029000000,1016000000,None,5748000000,5422000000,553000000,44704000000,None,12885000000,3000000,3475000000
2021-12-31,USD,62131000000,27100000000,17576000000,17576000000,5757000000,1913000000,35031000000,31176000000,None,1517000000,1517000000,200000000,None,None,131000000,1723000000,None,31116000000,19705000000,10025000000,None,None,1589000000,11411000000,3531000000,4254000000,1088000000,None,8873000000,5719000000,10843000000,30189000000,None,331000000,1000000,3100522833
2020-12-31,USD,52148000000,26717000000,19384000000,19384000000,4101000000,1886000000,25434000000,12747000000,None,313000000,313000000,207000000,None,None,0,1346000000,None,28469000000,14248000000,6051000000,None,None,2418000000,14221000000,1540000000,9607000000,2132000000,None,13279000000,2792000000,14170000000,22225000000,None,-5399000000,1000000,3249000000
2019-12-31,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,22203000000,20199000000,None,339000000,339000000,198000000,None,1000000,671000000,959000000,None,26199000000,10667000000,3771000000,None,None,2013000000,15532000000,1050000000,11634000000,1785000000,None,14603000000,2383000000,408000000,6618000000,None,-6083000000,1000000,2655000000
2018-12-31,USD,29740000000,8307000000,3686000000,3686000000,3113000000,949000000,21435000000,19691000000,None,282000000,282000000,68000000,None,421548000,807767000,559000000,None,23427000000,9993000000,3404451000,None,None,2712000000,13434000000,1855900000,9403672000,2567699000,None,13828000000,2104886000,636409000,4923000000,None,-5318000000,173000,2559000000
2017-12-31,USD,28655372000,6570520000,3367914000,3367914000,2263537000,515381000,22084948000,20491616000,None,361502000,361502000,60237000,None,456652000,155323000,423688000,None,23023050000,7674670000,2390250000,None,None,978777000,15348380000,1801010000,9418389000,896549000,None,12130863000,2250664000,2695386000,4237242000,0,-4974299000,169000,2486370000
2016-12-31,USD,22664076000,6259796000,3393216000,3393216000,2067454000,499142000,16400700000,15036917000,None,376145000,376145000,0,None,506302000,105519000,299984000,None,16758951000,5827005000,1860341000,None,None,1262993000,10931946000,1459684000,5978284000,1150147000,None,8801990000,1787648000,2507395000,4752911000,0,-2997237000,161000,2163180000
