fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2025-12-31,USD,137806000000,68642000000,16513000000,16513000000,12392000000,4576000000,69164000000,56186000000,None,135000000,135000000,257000000,None,None,27546000000,7615000000,None,54941000000,31714000000,13371000000,None,None,1640000000,23227000000,6566000000,6584000000,1569000000,None,8376000000,13279000000,1339000000,82137000000,None,39003000000,3000000,3539000000
2025-09-30,USD,133735000000,64653000000,18877000000,18877000000,12276000000,4703000000,69082000000,54882000000,None,131000000,131000000,257000000,None,1315000000,23358000000,5439000000,None,53019000000,31290000000,12819000000,None,None,2845000000,21729000000,6327000000,5609000000,1852000000,None,18953000000,11870000000,1275000000,79970000000,None,38163000000,3000000,3526000000
2025-06-30,USD,128567000000,61133000000,15587000000,15587000000,14570000000,3838000000,67434000000,54225000000,None,138000000,138000000,258000000,None,1235000000,21195000000,5943000000,None,50495000000,30008000000,13212000000,None,None,2932000000,20487000000,6178000000,4994000000,1962000000,None,13134000000,9215000000,1235000000,77314000000,None,36790000000,3000000,3519000000
2025-03-31,USD,125111000000,59389000000,16352000000,16352000000,13706000000,3782000000,65722000000,52750000000,None,144000000,144000000,248000000,None,951000000,20644000000,4905000000,None,49693000000,29753000000,13471000000,None,None,3079000000,19940000000,5884000000,5080000000,2164000000,None,13128000000,7771000000,1120000000,74653000000,None,35618000000,3000000,3521000000
2024-12-31,USD,122070000000,58360000000,16139000000,16139000000,12017000000,4418000000,63716000000,51501000000,None,1226000000,1226000000,244000000,None,None,20424000000,5362000000,None,48390000000,28821000000,12474000000,None,None,3263000000,19569000000,5745000000,5535000000,2343000000,None,13623000000,7556000000,1093000000,72913000000,None,35209000000,3000000,3517000000
2024-09-30,USD,119852000000,56379000000,18111000000,18111000000,14530000000,3313000000,63473000000,51403000000,None,158000000,158000000,253000000,None,184000000,15537000000,4888000000,None,49142000000,30577000000,14654000000,None,None,3088000000,18565000000,5393000000,5275000000,2115000000,None,12783000000,7545000000,996000000,70710000000,None,32656000000,3000000,3497000000
2024-06-30,USD,112832000000,52977000000,15009000000,15009000000,14195000000,3737000000,59855000000,32902000000,None,164000000,164000000,249000000,None,184000000,16085000000,3951000000,None,45569000000,27729000000,13056000000,None,None,3012000000,17840000000,5153000000,5338000000,2024000000,None,12515000000,8868000000,898000000,67263000000,None,30489000000,3000000,3481000000
2024-03-31,USD,109226000000,50535000000,11805000000,11805000000,16033000000,3887000000,58691000000,31436000000,None,171000000,171000000,250000000,None,184000000,15058000000,3752000000,None,44046000000,29453000000,14725000000,None,None,3165000000,14593000000,5037000000,2739000000,2135000000,None,9911000000,8539000000,885000000,65180000000,None,29011000000,3000000,3484000000
2023-12-31,USD,106618000000,49616000000,16398000000,16398000000,13626000000,3508000000,57002000000,29725000000,None,178000000,178000000,253000000,None,None,12696000000,3388000000,None,43009000000,28748000000,14431000000,None,None,2373000000,14261000000,4916000000,2682000000,1975000000,None,5230000000,9080000000,876000000,63609000000,None,27882000000,3000000,3492000000
2023-09-30,USD,93941000000,45026000000,15932000000,15932000000,13721000000,2520000000,48915000000,42793000000,None,191000000,191000000,250000000,None,None,10145000000,2708000000,None,39446000000,26640000000,13937000000,None,None,1967000000,12806000000,4483000000,2426000000,1967000000,None,4393000000,7636000000,7321000000,54495000000,None,19954000000,3000000,3493000000
2023-06-30,USD,90591000000,43875000000,15296000000,15296000000,14356000000,3447000000,46716000000,41041000000,None,202000000,202000000,263000000,None,None,7779000000,2997000000,None,38409000000,27592000000,15273000000,None,None,1459000000,10817000000,4292000000,872000000,1459000000,None,2331000000,7658000000,6924000000,52182000000,None,18101000000,3000000,3478000000
2023-03-31,USD,86833000000,42997000000,16048000000,16048000000,14375000000,2993000000,43836000000,24969000000,None,204000000,204000000,195000000,None,None,6354000000,3227000000,None,37598000000,27436000000,15904000000,None,None,1404000000,10162000000,3822000000,1272000000,1404000000,None,2676000000,7321000000,10162000000,49235000000,None,15398000000,3000000,3468000000
2022-12-31,USD,82338000000,40917000000,16253000000,16253000000,12839000000,2952000000,41421000000,36635000000,None,215000000,215000000,194000000,None,None,5932000000,2941000000,None,36440000000,26709000000,15255000000,None,None,1502000000,9731000000,3703000000,1029000000,1016000000,None,3099000000,7142000000,553000000,45898000000,None,12885000000,3000000,3471000000
2022-09-30,USD,74426000000,35990000000,19532000000,19532000000,10327000000,2192000000,38436000000,35548000000,None,228000000,228000000,191000000,None,None,1575000000,2364000000,None,33302000000,24611000000,13897000000,None,None,1883000000,8691000000,3477000000,2096000000,979000000,None,5874000000,5820000000,427000000,41124000000,None,9198000000,3000000,3468000000
2022-06-30,USD,68513000000,31222000000,18324000000,18324000000,8108000000,2081000000,37291000000,21093000000,None,241000000,241000000,196000000,None,None,591000000,2118000000,None,30855000000,21821000000,11212000000,None,None,1945000000,9034000000,3513000000,2095000000,1057000000,None,6665000000,5624000000,9034000000,37658000000,None,5908000000,1000000,3464999930
2022-03-31,USD,66038000000,29050000000,17505000000,17505000000,6691000000,2311000000,36988000000,20027000000,None,254000000,254000000,200000000,None,None,508000000,2035000000,None,30632000000,21455000000,11171000000,None,None,2058000000,9177000000,3604000000,2253000000,1168000000,None,7025000000,5507000000,9177000000,35406000000,None,3649000000,1000000,3470999930
2021-12-31,USD,62131000000,27100000000,17576000000,17576000000,5757000000,1913000000,35031000000,31176000000,None,1517000000,1517000000,200000000,None,None,131000000,1723000000,None,31116000000,19705000000,10025000000,None,None,1589000000,11411000000,3531000000,4254000000,1088000000,None,6834000000,5719000000,10843000000,31015000000,None,331000000,1000000,3100522833
2021-09-30,USD,57834000000,25002000000,16065000000,16065000000,5199000000,1962000000,32832000000,29248000000,None,269000000,269000000,201000000,None,1260000000,30000000,1746000000,None,29340000000,18051000000,8260000000,None,None,1716000000,11289000000,3480000000,6438000000,1716000000,None,8154000000,5443000000,3486000000,28494000000,None,-1990000000,1000000,3368999932
2021-06-30,USD,55146000000,24693000000,16229000000,16229000000,4733000000,2129000000,30453000000,15665000000,None,283000000,283000000,203000000,None,1311000000,None,1602000000,None,28896000000,16371000000,7558000000,None,None,1855000000,12525000000,3173000000,6878000000,1082000000,None,11133000000,4453000000,12525000000,26250000000,None,-3608000000,1000000,3356999932
2021-03-31,USD,52972000000,24705000000,17141000000,17141000000,4132000000,1890000000,28267000000,13868000000,None,299000000,299000000,206000000,None,1331000000,None,1542000000,None,28507000000,14877000000,6648000000,None,None,2128000000,13630000000,3077000000,8019000000,1415000000,None,12511000000,3764000000,395000000,24465000000,None,-4750000000,1000000,3399000000
2020-12-31,USD,52148000000,26717000000,19384000000,19384000000,4101000000,1886000000,25431000000,12747000000,None,313000000,313000000,207000000,None,None,None,1346000000,None,28469000000,14248000000,6051000000,None,None,2132000000,14221000000,1540000000,9607000000,2132000000,None,11739000000,3855000000,14170000000,23679000000,None,-5399000000,1000000,3372000000
2020-09-30,USD,45691000000,21744000000,14531000000,14531000000,4218000000,1757000000,23947000000,11848000000,None,318000000,318000000,203000000,None,None,None,1238000000,None,28191000000,13302000000,4958000000,None,None,3425000000,14889000000,2921000000,9476000000,2766000000,None,15163000000,2953000000,14841000000,17500000000,None,-5669000000,1000000,3315000000
2020-06-30,USD,38135000000,15336000000,8615000000,8615000000,4018000000,1485000000,22799000000,11009000000,None,312000000,312000000,196000000,None,None,None,1218000000,None,26798000000,12270000000,3638000000,None,None,3679000000,14528000000,2869000000,9291000000,3317000000,None,14139000000,3110000000,14484000000,11337000000,None,-6000000000,186000,3108000000
2020-03-31,USD,37250000000,14893000000,8080000000,8080000000,4494000000,1274000000,22357000000,10638000000,None,323000000,323000000,193000000,None,None,None,1045000000,None,26578000000,11986000000,3970000000,None,None,3499000000,14592000000,2810000000,9539000000,2851000000,None,15200000000,2543000000,14532000000,10672000000,None,-6104000000,185000,2982000000
2019-12-31,USD,34309000000,12103000000,6268000000,6268000000,3552000000,1324000000,22206000000,20199000000,None,339000000,339000000,198000000,None,1000000,None,959000000,None,26199000000,10667000000,3771000000,None,None,1785000000,15532000000,1050000000,11634000000,1785000000,None,13419000000,3222000000,408000000,8110000000,None,-6083000000,1000000,2805000000
2019-09-30,USD,32795000000,10940000000,5338000000,5338000000,3581000000,1128000000,21855000000,19845000000,None,351000000,351000000,186000000,None,398000000,None,660000000,None,25313000000,10146000000,3468000000,None,None,2030000000,15167000000,1070000000,11313000000,2030000000,None,14413000000,2938000000,405000000,7482000000,None,-6188000000,180000,2766000000
2019-06-30,USD,31872597000,10181952000,4954740000,4954740000,3382358000,1147100000,21690645000,10082458000,None,327358000,327358000,153475000,None,400308000,None,569748000,None,24722136000,9588773000,3133587000,None,None,1791085000,15133363000,1075346000,11234401000,1791085000,None,13025486000,3149701000,410565000,7150461000,None,-6331639000,179000,2655000000
2019-03-31,USD,28912524000,7677822000,2198169000,2198169000,3836850000,1046945000,21234702000,9850929000,None,273568000,273568000,74312000,None,413181000,None,464908000,None,22874618000,9242800000,3248827000,None,None,1705711000,13631818000,1000886000,9787950000,1705711000,None,11493661000,2757176000,13631818000,6037906000,None,-5923305000,174000,2595000000
