fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-12-31,USD,14747000000,None,None,None,None,6148000000,8527000000,None,-630000000,None,-15478000000,1139000000,None,None,None,None,None,None,None,None,None,None,1186000000,None,None,None,3794000000
2024-12-31,USD,14923000000,None,None,None,None,5368000000,11342000000,None,937000000,None,-18787000000,3853000000,None,None,None,None,None,None,None,None,None,None,1241000000,None,None,None,7130000000
2023-12-31,USD,13256000000,None,None,None,None,4667000000,8899000000,None,-1195000000,None,-15584000000,2589000000,None,None,None,None,None,None,None,None,None,None,700000000,None,None,None,14999000000
2022-12-31,USD,14724000000,None,None,None,None,3543000000,7172000000,None,-6465000000,None,-11973000000,-3527000000,None,None,None,None,None,None,None,None,None,None,541000000,None,None,None,12583000000
2021-12-31,USD,11497000000,None,None,None,None,2911000000,8014000000,130000000,-1709000000,None,-7868000000,-5203000000,None,None,None,None,None,None,None,None,None,None,548000000,None,-1574000000,None,5519000000
2020-12-31,USD,5943000000,None,None,None,None,2322000000,3242000000,-652000000,-422000000,None,-3132000000,9973000000,None,None,None,None,None,None,None,None,None,None,12502000000,None,12784000000,None,690000000
2019-12-31,USD,2405000000,None,None,None,None,2154000000,1437000000,None,-429000000,None,-1436000000,1529000000,None,None,None,None,None,None,None,None,None,None,1285000000,None,None,None,-775000000
2018-12-31,USD,2098000000,None,None,None,None,1901050000,2319000000,-496732000,-1023000000,None,-2337000000,574000000,None,None,None,None,None,None,None,None,None,None,505541000,None,334129000,None,-1062582000
2017-12-31,USD,-61000000,None,None,None,None,1636000000,4081354000,-24635000,-179000000,None,-4196000000,4415000000,None,None,None,None,None,None,None,None,None,None,1009649000,None,-25302000,39455000,-2241000000
2016-12-31,USD,-123829000,None,None,None,None,947099000,1440471000,-213097000,-632867000,None,-1081085000,3743976000,None,None,None,None,None,None,None,None,None,None,2045828000,None,2196308000,-7409000,-773046000
2015-12-31,USD,-524499000,None,None,None,None,422590000,1634850000,46267000,-1573860000,None,-1673551000,1523523000,None,None,None,None,0,0,None,None,None,None,839586000,None,-708805000,-34278000,-888663000
2014-12-31,USD,-57337000,None,None,None,None,231931000,969885000,-183658000,-1050264000,None,-990444000,2143130000,None,None,None,None,0,0,None,None,None,None,454466000,None,1059824000,-35525000,-294040000
2013-12-31,USD,264804000,None,None,None,None,120784000,264224000,-21917000,-460561000,None,-249417000,635422000,None,None,None,None,0,0,None,None,None,None,253724000,None,643999000,None,-74014000
2012-12-31,USD,-263815000,None,None,None,None,28825000,239228000,-17303000,4929000,None,-206930000,419635000,None,None,None,None,0,0,None,None,None,None,24885000,None,-53376000,None,-396213000
2011-12-31,USD,-114364000,None,None,None,None,16919000,197896000,-2829000,-13638000,None,-175928000,446000000,None,None,None,None,0,0,None,None,None,None,69583000,None,155708000,None,-254411000
2010-12-31,USD,-127817000,None,None,None,None,10623000,40203000,None,-20115000,None,-180297000,338045000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-154328000
2009-12-31,USD,-80825000,None,None,None,None,6940000,11884000,None,-7925000,None,-14244000,155419000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-55740000
2008-12-31,USD,-52412000,None,None,None,None,4157000,10630000,None,-18839000,None,-11590000,56068000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-82782000
2007-12-31,USD,-53469000,None,None,None,None,2895000,9802000,None,-2108000,None,-9762000,45041000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-78157000
2006-12-31,None,-3428000,None,None,None,None,615000,6505000,None,None,None,-6805000,39807000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-29957000
