fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome
2025-12-31,USD,3813000000,None,None,None,None,1643000000,2393000000,None,-214000000,None,-6528000000,710000000,None,None,None,None,None,None,None,None,None,None,1186000000,None,None,None,840000000
2025-09-30,USD,6238000000,None,None,None,None,1625000000,2248000000,None,1991000000,None,-4355000000,983000000,None,None,None,None,None,None,None,None,None,None,1040000000,None,None,None,1373000000
2025-06-30,USD,2540000000,None,None,None,None,1433000000,2394000000,None,-703000000,None,-2944000000,-222000000,None,None,None,None,None,None,None,None,None,None,528000000,None,None,None,1172000000
2025-03-31,USD,2156000000,None,None,None,None,1447000000,1492000000,None,-1704000000,None,-1651000000,-332000000,None,None,None,None,None,None,None,None,None,None,313000000,None,None,None,409000000
2024-12-31,USD,4814000000,None,None,None,None,1496000000,2780000000,None,2044000000,None,-7603000000,985000000,None,None,None,None,None,None,None,None,None,None,1241000000,None,None,None,2332000000
2024-09-30,USD,6255000000,None,None,None,None,1348000000,3513000000,None,-193000000,None,-2875000000,132000000,None,None,None,None,None,None,None,None,None,None,788000000,None,None,None,2172000000
2024-06-30,USD,3612000000,None,None,None,None,1278000000,2272000000,None,1783000000,None,-3225000000,2540000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1416000000
2024-03-31,USD,242000000,None,None,None,None,1246000000,2777000000,None,-2697000000,None,-5084000000,196000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1129000000
2023-12-31,USD,4370000000,None,None,None,None,1232000000,2307000000,None,758000000,None,-4804000000,887000000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,7943000000
2023-09-30,USD,3308000000,None,None,None,None,1235000000,2459000000,None,163000000,None,-4762000000,2263000000,None,None,None,None,None,None,None,None,None,None,548000000,None,None,None,1878000000
2023-06-30,USD,3065000000,None,None,None,None,1154000000,2060000000,None,-576000000,None,-3534000000,-328000000,None,None,None,None,None,None,None,None,None,None,294000000,None,None,None,2614000000
2023-03-31,USD,2513000000,None,None,None,None,1046000000,2073000000,-32000000,-1540000000,None,-2484000000,-233000000,None,None,None,None,None,None,None,None,None,None,195000000,None,-204000000,None,2513000000
2022-12-31,USD,3278000000,None,None,None,None,989000000,1858000000,None,-1973000000,None,-6131000000,-495000000,None,None,None,None,None,None,None,None,None,None,541000000,None,None,None,3687000000
2022-09-30,USD,5100000000,None,None,None,None,956000000,1803000000,-193000000,-2300000000,None,-2791000000,-712000000,None,None,None,None,None,None,None,None,None,None,187000000,None,1597000000,None,3292000000
2022-06-30,USD,2351000000,None,None,None,None,922000000,1730000000,176000000,-1559000000,None,-884000000,-406000000,None,None,None,None,None,None,None,None,None,None,9000000,None,1061000000,None,2256000000
2022-03-31,USD,3995000000,None,None,None,None,880000000,1781000000,-409000000,-633000000,None,-2167000000,-1914000000,None,None,None,None,None,None,None,None,None,None,160000000,None,-86000000,None,3280000000
2021-12-31,USD,4585000000,None,None,None,None,848000000,1814000000,278000000,-534000000,None,-1916000000,-1257000000,None,None,None,None,None,None,None,None,None,None,209000000,None,1412000000,None,2343000000
2021-09-30,USD,3147000000,None,None,None,None,761000000,1825000000,135000000,-488000000,None,-1855000000,-1381000000,None,None,None,None,None,None,None,None,None,None,149000000,None,-89000000,None,1618000000
2021-06-30,USD,2124000000,None,None,None,None,681000000,1515000000,-307000000,-155000000,None,-1515000000,-1549000000,None,None,None,None,None,None,None,None,None,None,39000000,None,-940000000,None,1142000000
2021-03-31,USD,1641000000,None,None,None,None,621000000,2860000000,24000000,-106000000,None,-2582000000,-1016000000,None,None,None,None,None,None,None,None,None,None,151000000,None,-1957000000,None,464000000
2020-12-31,USD,3019000000,None,None,None,None,618000000,1169000000,-102000000,180000000,None,-1047000000,2692000000,None,None,None,None,None,None,None,None,None,None,4999000000,None,4664000000,None,296000000
2020-09-30,USD,2400000000,None,None,None,None,584000000,1026000000,-314000000,-67000000,None,-1039000000,4450000000,None,None,None,None,None,None,None,None,None,None,5068000000,None,5811000000,None,300000000
2020-06-30,USD,964000000,None,None,None,None,567000000,566000000,-222000000,313000000,None,-566000000,123000000,None,None,None,None,None,None,None,None,None,None,14000000,None,521000000,None,104000000
2020-03-31,USD,-440000000,None,None,None,None,553000000,481000000,-14000000,-1178000000,None,-480000000,2708000000,None,None,None,None,None,None,None,None,None,None,2421000000,None,1788000000,None,16000000
2019-12-31,USD,1425000000,None,None,None,None,577000000,449000000,None,56000000,None,-403000000,-79000000,None,None,None,None,None,None,None,None,None,None,1285000000,None,None,None,132000000
2019-09-30,USD,756000000,None,None,None,None,530000000,410000000,18312000,-133000000,None,-486000000,118000000,None,None,None,None,None,None,None,None,None,None,72644000,None,388566000,None,143000000
2019-06-30,USD,864000000,None,None,None,None,559000000,273000000,-68672000,457000000,None,-241000000,2143000000,None,None,None,None,63502000,63502000,None,None,None,None,1018839000,None,2764902000,None,-408334000
2019-03-31,USD,-640000000,None,None,None,None,467577000,305193000,-99640000,-796140000,None,-305843000,-653000000,None,None,None,None,85257000,85257000,None,None,None,None,39517000,None,-1598468000,None,-668000000
2018-12-31,USD,1234561000,None,None,None,None,496737000,353901000,189371000,87347000,None,-365009000,-112309000,None,None,None,None,None,None,None,None,None,None,97815000,None,757243000,None,210078000
2018-09-30,USD,1391040000,None,None,None,None,502825000,559150000,-587594000,-55055000,None,-560546000,-84282000,None,None,None,None,None,None,None,None,None,None,139163000,None,746098000,None,311516000
2018-06-30,USD,-129664000,None,None,None,None,485255000,677213000,70633000,-733475000,None,-682817000,398622000,None,None,None,None,None,None,None,None,None,None,153783000,None,-413859000,None,-742706000
2018-03-31,USD,-398376000,None,None,None,None,416233000,728637000,-169142000,-322081000,None,-728637000,371660000,None,None,None,None,None,None,None,None,None,None,114780000,None,-755353000,None,-784627000
2017-12-31,USD,509891000,None,None,None,None,469606000,906143000,81008000,240120000,None,-961876000,285842000,None,None,None,None,None,None,None,None,None,None,-155117000,None,-162116000,4027000,-770807000
2017-09-30,USD,-300562000,None,None,None,None,393832000,1244727000,-182686000,702185000,None,-1244727000,2101506000,None,None,None,None,None,None,None,None,None,None,110713000,None,494106000,8094000,-671163000
2017-06-30,USD,-200172000,None,None,None,None,389171000,1157912000,-14498000,-269188000,None,-1157912000,428767000,None,None,None,None,None,None,None,None,None,None,274666000,None,-970669000,15952000,-401427000
2017-03-31,USD,-69811000,None,None,None,None,376602000,772572000,91541000,26918000,None,-881719000,1598749000,None,None,None,None,None,None,None,None,None,None,588672000,None,613377000,11382000,-397181000
2016-12-31,USD,-448209000,None,None,None,None,326939000,681281000,-102587000,-287536000,None,-594751000,1372827000,None,None,None,None,None,None,None,None,None,None,190633000,None,308959000,-20908000,-219469000
