date,horizon,eps_estimate_average,eps_estimate_high,eps_estimate_low,eps_estimate_analyst_count,eps_estimate_average_7_days_ago,eps_estimate_average_30_days_ago,eps_estimate_average_60_days_ago,eps_estimate_average_90_days_ago,eps_estimate_revision_up_trailing_7_days,eps_estimate_revision_down_trailing_7_days,eps_estimate_revision_up_trailing_30_days,eps_estimate_revision_down_trailing_30_days,revenue_estimate_average,revenue_estimate_high,revenue_estimate_low,revenue_estimate_analyst_count
2027-12-31,next fiscal year,2.8864,6.0200,1.4924,32.0000,2.9821,3.1310,3.2790,3.2660,2.0000,,3.0000,9.0000,122806354170.00,169193000000.00,99741000000.00,41.00
2026-12-31,historical fiscal year,2.0913,2.7500,1.2122,33.0000,2.1707,2.2148,2.2545,2.2386,6.0000,,5.0000,14.0000,103350434840.00,111600000000.00,92982000000.00,40.00
2026-06-30,next fiscal quarter,0.4634,0.6100,0.2400,21.0000,0.4830,0.5041,0.5121,0.5121,4.0000,,2.0000,6.0000,24799355380.00,26641400000.00,22623020040.00,20.00
2026-03-31,historical fiscal quarter,0.4105,0.5400,0.2500,22.0000,0.4111,0.4383,0.4461,0.4461,8.0000,,4.0000,4.0000,23098503220.00,24475000000.00,20282039790.00,20.00
2025-12-31,historical fiscal year,1.6351,2.0300,1.1485,33.0000,1.6324,1.6377,1.6412,1.6463,1.0000,,9.0000,7.0000,94666520000.00,99027000000.00,87335000000.00,44.00
2025-09-30,historical fiscal quarter,0.5577,0.7100,0.3600,26.0000,0.5434,0.4938,0.4852,0.4875,4.0000,,13.0000,2.0000,26703562910.00,28795000000.00,23864000000.00,28.00
2025-06-30,historical fiscal quarter,0.4045,0.7300,0.2000,27.0000,0.4071,0.4503,0.4614,0.4829,2.0000,,3.0000,14.0000,22125595180.00,25424000000.00,19882000000.00,27.00
2025-03-31,historical fiscal quarter,0.4200,0.7000,0.2000,28.0000,0.4331,0.4726,0.5212,0.7060,0.0000,,0.0000,14.0000,21413125040.00,27069000000.00,18587000000.00,27.00
2024-12-31,historical fiscal year,2.4813,2.8300,2.1700,38.0000,2.4776,2.4853,2.4785,2.4861,1.0000,,7.0000,12.0000,99535336860.00,107979000000.00,97383000000.00,48.00
2024-09-30,historical fiscal quarter,0.5800,0.7000,0.4100,28.0000,0.5800,0.6000,0.6100,0.6300,1.0000,,8.0000,0.0000,25373000000.00,26853800000.00,23782000000.00,26.00
2024-06-30,historical fiscal quarter,0.6200,0.8700,0.4200,29.0000,0.6200,0.5900,0.5500,0.6300,0.0000,,14.0000,1.0000,24772800000.00,28396400000.00,23350000000.00,27.00
2024-03-31,historical fiscal quarter,0.4800,0.8200,0.1900,26.0000,0.5300,0.5800,0.6800,0.7700,0.0000,,0.0000,1.0000,20782700000.00,24608200000.00,17624800000.00,24.00
2023-12-31,historical fiscal year,3.1500,3.6000,2.5400,34.0000,3.1500,2.8500,2.8900,3.1600,4.0000,,11.0000,1.0000,97406800000.00,99185200000.00,95059200000.00,41.00
2023-09-30,historical fiscal quarter,0.7200,1.0200,0.6000,26.0000,0.7400,0.8000,0.8100,0.8800,0.0000,,1.0000,5.0000,24097000000.00,26000000000.00,23161800000.00,25.00
2023-06-30,historical fiscal quarter,0.8200,0.9300,0.6400,24.0000,0.8200,0.7900,0.7800,0.9100,4.0000,,15.0000,1.0000,24477100000.00,26376200000.00,22301800000.00,20.00
