contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
TSLA260204C00350000,TSLA,2026-02-04,350.00,call,58.83,56.33,53.20,18,59.45,18,2,1,2026-02-04,1.45875,0.97635,0.00180,-0.89851,0.01185,0.00932
TSLA260204P00350000,TSLA,2026-02-04,350.00,put,0.01,0.01,0.00,0,0.21,225,265,442,2026-02-04,0.97095,-0.00160,0.00025,-0.05327,0.00110,-0.00002
TSLA260204C00355000,TSLA,2026-02-04,355.00,call,52.85,51.00,50.00,18,52.00,18,4,0,2026-02-04,0.01488,1.00000,0.00000,-0.03540,0.00000,0.00973
TSLA260204P00355000,TSLA,2026-02-04,355.00,put,0.01,0.01,0.00,0,0.01,20,50,316,2026-02-04,0.89291,-0.00188,0.00032,-0.05670,0.00127,-0.00002
TSLA260204C00360000,TSLA,2026-02-04,360.00,call,47.25,45.88,45.60,18,46.15,16,14,0,2026-02-04,0.01488,1.00000,0.00000,-0.03590,0.00000,0.00986
TSLA260204P00360000,TSLA,2026-02-04,360.00,put,0.01,0.01,0.00,0,0.13,1,24,715,2026-02-04,0.80510,-0.00200,0.00037,-0.05426,0.00135,-0.00002
TSLA260204C00365000,TSLA,2026-02-04,365.00,call,34.70,40.85,40.60,6,41.10,18,1,0,2026-02-04,0.01488,1.00000,0.00000,-0.03640,0.00000,0.01000
TSLA260204P00365000,TSLA,2026-02-04,365.00,put,0.01,0.01,0.00,0,0.13,152,172,728,2026-02-04,0.71730,-0.00214,0.00044,-0.05119,0.00143,-0.00002
TSLA260204C00367500,TSLA,2026-02-04,367.50,call,40.80,38.35,38.10,15,38.60,18,2,4,2026-02-04,0.01488,1.00000,0.00000,-0.03665,0.00000,0.01007
TSLA260204P00367500,TSLA,2026-02-04,367.50,put,0.01,0.01,0.00,0,0.01,23,519,777,2026-02-04,0.67828,-0.00235,0.00051,-0.05270,0.00156,-0.00003
TSLA260204C00370000,TSLA,2026-02-04,370.00,call,37.65,35.85,35.60,18,36.10,18,80,3,2026-02-04,0.01488,1.00000,0.00000,-0.03689,0.00000,0.01014
TSLA260204P00370000,TSLA,2026-02-04,370.00,put,0.01,0.01,0.00,0,0.01,1,415,785,2026-02-04,0.63925,-0.00259,0.00059,-0.05436,0.00170,-0.00003
TSLA260204C00372500,TSLA,2026-02-04,372.50,call,54.38,33.38,33.10,18,33.65,18,0,1,2026-02-04,0.01488,1.00000,0.00000,-0.03714,0.00000,0.01020
TSLA260204P00372500,TSLA,2026-02-04,372.50,put,0.01,0.01,0.00,0,0.01,2,547,636,2026-02-04,0.59047,-0.00251,0.00062,-0.04876,0.00166,-0.00003
