fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-12-31,USD,17094000000,94827000000,77733000000,77733000000,4355000000,5834000000,6411000000,12739000000,None,1342000000,1680000000,338000000,None,None,None,6148000000,5278000000,1423000000,None,3855000000,None,5616000000,11764000000,3794000000
2024-12-31,USD,17450000000,97690000000,80240000000,80240000000,7076000000,5150000000,4540000000,10374000000,None,1219000000,1569000000,350000000,None,None,None,5368000000,8990000000,1837000000,None,7153000000,None,9340000000,14708000000,7130000000
2023-12-31,USD,17660000000,96773000000,79113000000,79113000000,8891000000,4800000000,3969000000,8769000000,None,910000000,1066000000,156000000,None,None,None,4667000000,9973000000,-5001000000,None,14974000000,None,10129000000,14796000000,14974000000
2022-12-31,USD,20853000000,81462000000,60609000000,60609000000,13656000000,3946000000,3075000000,7021000000,None,106000000,41000000,191000000,None,None,None,3543000000,13719000000,1132000000,None,12587000000,None,14290000000,17833000000,12587000000
2021-12-31,USD,13606000000,53823000000,40217000000,40217000000,6687000000,4517000000,2593000000,7110000000,None,-315000000,56000000,371000000,None,191000000,None,2911000000,6343000000,699000000,None,5644000000,None,6687000000,9598000000,5644000000
2020-12-31,USD,6630000000,31536000000,24906000000,24906000000,1994000000,3145000000,1491000000,4636000000,None,-718000000,30000000,748000000,None,None,None,2322000000,1154000000,292000000,None,862000000,None,1902000000,4224000000,721000000
2019-12-31,USD,4069000000,24578000000,20509000000,20509000000,-69000000,2646000000,1343000000,4000000000,None,-641000000,44000000,685000000,None,None,None,2154000000,-665000000,110000000,None,-775000000,None,18000000,2172000000,-862000000
2018-12-31,USD,4042021000,21461268000,17419247000,17419247000,-388000000,2835000000,1460370000,4430000000,None,-638538000,24533000,663000000,None,None,None,1901000000,-1005000000,58000000,None,-1062582000,None,-342000000,1559000000,-976000000
2017-12-31,USD,2223000000,11759000000,9536000000,9536000000,-1632000000,2439500000,1378000000,3855000000,None,-451573000,19686000,471000000,None,None,None,1636000000,-2209000000,32000000,None,-2240578000,None,-1738000000,-102000000,-1962000000
2016-12-31,USD,1599257000,7000132000,5400875000,5400875000,-667340000,1384189000,834408000,2266597000,None,None,164180000,198810000,None,None,None,947099000,-746348000,26698000,None,None,None,-547538000,399561000,-674914000
2015-12-31,USD,923503000,4046025000,3122522000,3122522000,-716629000,863932000,717900000,1640132000,None,None,None,118851000,None,None,None,422590000,-875624000,13039000,None,None,None,-756773000,-334183000,-888663000
2014-12-31,USD,881671000,3198356000,2316685000,2316685000,-186689000,554760000,464700000,1068360000,None,None,None,100886000,None,None,None,231931000,-284636000,9404000,None,None,None,-183750000,48181000,-294040000
2013-12-31,USD,456262000,2013496000,1557234000,1557234000,-61283000,276569000,231976000,517545000,None,None,None,32934000,None,None,None,106083000,-71426000,2588000,None,None,None,-38492000,67591000,-74014000
2012-12-31,USD,30067000,413256000,383189000,383189000,-394283000,146472000,273978000,424350000,None,None,None,254000,None,None,None,28825000,-396077000,136000,None,None,None,-395823000,-366998000,-396213000
2011-12-31,USD,61595000,204242000,142647000,142647000,-251488000,104102000,208981000,313083000,None,None,None,43000,None,None,None,16919000,-253922000,489000,None,None,None,-253879000,-236960000,-254411000
2010-12-31,USD,30731000,116744000,86013000,86013000,-146838000,84573000,92996000,177569000,None,None,None,992000,None,None,None,10623000,-154155000,173000,None,None,None,-153163000,-142540000,-154328000
2009-12-31,USD,9535000,111943000,102408000,102408000,-51897000,None,19282000,61432000,None,None,None,2531000,None,None,None,6940000,-55714000,26000,None,None,None,-53183000,-46243000,-55740000
2008-12-31,USD,-1141000,14742000,15883000,15883000,-78504000,None,53714000,77363000,None,None,None,3747000,None,None,None,4157000,-82685000,97000,None,None,None,-78938000,-74781000,-82782000
2007-12-31,USD,64000,73000,9000,9000,-79933000,None,62753000,79997000,None,None,None,1749000,None,None,None,2895000,-78047000,110000,None,None,None,-78047000,-75152000,-78157000
2006-12-31,USD,-615000,None,615000,615000,-30431000,None,24995000,29816000,None,None,None,423000,None,None,None,615000,-29857000,100000,None,None,None,-29434000,-28819000,-29957000
