fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2025-12-31,USD,5009000000,24901000000,19892000000,19892000000,1409000000,1655000000,1783000000,3600000000,None,364000000,449000000,85000000,None,None,None,1643000000,1181000000,325000000,None,856000000,None,1266000000,2909000000,840000000
2025-09-30,USD,5054000000,28095000000,23041000000,23041000000,1624000000,1562000000,1630000000,3430000000,None,363000000,439000000,76000000,None,None,None,1625000000,1959000000,570000000,None,1389000000,None,2035000000,3660000000,1373000000
2025-06-30,USD,3878000000,22496000000,18618000000,18618000000,923000000,1366000000,1589000000,2955000000,None,306000000,392000000,86000000,None,None,None,1433000000,1549000000,359000000,None,1190000000,None,1635000000,3068000000,1172000000
2025-03-31,USD,3153000000,19335000000,16182000000,16182000000,399000000,1251000000,1409000000,2754000000,None,309000000,400000000,91000000,None,None,None,1447000000,589000000,169000000,None,420000000,None,680000000,2127000000,409000000
2024-12-31,USD,4179000000,25707000000,21528000000,21528000000,1583000000,1313000000,1276000000,2596000000,None,346000000,442000000,96000000,None,None,None,1496000000,2766000000,434000000,None,2332000000,None,2862000000,4358000000,2314000000
2024-09-30,USD,4997000000,25182000000,20185000000,20185000000,2717000000,1186000000,1039000000,2280000000,None,337000000,429000000,92000000,None,None,None,1348000000,2784000000,601000000,None,2183000000,None,2876000000,4224000000,2167000000
2024-06-30,USD,4578000000,25500000000,20922000000,20922000000,1605000000,1277000000,1074000000,2973000000,None,262000000,348000000,86000000,None,None,None,1278000000,1787000000,371000000,None,1494000000,None,1973000000,3251000000,1400000000
2024-03-31,USD,3696000000,21301000000,17605000000,17605000000,1171000000,1374000000,1151000000,2525000000,None,274000000,350000000,76000000,None,None,None,1246000000,1888000000,483000000,None,1144000000,None,1629000000,2875000000,1390000000
2023-12-31,USD,4438000000,25167000000,20729000000,20729000000,2064000000,1280000000,1094000000,2374000000,None,272000000,333000000,61000000,None,None,None,1232000000,2191000000,-5752000000,None,7943000000,None,2252000000,3484000000,7930000000
2023-09-30,USD,4178000000,23350000000,19172000000,19172000000,1764000000,1253000000,1161000000,2414000000,None,244000000,244000000,38000000,None,None,None,1235000000,2045000000,167000000,None,1878000000,None,2083000000,3318000000,1853000000
2023-06-30,USD,4533000000,24927000000,20394000000,20394000000,2399000000,1191000000,943000000,2134000000,None,210000000,238000000,28000000,None,566000000,None,1154000000,2937000000,323000000,None,2614000000,None,2399000000,3553000000,2703000000
2023-03-31,USD,4511000000,23329000000,18818000000,18818000000,2664000000,1076000000,771000000,1847000000,None,184000000,184000000,29000000,None,165000000,None,1046000000,2800000000,261000000,None,2539000000,None,2664000000,3710000000,2513000000
2022-12-31,USD,5777000000,24318000000,18541000000,18541000000,3901000000,4311000,810000000,1842000000,None,124000000,157000000,33000000,None,None,None,989000000,3983000000,276000000,None,3707000000,None,3901000000,4890000000,3687000000
2022-09-30,USD,5382000000,21454000000,16072000000,16072000000,3688000000,961000000,733000000,1694000000,None,33000000,33000000,53000000,None,1000000,None,956000000,3636000000,305000000,None,3331000000,None,3688000000,4644000000,3292000000
2022-06-30,USD,4234000000,16934000000,12700000000,12700000000,2464000000,961000000,667000000,1628000000,None,-18000000,26000000,44000000,None,54000000,None,922000000,2474000000,205000000,None,2269000000,None,2464000000,3386000000,2259000000
2022-03-31,USD,5460000000,18756000000,13296000000,13296000000,3603000000,992000000,865000000,1857000000,None,-33000000,28000000,61000000,None,84000000,None,880000000,3626000000,346000000,None,3280000000,None,3603000000,4483000000,3280000000
2021-12-31,USD,4847000000,17719000000,12872000000,12872000000,2567000000,1494000000,740000000,2234000000,None,-46000000,25000000,71000000,None,93000000,None,848000000,2635000000,292000000,None,2343000000,None,2706000000,3554000000,2343000000
