title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
Tesla hit with another wrongful death suit over its electronic door handles,https://www.theverge.com/transportation/874283/tesla-door-handle-wrongful-death-tremblett,20260205T140225,['Andrew J. Hawkins'],"Tesla is facing another wrongful death lawsuit concerning its electronic door handles after a 20-year-old man died in a burning Model Y, unable to escape. The lawsuit alleges negligent design and highlights that this is one of at least 15 fatalities since 2016 attributed to occupants being trapped in Teslas due to these door mechanisms. Federal regulators are investigating, and Tesla has stated they are redesigning the combined electronic and manual door release.",https://platform.theverge.com/wp-content/uploads/sites/2/2026/02/gettyimages-2245657574.jpg?quality=90&strip=all&crop=0.012500000000003%2C0%2C99.975%2C100&w=2400,The Verge,General,The Verge,"[{'topic': 'energy_transportation', 'relevance_score': '0.908653'}, {'topic': 'technology', 'relevance_score': '0.813256'}]",-0.704078,Bearish,"[{'ticker': 'TSLA', 'relevance_score': '1.000000', 'ticker_sentiment_score': '-0.737931', 'ticker_sentiment_label': 'Bearish'}]"
Cummins (NYSE:CMI) Posts Better-Than-Expected Sales In Q4 CY2025,https://finviz.com/news/301181/cummins-nyse-cmi-posts-better-than-expected-sales-in-q4-cy2025,20260205T134650,['Kayode Omotosho'],"Cummins (NYSE:CMI) reported better-than-expected revenue in Q4 CY2025, with sales increasing 1.1% year-on-year to $8.54 billion, surpassing analyst estimates. Despite robust sales and record full-year results in its Distribution and Power Systems segments, GAAP EPS missed expectations at $4.27 per share. The company's stock dipped slightly post-announcement, indicating mixed market reaction to the results.",https://news-assets.stockstory.org/cover-images/_1400x700_crop_center-center_none/cummins-cover-image-0f6bc7443fea_2024-06-26-071200_vzzb.jpeg,Finviz,General,Finviz,"[{'topic': 'earnings', 'relevance_score': '1.000000'}, {'topic': 'financial_markets', 'relevance_score': '0.818010'}, {'topic': 'manufacturing', 'relevance_score': '0.713877'}, {'topic': 'economy_macro', 'relevance_score': '0.638688'}, {'topic': 'energy_transportation', 'relevance_score': '0.608056'}]",0.079652,Neutral,"[{'ticker': 'CMI', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.255700', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.556220', 'ticker_sentiment_score': '-0.110342', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AMZN', 'relevance_score': '0.584274', 'ticker_sentiment_score': '0.095288', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'AAPL', 'relevance_score': '0.579722', 'ticker_sentiment_score': '0.076223', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MSFT', 'relevance_score': '0.560691', 'ticker_sentiment_score': '0.068922', 'ticker_sentiment_label': 'Neutral'}]"
Microchip Technology and Hyundai Motor Group Collaborate to Explore 10BASE-T1S Single Pair Ethernet for Future Automotive Connectivity,https://www.globenewswire.com/news-release/2026/02/05/3232930/0/en/Microchip-Technology-and-Hyundai-Motor-Group-Collaborate-to-Explore-10BASE-T1S-Single-Pair-Ethernet-for-Future-Automotive-Connectivity.html,20260205T132908,[],"Microchip Technology and Hyundai Motor Group have announced a collaboration to evaluate and promote the adoption of 10BASE-T1S Single Pair Ethernet (SPE) technology for future automotive connectivity. This initiative aims to develop more efficient, reliable, and scalable vehicle architectures by simplifying wiring, lowering system costs, and streamlining network integration. The partnership will focus on integrating Microchip's 10BASE-T1S solutions into Hyundai's future vehicle platforms, particularly for electric vehicles, autonomous driving, and smart mobility.",https://ml.globenewswire.com/media/YWQzNWI1YzctMDcxNi00NTgwLWEzYmUtYWJmOGRkMDQ4ZDgyLTEwMTYzNDktMjAyNi0wMi0wNS1lbg==/tiny/Microchip-Technology-Inc-.png,GlobeNewswire,General,GlobeNewswire,"[{'topic': 'technology', 'relevance_score': '1.000000'}, {'topic': 'energy_transportation', 'relevance_score': '0.841579'}, {'topic': 'manufacturing', 'relevance_score': '0.746397'}]",0.256184,Somewhat-Bullish,"[{'ticker': 'MCHPP', 'relevance_score': '0.306308', 'ticker_sentiment_score': '0.029246', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'MCHP', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.630348', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'F', 'relevance_score': '0.639598', 'ticker_sentiment_score': '0.247750', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GM', 'relevance_score': '0.635941', 'ticker_sentiment_score': '0.242565', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.627888', 'ticker_sentiment_score': '0.214668', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
GM CFO Says Automaker Can Absorb EV Losses: TDS,https://www.thedrive.com/news/gm-cfo-says-automaker-can-absorb-ev-losses-tds,20260205T123406,['Joel Feder'],"General Motors CFO Paul Jacobson stated that GM can absorb short-term losses from its electric vehicle division thanks to the profitability of its gas-powered trucks and SUVs. This strategy aims to allow GM to grow its EV market share and achieve long-term profitability within three to five years. The article also touches on other automotive news, including losses for Tata Motors and Volvo, and sales declines for Ford.",https://www.thedrive.com/wp-content/uploads/2026/02/untitled-0084-e1770294371114.jpg?quality=85&w=2048,The Drive,General,The Drive,"[{'topic': 'earnings', 'relevance_score': '0.906938'}, {'topic': 'energy_transportation', 'relevance_score': '0.935200'}]",-0.079405,Neutral,"[{'ticker': 'GM', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.267802', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'F', 'relevance_score': '0.712097', 'ticker_sentiment_score': '-0.241566', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'TSLA', 'relevance_score': '0.575610', 'ticker_sentiment_score': '-0.286127', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
Coca-Cola Europacific Partners $CCEP Shares Sold by Cullen Capital Management LLC,https://www.marketbeat.com/instant-alerts/filing-coca-cola-europacific-partners-ccep-shares-sold-by-cullen-capital-management-llc-2026-02-05/,20260205T121419,['MarketBeat'],"Cullen Capital Management LLC reduced its stake in Coca-Cola Europacific Partners (CCEP) by 9.8% in the third quarter, selling 56,417 shares and retaining 520,359 shares valued at $47.0 million. Despite the sale, analyst sentiment remains largely positive with a ""Moderate Buy"" consensus rating and an average price target of $100.80. The company's stock recently opened at $94.85, with a 12-month trading range of $78.00–$100.67.",https://www.marketbeat.com/logos/coca-cola-europacific-partners-plc-logo-1200x675.jpg?v=20231226131737,MarketBeat,General,MarketBeat,"[{'topic': 'financial_markets', 'relevance_score': '1.000000'}, {'topic': 'earnings', 'relevance_score': '0.949553'}, {'topic': 'finance', 'relevance_score': '0.806502'}, {'topic': 'retail_wholesale', 'relevance_score': '0.610686'}]",0.073267,Neutral,"[{'ticker': 'KO', 'relevance_score': '0.736633', 'ticker_sentiment_score': '0.285056', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.626482', 'ticker_sentiment_score': '0.231142', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.647356', 'ticker_sentiment_score': '-0.128381', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NFLX', 'relevance_score': '0.574080', 'ticker_sentiment_score': '-0.076298', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.585358', 'ticker_sentiment_score': '-0.070981', 'ticker_sentiment_label': 'Neutral'}]"
What's the Best Car of 2026? | Videos,https://www.cars.com/videos/whats-the-best-car-of-2026-6388773407112/,20260205T113244,['Cars.com Editors'],"The article highlights the Nissan Leaf as Cars.com's ""Best Car of 2026"" due to its redesign, affordability, impressive range, and innovative features. Reviewers praised its starting price under $32,000, 303-mile range, built-in NACS port for Tesla Supercharger access, and an appealing interior with advanced technology. The car also provides a comfortable driving experience, making it a well-rounded electric vehicle.",https://cf-images.us-east-1.prod.boltdns.net/v1/static/1578086878/438589db-f39b-470a-b9ab-40ca64c26029/1d92667c-e0f3-422d-98eb-78994319a4c1/1280x720/match/image.jpg,Cars.com,General,Cars.com,"[{'topic': 'energy_transportation', 'relevance_score': '1.000000'}, {'topic': 'technology', 'relevance_score': '0.730370'}]",0.196354,Somewhat-Bullish,"[{'ticker': 'CARS', 'relevance_score': '0.346631', 'ticker_sentiment_score': '0.010280', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.724190', 'ticker_sentiment_score': '0.342816', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'F', 'relevance_score': '0.607160', 'ticker_sentiment_score': '0.248733', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'GM', 'relevance_score': '0.641419', 'ticker_sentiment_score': '0.217466', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
"After Earnings, Is Tesla Stock a Buy, a Sell, or Fairly Valued?",https://www.morningstar.com/stocks/after-earnings-is-tesla-stock-buy-sell-or-fairly-valued-11,20260205T110642,"['Seth Goldstein', 'CFA']","Morningstar maintains a narrow economic moat rating and a ""Very High"" uncertainty rating for Tesla. Following its Q4 earnings, Morningstar raised its fair value estimate for Tesla to $400 per share from $300, driven by robotaxi valuation, autonomous driving software adoption, and the humanoid robot business. Despite this, Tesla shares are currently considered fairly valued, trading about 10% above the fair value estimate, placing them in 3-star territory due to expected volatility as new products progress.",https://cloudfront-us-east-1.images.arcpublishing.com/morningstar/ECL2DOEB4ZHYZJZBQBIMCKZ2HM.jpg,Morningstar,General,Morningstar,"[{'topic': 'earnings', 'relevance_score': '0.943846'}, {'topic': 'financial_markets', 'relevance_score': '0.821758'}, {'topic': 'energy_transportation', 'relevance_score': '0.720071'}, {'topic': 'technology', 'relevance_score': '0.628491'}]",0.066155,Neutral,"[{'ticker': 'TSLA', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.079593', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'NVDA', 'relevance_score': '0.629461', 'ticker_sentiment_score': '-0.147012', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.575475', 'ticker_sentiment_score': '0.099408', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GM', 'relevance_score': '0.556225', 'ticker_sentiment_score': '0.063477', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'F', 'relevance_score': '0.591554', 'ticker_sentiment_score': '0.098821', 'ticker_sentiment_label': 'Neutral'}]"
Tesla Rival Nio Expects Its First Profitable Quarter,https://www.benzinga.com/markets/guidance/26/02/50404256/tesla-rival-nio-expects-its-first-profitable-quarter,20260205T105755,['Anusuya Lahiri'],"Nio (NYSE: NIO) stock surged after the company announced an expected adjusted profit from operations for the fourth quarter of 2025, ranging from 0.7 billion to 1.2 billion Chinese yuan, signaling a strong turnaround from the previous year's loss. The company also reported robust January deliveries, with a 96.1% year-over-year increase, and continues to invest in advanced EV technologies and its battery swapping network. Nio shares were up significantly in premarket trading.",https://cdn.benzinga.com/files/images/story/2026/02/05/Wuhan-china-may-2021-Front-Of-Nio-Electr.jpeg?quality=85&auto=webp&width=850,Benzinga,General,Benzinga,"[{'topic': 'earnings', 'relevance_score': '0.924628'}, {'topic': 'financial_markets', 'relevance_score': '0.811530'}, {'topic': 'energy_transportation', 'relevance_score': '0.714830'}]",0.296913,Somewhat-Bullish,"[{'ticker': 'NIO', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.427070', 'ticker_sentiment_label': 'Bullish'}, {'ticker': 'TSLA', 'relevance_score': '0.704799', 'ticker_sentiment_score': '0.101260', 'ticker_sentiment_label': 'Neutral'}]"
Apple Inc. $AAPL Shares Sold by St. Johns Investment Management Company LLC,https://www.marketbeat.com/instant-alerts/filing-apple-inc-aapl-shares-sold-by-st-johns-investment-management-company-llc-2026-02-05/,20260205T082732,['MarketBeat'],"St. Johns Investment Management Company LLC reduced its stake in Apple Inc. by 4.6% in the third quarter, while several other institutional investors either increased their positions or initiated new ones. Analyst ratings for Apple are largely positive, with an average rating of ""Moderate Buy"" and a price target of $291.70. The company reported strong Q1 earnings, beating consensus estimates, and recently declared a quarterly dividend.",https://www.marketbeat.com/logos/apple-inc-logo-1200x675.png,MarketBeat,General,MarketBeat,"[{'topic': 'earnings', 'relevance_score': '0.943534'}, {'topic': 'financial_markets', 'relevance_score': '0.847777'}, {'topic': 'finance', 'relevance_score': '0.702774'}, {'topic': 'technology', 'relevance_score': '0.804625'}]",0.16559,Somewhat-Bullish,"[{'ticker': 'AAPL', 'relevance_score': '1.000000', 'ticker_sentiment_score': '0.344131', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MSFT', 'relevance_score': '0.624963', 'ticker_sentiment_score': '0.122670', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'META', 'relevance_score': '0.616322', 'ticker_sentiment_score': '0.108058', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.629136', 'ticker_sentiment_score': '0.101959', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'GOOGL', 'relevance_score': '0.631880', 'ticker_sentiment_score': '0.026126', 'ticker_sentiment_label': 'Neutral'}]"
GraniteShares 2x Short TSLA Daily ETF (NASDAQ:TSDD) Stock Price Up 7.4% – Still a Buy?,https://www.defenseworld.net/2026/02/05/graniteshares-2x-short-tsla-daily-etf-nasdaqtsdd-stock-price-up-7-4-still-a-buy.html,20260205T081820,['Defense World Staff'],"GraniteShares 2x Short TSLA Daily ETF (NASDAQ:TSDD) saw its stock price increase by 7.4% on Wednesday, with 32,087,790 shares traded. The ETF, which provides 2x inverse leveraged exposure to Tesla stock, recently announced a monthly dividend of $0.651 per share. Several institutional investors, including SBI Securities Co. Ltd. and Optiver Holding B.V., have either increased or initiated stakes in TSDD.",https://www.marketbeat.com/logos/graniteshares-2x-short-tsla-daily-etf-logo-1200x675.png?v=20251021103258,Defense World,General,Defense World,"[{'topic': 'financial_markets', 'relevance_score': '0.922447'}, {'topic': 'earnings', 'relevance_score': '0.713741'}]",-0.146634,Neutral,"[{'ticker': 'TSDD', 'relevance_score': '0.317131', 'ticker_sentiment_score': '0.048469', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'TSLA', 'relevance_score': '0.720227', 'ticker_sentiment_score': '-0.210207', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
