date,shares_outstanding_diluted,shares_outstanding_basic
2025-12-31,3539000000,3539000000
2025-09-30,3526000000,3526000000
2025-06-30,3519000000,3519000000
2025-03-31,3521000000,3218000000
2024-12-31,3525000000,3212000000
2024-09-30,3497000000,3198000000
2024-06-30,3481000000,3191000000
2024-03-31,3484000000,3186000000
2023-12-31,3497000000,3183000000
2023-09-30,3493000000,3176000000
2023-06-30,3478000000,3171000000
2023-03-31,3468000000,3166000000
2022-12-31,3478000000,3160000000
2022-09-30,3468000000,3146000000
2022-06-30,1155000000,1037000000
2022-03-31,1157000000,1034000000
2021-12-31,1126000000,1013000000
2021-09-30,1123000000,998000000
2021-06-30,1119000000,971000000
2021-03-31,1133000000,961000000
2020-12-31,1155000000,951000000
2020-09-30,1105000000,937000000
2020-06-30,207000000,186000000
2020-03-31,199000000,183000000
2019-12-31,180000000,180000000
2019-09-30,184000000,179000000
2019-06-30,176654000,176654000
2019-03-31,172989000,172989000
2018-12-31,172043000,172043000
2018-09-30,178196000,170893000
2018-06-30,169997000,169997000
2018-03-31,169146000,169146000
2017-12-31,168341000,168341000
2017-09-30,167294000,167294000
2017-06-30,165212000,165212000
2017-03-31,162129000,162129000
2016-12-31,155105000,155105000
2016-09-30,156935000,148991000
2015-12-31,131133000,131133000
2015-09-30,129006000,129006000
2014-03-31,123472782,123472782
