,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,2919000000.0,7245000000.0,6039000000.0,20646000000.0
Repurchase Of Capital Stock,-409000000.0,-2714000000.0,-6036000000.0,-5546000000.0
Repayment Of Debt,-2807000000.0,-891000000.0,-2524000000.0,-2142000000.0
Issuance Of Debt,4855000000.0,1950000000.0,1275000000.0,930000000.0
Capital Expenditure,-6447000000.0,-5920000000.0,-5446000000.0,-5033000000.0
End Cash Position,4953000000.0,3609000000.0,4736000000.0,11721000000.0
Other Cash Adjustment Outside Changein Cash,75000000.0,-703000000.0,-11000000.0,0.0
Beginning Cash Position,3609000000.0,4736000000.0,11721000000.0,13487000000.0
Effect Of Exchange Rate Changes,-454000000.0,69000000.0,138000000.0,-551000000.0
Changes In Cash,1723000000.0,-493000000.0,-7112000000.0,-1215000000.0
Financing Cash Flow,-2275000000.0,-7339000000.0,-13911000000.0,-20284000000.0
Cash From Discontinued Financing Activities,0.0,0.0,-11000000.0,-13000000.0
Cash Flow From Continuing Financing Activities,-2275000000.0,-7339000000.0,-13900000000.0,-20271000000.0
Net Other Financing Charges,,-171000000.0,-12000000.0,-30000000.0
Cash Dividends Paid,-3914000000.0,-5513000000.0,-6603000000.0,-13483000000.0
Net Common Stock Issuance,-409000000.0,-2714000000.0,-6036000000.0,-5546000000.0
Common Stock Payments,-409000000.0,-2714000000.0,-6036000000.0,-5546000000.0
Net Issuance Payments Of Debt,2048000000.0,1059000000.0,-1249000000.0,-1212000000.0
Net Long Term Debt Issuance,2048000000.0,1059000000.0,-1249000000.0,-1212000000.0
Long Term Debt Payments,-2807000000.0,-891000000.0,-2524000000.0,-2142000000.0
Long Term Debt Issuance,4855000000.0,1950000000.0,1275000000.0,930000000.0
Investing Cash Flow,-5368000000.0,-6319000000.0,-4686000000.0,-6610000000.0
Cash From Discontinued Investing Activities,0.0,0.0,-103000000.0,-2469000000.0
Cash Flow From Continuing Investing Activities,-5368000000.0,-6319000000.0,-4583000000.0,-4141000000.0
Net Other Investing Changes,-796000000.0,-38000000.0,145000000.0,-129000000.0
Dividends Received Cfi,81000000.0,204000000.0,219000000.0,190000000.0
Net Investment Purchase And Sale,-85000000.0,127000000.0,260000000.0,582000000.0
Sale Of Investment,,127000000.0,260000000.0,582000000.0
Purchase Of Investment,,-139000000.0,,-542000000.0
Net Business Purchase And Sale,1879000000.0,-692000000.0,239000000.0,249000000.0
Sale Of Business,,,586000000.0,1259000000.0
Purchase Of Business,-808000000.0,-553000000.0,-338000000.0,-455000000.0
Capital Expenditure Reported,-6447000000.0,-5920000000.0,-5446000000.0,-5033000000.0
Operating Cash Flow,9366000000.0,13165000000.0,11485000000.0,25679000000.0
Cash From Discontinued Operating Activities,0.0,0.0,41000000.0,-316000000.0
Cash Flow From Continuing Operating Activities,9366000000.0,13165000000.0,11444000000.0,25995000000.0
Taxes Refund Paid,-1859000000.0,-1890000000.0,-4637000000.0,-4385000000.0
Interest Paid Cfo,-1111000000.0,-976000000.0,-1156000000.0,-1111000000.0
Change In Working Capital,313000000.0,-903000000.0,-1316000000.0,335000000.0
Change In Other Working Capital,-446000000.0,-1523000000.0,-1531000000.0,-442000000.0
Change In Payables And Accrued Expense,-360000000.0,637000000.0,495000000.0,251000000.0
Change In Accrued Expense,,,,27000000.0
Change In Payable,-360000000.0,637000000.0,495000000.0,251000000.0
Change In Account Payable,-360000000.0,637000000.0,495000000.0,251000000.0
Change In Inventory,-549000000.0,-214000000.0,45000000.0,-503000000.0
Change In Receivables,1668000000.0,197000000.0,-325000000.0,1029000000.0
Changes In Account Receivables,1668000000.0,197000000.0,-325000000.0,1029000000.0
Other Non Cash Items,123000000.0,294000000.0,-3174000000.0,-4707000000.0
Provisionand Write Offof Assets,-90000000.0,614000000.0,472000000.0,1926000000.0
Asset Impairment Charge,-301000000.0,266000000.0,-773000000.0,426000000.0
Depreciation Amortization Depletion,3057000000.0,3070000000.0,3171000000.0,3034000000.0
Operating Gains Losses,2538000000.0,1539000000.0,-924000000.0,936000000.0
Earnings Losses From Equity Investments,269000000.0,1108000000.0,-305000000.0,1271000000.0
Gain Loss On Investment Securities,881000000.0,-1212000000.0,-1594000000.0,-203000000.0
Net Foreign Currency Exchange Gain Loss,1388000000.0,1643000000.0,975000000.0,-132000000.0
Net Income From Continuing Operations,6696000000.0,11151000000.0,19781000000.0,29541000000.0
