,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Free Cash Flow,1183000000.0,688000000.0,414000000.0,586000000.0,269000000.0,
Repurchase Of Capital Stock,0.0,0.0,0.0,0.0,-20000000.0,
Repayment Of Debt,-503000000.0,-63000000.0,-970000000.0,-498000000.0,-1632000000.0,
Issuance Of Debt,1011000000.0,1676000000.0,1611000000.0,1933000000.0,962000000.0,
Capital Expenditure,-1394000000.0,-1168000000.0,-1255000000.0,-2326000000.0,-1398000000.0,
End Cash Position,5902000000.0,5514000000.0,3955000000.0,4953000000.0,4596000000.0,
Other Cash Adjustment Outside Changein Cash,0.0,-12000000.0,-103000000.0,0.0,75000000.0,
Beginning Cash Position,5514000000.0,3955000000.0,4953000000.0,4596000000.0,6479000000.0,
Effect Of Exchange Rate Changes,28000000.0,101000000.0,145000000.0,-229000000.0,-21000000.0,
Changes In Cash,360000000.0,1470000000.0,-1040000000.0,586000000.0,-1937000000.0,
Financing Cash Flow,-977000000.0,1613000000.0,-1338000000.0,1435000000.0,-2276000000.0,
Cash Flow From Continuing Financing Activities,-977000000.0,1613000000.0,-1338000000.0,1435000000.0,-2276000000.0,
Cash Dividends Paid,-1485000000.0,0.0,-1979000000.0,0.0,-1586000000.0,
Net Common Stock Issuance,0.0,0.0,0.0,0.0,-20000000.0,
Common Stock Payments,0.0,0.0,0.0,0.0,-20000000.0,
Net Issuance Payments Of Debt,508000000.0,1613000000.0,641000000.0,1435000000.0,-670000000.0,
Net Long Term Debt Issuance,508000000.0,1613000000.0,641000000.0,1435000000.0,-670000000.0,
Long Term Debt Payments,-503000000.0,-63000000.0,-970000000.0,-498000000.0,-1632000000.0,
Long Term Debt Issuance,1011000000.0,1676000000.0,1611000000.0,1933000000.0,962000000.0,
Investing Cash Flow,-1240000000.0,-1999000000.0,-1371000000.0,-3761000000.0,-1328000000.0,
Cash Flow From Continuing Investing Activities,-1240000000.0,-1999000000.0,-1371000000.0,-3761000000.0,-1328000000.0,
Net Other Investing Changes,-971000000.0,-999000000.0,-161000000.0,-488000000.0,-116000000.0,
Dividends Received Cfi,58000000.0,61000000.0,19000000.0,27000000.0,12000000.0,
Net Investment Purchase And Sale,61000000.0,107000000.0,26000000.0,-136000000.0,67000000.0,
Sale Of Investment,61000000.0,107000000.0,26000000.0,,,
Purchase Of Investment,,,,,,28000000.0
Net Business Purchase And Sale,1006000000.0,0.0,,-838000000.0,107000000.0,2610000000.0
Net PPE Purchase And Sale,,,-1255000000.0,,,
Purchase Of PPE,,,-1255000000.0,,,
Capital Expenditure Reported,-1394000000.0,-1168000000.0,,-2326000000.0,-1398000000.0,-1328000000.0
Operating Cash Flow,2577000000.0,1856000000.0,1669000000.0,2912000000.0,1667000000.0,
Cash Flow From Continuing Operating Activities,2577000000.0,1856000000.0,1669000000.0,2912000000.0,1667000000.0,
Taxes Refund Paid,-558000000.0,-468000000.0,-596000000.0,-416000000.0,-471000000.0,
Interest Paid Cfo,-185000000.0,-400000000.0,-240000000.0,-318000000.0,-247000000.0,
Change In Working Capital,-231000000.0,-8000000.0,-252000000.0,726000000.0,-570000000.0,
Change In Other Working Capital,215000000.0,-448000000.0,-308000000.0,778000000.0,-224000000.0,
Change In Payables And Accrued Expense,105000000.0,743000000.0,-21000000.0,-681000000.0,471000000.0,
Change In Payable,105000000.0,743000000.0,-21000000.0,-681000000.0,471000000.0,
Change In Account Payable,105000000.0,743000000.0,-21000000.0,-681000000.0,471000000.0,
Change In Inventory,-344000000.0,-144000000.0,-239000000.0,57000000.0,-145000000.0,
Change In Receivables,-207000000.0,-159000000.0,316000000.0,572000000.0,-672000000.0,
Changes In Account Receivables,-207000000.0,-159000000.0,316000000.0,572000000.0,-672000000.0,
Other Non Cash Items,92000000.0,-351000000.0,327000000.0,137000000.0,-86000000.0,
Asset Impairment Charge,370000000.0,132000000.0,253000000.0,1847000000.0,-1144000000.0,
Depreciation Amortization Depletion,761000000.0,780000000.0,704000000.0,802000000.0,748000000.0,
Operating Gains Losses,-338000000.0,68000000.0,-570000000.0,1125000000.0,710000000.0,
Earnings Losses From Equity Investments,-160000000.0,68000000.0,-59000000.0,-69000000.0,574000000.0,
Gain Loss On Investment Securities,-373000000.0,-643000000.0,-863000000.0,718000000.0,-150000000.0,
Net Foreign Currency Exchange Gain Loss,195000000.0,-28000000.0,352000000.0,476000000.0,286000000.0,
Net Income From Continuing Operations,2612000000.0,2103000000.0,2043000000.0,-901000000.0,2727000000.0,
